"PWS ID","PWS Name","PWS Type","Primary Source","Counties Served","Cities Served","PopulationServed Count","Number of Facilities","Number of Violations","Number of Site Visits"
"TX1520067","114TH STREET MOBILE HOME PARK","Community water system","Ground water","Lubbock","-","50","11","207","9"
"TX0260049","130 REGIONAL WSC","Community water system","Ground water purchased","Burleson","-","0","10","4","2"
"TX1700580","1485 LIMITED CRYSTAL SPRINGS WATER CO","Community water system","Ground water","Montgomery","-","48","9","4","8"
"TX1012276","2920 WEST SUBDIVISION","Community water system","Ground water","Harris","-","369","14","0","7"
"TX1500006","3 G WSC","Community water system","Groundwater under influence of surface water","Llano","-","391","37","9","9"
"TX0910072","3-D MOBILE HOME AND RV PARK","Community water system","Ground water","Grayson","-","90","9","16","7"
"TX0720059","3D BUNKHOUSE PWS","Community water system","Ground water","Erath","-","36","8","0","0"
"TX0460152","4 D WATER","Community water system","Ground water","Comal","-","282","15","41","7"
"TX1160091","4 R RANCH WATER 2","Community water system","Ground water","Hunt","-","214","24","8","11"
"TX1940006","410 WSC","Community water system","Surface water purchased","Red River","-","2,406","16","11","9"
"TX0140076","439 WSC","Community water system","Surface water purchased","Bell","-","6,985","51","12","7"
"TX0790309","5TH STREET WATER SYSTEM","Community water system","Ground water purchased","Fort Bend","-","1,593","7","2","8"
"TX0790425","723 UTILITY","Community water system","Ground water","Fort Bend","-","180","11","5","5"
"TX1470015","84 WEST WSC","Community water system","Ground water purchased","Limestone","-","147","7","6","6"
"TX1830017","A & P WSC PUMP 1","Community water system","Surface water purchased","Panola","-","630","25","22","9"
"TX1290010","ABLES SPRINGS SUD","Community water system","Surface water purchased","Kaufman","-","3,582","25","8","9"
"TX1840034","ABRAXAS UTILITIES","Community water system","Ground water","Parker","-","552","16","245","7"
"TX1012333","ACORN VILLAGE MOBILE HOME PARK","Community water system","Surface water purchased","Harris","-","192","13","69","6"
"TX1110007","ACTON MUD","Community water system","Surface water purchased","Hood","-","19,125","233","13","9"
"TX1110055","ACTON WATER ROYAL OAKS","Community water system","Surface water purchased","Hood","-","210","13","0","10"
"TX1011019","ADDICKS UTILITY DISTRICT","Community water system","Surface water purchased","Harris","-","4,998","27","9","7"
"TX1910003","ADOBE ESTATES MOBILE HOME PARK","Community water system","Ground water","Randall","-","500","13","31","9"
"TX1800003","ADRIAN MUNICIPAL WATER SYSTEM","Community water system","Ground water","Oldham","-","166","29","98","9"
"TX0610243","AERO VALLEY WATER SERVICE","Community water system","Ground water","Denton","-","68","12","551","6"
"TX0370014","AFTON GROVE WSC","Community water system","Surface water purchased","Cherokee","-","1,680","32","14","6"
"TX1700147","AFTON PARK WATER SYSTEM","Community water system","Ground water","Montgomery","-","81","12","11","8"
"TX1840017","AGNES SUBDIVISION","Community water system","Ground water","Parker","-","54","14","0","10"
