"stateFIPS","State","countyFIPS","County","Year","Value","Stability","Contaminant Level","PWS ID","CWS Name","Population Served",
"06","California","06001","Alameda","2016","1.00","1","Non Detect",,"CA0110001","ALAMEDA COUNTY WATER DISTRICT","340000",
"06","California","06001","Alameda","2016","1.00","1","Non Detect",,"CA0110005","EAST BAY MUD","1379000",
"06","California","06001","Alameda","2016","1.00","1","Non Detect",,"CA0110012","TOWN OF SUNOL-SFPUC","450",
"06","California","06001","Alameda","2016","1.00","1","Non Detect",,"CA0110010","ZONE 7 WATER AGENCY","40",
"06","California","06003","Alpine","2016","1.00","1","Non Detect",,"CA0210002","KIRKWOOD MEADOWS PUBILC UTILIT","101",
"06","California","06003","Alpine","2016","1.00","1","Non Detect",,"CA0210001","LAKE ALPINE WATER COMPANY","2650",
"06","California","06003","Alpine","2016","1.00","1","Non Detect",,"CA0202522","SIERRA PINES MOBILE HOME PARK","70",
"06","California","06005","Amador","2016","1.00","1","Non Detect",,"CA0310012","AWA BUCKHORN PLANT","8606",
"06","California","06005","Amador","2016","1.00","1","Non Detect",,"CA0310002","AWA, IONE","6919",
"06","California","06005","Amador","2016","1.00","1","Non Detect",,"CA0300078","IONE BAND OF MIWOK INDIANS","62",
"06","California","06005","Amador","2016","1.00","1","Non Detect",,"CA0300053","RANCHO DEL ORO","34",
"06","California","06005","Amador","2016","1.00","1","Non Detect",,"CA0310020","THE OAKS MOBILE HOME PARK","600",
"06","California","06007","Butte","2016","1.00","1","Non Detect",,"CA0400016","BERRY CREEK COMMUNITY SERVICE DIST","99",
"06","California","06007","Butte","2016","1.00","1","Non Detect",,"CA0400007","BUTTE CREEK ESTATES MUTUAL WATER CO","399",
"06","California","06007","Butte","2016","1.00","1","Non Detect",,"CA0410002","CAL-WATER SERVICE CO.-CHICO","100435",
"06","California","06007","Butte","2016","2.50","1","Less than or equal MCL",,"CA0410005","CAL-WATER SERVICE CO.-OROVILLE","9427",
"06","California","06007","Butte","2016","1.00","1","Non Detect",,"CA0400078","FOREST KNOLLS MUTUAL WATER CO","41",
"06","California","06007","Butte","2016","1.00","1","Non Detect",,"CA0400030","GOLDEN FEATHER MHP","275",
"06","California","06007","Butte","2016","1.00","1","Non Detect",,"CA0400014","LAKE MADRONE WATER DISTRICT","297",
"06","California","06007","Butte","2016","1.00","1","Non Detect",,"CA0400013","MERRY MOUNTAIN MUTUAL","100",
"06","California","06007","Butte","2016","1.00","1","Non Detect",,"CA0400036","MOUNTAIN VIEW MOBILE ACRES MHP LLC","230",
"06","California","06007","Butte","2016","8.00","1","Less than or equal MCL",,"CA0400021","ROBINSON'S CORNER MHP","20",
"06","California","06007","Butte","2016","1.00","1","Non Detect",,"CA0410012","SFWP-BANGOR","63",
"06","California","06007","Butte","2016","1.00","1","Non Detect",,"CA0409183","SIERRA MOON WATER COMPANY","120",
"06","California","06009","Calaveras","2016","1.00","1","Non Detect",,"CA0510003","ANGELS, CITY OF","3836",
"06","California","06009","Calaveras","2016","1.00","1","Non Detect",,"CA0510002","CALAVERAS PUD","4758",
"06","California","06009","Calaveras","2016","1.00","1","Non Detect",,"CA0510012","CAMANCHE SOUTH SHORE-EBMUD","180",
"06","California","06009","Calaveras","2016","1.00","1","Non Detect",,"CA0510017","CCWD - COPPER COVE","7092",
"06","California","06009","Calaveras","2016","1.00","1","Non Detect",,"CA0510016","CCWD - EBBETTS PASS","21397",
"06","California","06009","Calaveras","2016","1.00","1","Non Detect",,"CA0510006","CCWD - JENNY LIND","13756",
"06","California","06009","Calaveras","2016","1.00","1","Non Detect",,"CA0510004","CCWD - SHEEP RANCH","134",
"06","California","06009","Calaveras","2016","1.00","1","Non Detect",,"CA0510019","CCWD - WALLACE","340",
"06","California","06009","Calaveras","2016","1.00","1","Non Detect",,"CA0510005","CCWD - WEST POINT","1588",
"06","California","06009","Calaveras","2016","1.00","1","Non Detect",,"CA0500068","DUNROVIN MOBILE HOME VILLAGE","99",
"06","California","06009","Calaveras","2016","1.00","1","Non Detect",,"CA0510001","UNION PUBLIC UTILITY DISTRICT","4300",
"06","California","06011","Colusa","2016","2.33","1","Less than or equal MCL",,"CA0610001","ARBUCKLE PUBLIC UTILITY DISTRICT","2300",
"06","California","06011","Colusa","2016","1.00","1","Non Detect",,"CA0605011","DEL ORO WC - ARBUCKLE DISTRICT","136",
"06","California","06011","Colusa","2016","6.00","1","Less than or equal MCL",,"CA0610003","MAXWELL PUBLIC UTILITY DISTRICT","1323",
"06","California","06013","Contra Costa","2016","5.33","1","Less than or equal MCL",,"CA0707569","ANGLERS SUBDIVISION 4","210",
"06","California","06013","Contra Costa","2016","21.00","1","Greater than MCL",,"CA0707589","BELLA VISTA WATER SYS","93",
"06","California","06013","Contra Costa","2016","9.60","1","Less than or equal MCL",,"CA0707572","BETHEL ISLAND MUTUAL WATER CO","149",
"06","California","06013","Contra Costa","2016","3.20","1","Less than or equal MCL",,"CA0707588","BIG OAK MOBILE HOME PARK WATER","156",
"06","California","06013","Contra Costa","2016","1.00","1","Non Detect",,"CA0707598","CAMINO MOBILEHOME","210",
"06","California","06013","Contra Costa","2016","5.10","1","Less than or equal MCL",,"CA0707594","CASA MEDANOS WATER SYSTEM","45",
"06","California","06013","Contra Costa","2016","9.00","1","Less than or equal MCL",,"CA0707573","DELTA MUTUAL WATER COMPANY","225",
"06","California","06013","Contra Costa","2016","1.00","1","Non Detect",,"CA0710007","DIABLO WATER DISTRICT","36014",
"06","California","06013","Contra Costa","2016","26.00","1","Greater than MCL",,"CA0707615","DOUBLETREE RANCH WATER SYSTEM","49",
"06","California","06013","Contra Costa","2016","1.00","1","Non Detect",,"CA0707519","DUTCH SLOUGH WATER WORKS","49",
"06","California","06013","Contra Costa","2016","6.90","1","Less than or equal MCL",,"CA0706005","FARRAR PARK PROPERTY OWNERS","140",
"06","California","06013","Contra Costa","2016","6.40","1","Less than or equal MCL",,"CA0707523","FLAMINGO MOBILE MANOR","200",
"06","California","06013","Contra Costa","2016","13.00","1","Greater than MCL",,"CA0706004","OAKLEY MUTUAL WATER COMPANY","170",
"06","California","06013","Contra Costa","2016","3.43","1","Less than or equal MCL",,"CA0707576","PLEASANTIMES MUTUAL WATER CO","380",
"06","California","06013","Contra Costa","2016","2.85","1","Less than or equal MCL",,"CA0707577","RIVERVIEW WATER ASSOCIATION","230",
"06","California","06013","Contra Costa","2016","1.00","1","Non Detect",,"CA0707597","SANDY POINT MOBILE HOME PARK","94",
"06","California","06017","El Dorado","2016","1.00","1","Non Detect",,"CA0910001","EL DORADO ID - MAIN","112000",
"06","California","06017","El Dorado","2016","1.00","1","Non Detect",,"CA0910018","EL DORADO ID - OUTINGDALE","497",
"06","California","06017","El Dorado","2016","1.00","1","Non Detect",,"CA0910017","EL DORADO ID - STRAWBERRY","358",
"06","California","06017","El Dorado","2016","13.80","1","Greater than MCL",,"CA0900102","GOLD BEACH PARK","100",
"06","California","06017","El Dorado","2016","1.00","1","Non Detect",,"CA0910006","GRIZZLY FLATS COMMUNITY SERVIC","1300",
"06","California","06017","El Dorado","2016","5.00","1","Less than or equal MCL",,"CA0910007","LUKINS BROTHERS WATER COMPANY","250",
"06","California","06017","El Dorado","2016","1.00","1","Non Detect",,"CA0900404","OAKLANE MOBILE VILLAGE, LLC.","75",
"06","California","06017","El Dorado","2016","1.00","1","Non Detect",,"CA0910002","SOUTH TAHOE PUD - MAIN","29500",
"06","California","06019","Fresno","2016","29.40","1","Greater than MCL",,"CA1009051","CANTUA CREEK VINEYARDS, IV, LLC.","50",
"06","California","06019","Fresno","2016","10.23","1","Greater than MCL",,"CA1010039","CARUTHERS COMM SERV DIST","2503",
"06","California","06019","Fresno","2016","1.00","1","Non Detect",,"CA1010003","CITY OF CLOVIS","103871",
"06","California","06019","Fresno","2016","2.03","1","Less than or equal MCL",,"CA1010006","CITY OF FOWLER","5801",
"06","California","06019","Fresno","2016","1.00","1","Non Detect",,"CA1010007","CITY OF FRESNO","524320",
"06","California","06019","Fresno","2016","1.00","1","Non Detect",,"CA1010023","CITY OF ORANGE COVE","9780",
"06","California","06019","Fresno","2016","3.00","1","Less than or equal MCL",,"CA1010004","COALINGA-CITY","19362",
"06","California","06019","Fresno","2016","1.00","1","Non Detect",,"CA1010035","DEL REY COMMUNITY SERV DIST","1500",
"06","California","06019","Fresno","2016","2.70","1","Less than or equal MCL",,"CA1000248","DOUBLE L MOBILE RANCH PARK","80",
"06","California","06019","Fresno","2016","1.35","1","Less than or equal MCL",,"CA1000018","EASTON ESTATES WATER COMPANY","302",
"06","California","06019","Fresno","2016","1.10","1","Less than or equal MCL",,"CA1000021","FCSA #05/WILDWOOD ISLAND","417",
"06","California","06019","Fresno","2016","1.80","1","Less than or equal MCL",,"CA1000039","FCSA #10/CUMORAH KNOLLS","132",
"06","California","06019","Fresno","2016","2.30","1","Less than or equal MCL",,"CA1000359","FCSA #32/CANTUA CREEK","210",
"06","California","06019","Fresno","2016","2.40","1","Less than or equal MCL",,"CA1000484","FCSA #34/ MILLERTON NEW TOWN","722",
