"stateFIPS","State","Year","Value","Stability",
"06","California","1999","34,938,616","1",
"06","California","2000","34,982,115","1",
"06","California","2001","35,989,579","1",
"06","California","2002","36,427,824","1",
"06","California","2003","42,109,090","1",
"06","California","2004","42,183,613","1",
"06","California","2005","42,277,601","1",
"06","California","2006","39,678,342","1",
"06","California","2007","39,957,597","1",
"06","California","2008","40,192,641","1",
"06","California","2009","41,009,912","1",
"06","California","2010","41,032,941","1",
"06","California","2011","41,029,373","1",
"06","California","2012","41,012,626","1",
"06","California","2013","41,174,594","1",
"06","California","2014","41,174,437","1",
"06","California","2015","41,173,094","1",
"06","California","2016","40,448,289","1",
"08","Colorado","1999","6,009,119","1",
"08","Colorado","2000","6,009,119","1",
"08","Colorado","2001","6,009,037","1",
"08","Colorado","2002","6,009,119","1",
"08","Colorado","2003","6,009,119","1",
"08","Colorado","2004","6,009,119","1",
"08","Colorado","2005","6,009,074","1",
"08","Colorado","2006","6,009,037","1",
"08","Colorado","2007","6,009,074","1",
"08","Colorado","2008","6,009,074","1",
"08","Colorado","2009","6,009,074","1",
"08","Colorado","2010","6,009,118","1",
"08","Colorado","2011","6,009,118","1",
"08","Colorado","2012","5,220,316","1",
"08","Colorado","2013","5,261,460","1",
"08","Colorado","2014","5,263,167","1",
"08","Colorado","2015","5,263,167","1",
"08","Colorado","2016","5,662,264","1",
"09","Connecticut","2000","2,664,364","1",
"09","Connecticut","2001","2,664,364","1",
"09","Connecticut","2002","2,664,364","1",
"09","Connecticut","2003","2,664,364","1",
"09","Connecticut","2004","2,664,364","1",
"09","Connecticut","2005","2,664,364","1",
"09","Connecticut","2006","2,664,364","1",
"09","Connecticut","2007","2,664,364","1",
"09","Connecticut","2008","2,664,364","1",
"09","Connecticut","2009","2,664,364","1",
"09","Connecticut","2010","2,664,364","1",
"09","Connecticut","2011","2,664,364","1",
"09","Connecticut","2012","2,673,185","1",
"09","Connecticut","2013","2,685,610","1",
"09","Connecticut","2014","2,754,692","1",
"09","Connecticut","2015","2,751,816","1",
"09","Connecticut","2016","2,762,104","1",
"12","Florida","1999","19,228,025","1",
"12","Florida","2000","19,228,025","1",
"12","Florida","2001","19,228,025","1",
"12","Florida","2002","19,228,025","1",
"12","Florida","2003","19,228,025","1",
"12","Florida","2004","19,227,975","1",
"12","Florida","2005","19,228,025","1",
"12","Florida","2006","19,228,025","1",
"12","Florida","2007","19,227,961","1",
"12","Florida","2008","19,227,891","1",
"12","Florida","2009","19,227,961","1",
"12","Florida","2010","19,227,911","1",
"12","Florida","2011","19,238,280","1",
"12","Florida","2012","19,231,059","1",
"12","Florida","2013","19,231,189","1",
"12","Florida","2014","19,353,826","1",
"12","Florida","2015","19,353,871","1",
"12","Florida","2016","19,895,595","1",
"19","Iowa","1999","2,370,181","1",
"19","Iowa","2000","2,352,599","1",
"19","Iowa","2001","2,349,976","1",
"19","Iowa","2002","2,458,129","1",
"19","Iowa","2003","2,494,821","1",
"19","Iowa","2004","2,733,140","1",
"19","Iowa","2005","2,744,749","1",
"19","Iowa","2006","2,751,614","1",
"19","Iowa","2007","2,729,866","1",
"19","Iowa","2008","2,680,509","1",
"19","Iowa","2009","2,745,961","1",
"19","Iowa","2010","2,698,490","1",
"19","Iowa","2011","2,679,229","1",
"19","Iowa","2012","2,721,205","1",
"19","Iowa","2013","2,751,937","1",
"19","Iowa","2014","2,753,592","1",
"19","Iowa","2015","2,761,831","1",
"19","Iowa","2016","2,804,827","1",
"20","Kansas","1999","2,693,760","1",
"20","Kansas","2000","2,693,760","1",
"20","Kansas","2001","2,694,110","1",
"20","Kansas","2002","2,694,110","1",
"20","Kansas","2003","2,714,014","1",
"20","Kansas","2004","2,712,274","1",
"20","Kansas","2005","2,712,199","1",
"20","Kansas","2006","2,711,681","1",
"20","Kansas","2007","2,703,485","1",
"20","Kansas","2008","2,703,760","1",
"20","Kansas","2009","2,703,597","1",
"20","Kansas","2010","2,703,999","1",
"20","Kansas","2011","2,704,465","1",
"20","Kansas","2012","2,704,465","1",
"20","Kansas","2013","2,704,490","1",
"20","Kansas","2014","2,704,330","1",
"20","Kansas","2015","2,701,343","1",
"20","Kansas","2016","2,698,769","1",
"21","Kentucky","1999","4,532,689","1",
"21","Kentucky","2000","4,532,689","1",
"21","Kentucky","2001","4,532,689","1",
"21","Kentucky","2002","4,532,689","1",
"21","Kentucky","2003","4,532,689","1",
"21","Kentucky","2004","4,532,689","1",
"21","Kentucky","2005","4,532,689","1",
"21","Kentucky","2006","4,532,689","1",
"21","Kentucky","2007","4,532,689","1",
"21","Kentucky","2008","4,532,689","1",
"21","Kentucky","2009","4,532,689","1",
"21","Kentucky","2010","4,532,689","1",
"21","Kentucky","2011","4,532,689","1",
"21","Kentucky","2012","4,552,037","1",
"21","Kentucky","2013","4,585,271","1",
"21","Kentucky","2014","4,645,995","1",
"21","Kentucky","2015","4,625,080","1",
"21","Kentucky","2016","4,625,141","1",
"22","Louisiana","2000","4,903,486","1",
"22","Louisiana","2001","4,903,486","1",
"22","Louisiana","2002","4,903,486","1",
"22","Louisiana","2003","4,903,486","1",
"22","Louisiana","2004","4,903,486","1",
"22","Louisiana","2005","4,903,486","1",
"22","Louisiana","2006","4,903,486","1",
"22","Louisiana","2007","4,903,486","1",
"22","Louisiana","2008","4,903,486","1",
"22","Louisiana","2009","4,903,486","1",
"22","Louisiana","2010","4,903,486","1",
"22","Louisiana","2011","4,922,852","1",
"22","Louisiana","2012","3,831,898","1",
"22","Louisiana","2013","4,905,882","1",
"22","Louisiana","2014","4,762,078","1",
"22","Louisiana","2015","4,823,735","1",
"23","Maine","1999","661,201","1",
"23","Maine","2000","661,201","1",
"23","Maine","2001","661,201","1",
"23","Maine","2002","661,201","1",
"23","Maine","2003","661,201","1",
"23","Maine","2004","661,201","1",
"23","Maine","2005","661,201","1",
"23","Maine","2006","661,201","1",
"23","Maine","2007","661,201","1",
"23","Maine","2008","661,226","1",
"23","Maine","2009","661,151","1",
"23","Maine","2010","665,484","1",
"23","Maine","2011","690,431","1",
"23","Maine","2012","663,618","1",
"23","Maine","2013","663,756","1",
"23","Maine","2014","669,168","1",
"23","Maine","2015","670,320","1",
"23","Maine","2016","670,375","1",
"24","Maryland","1999","5,157,529","1",
"24","Maryland","2000","5,157,529","1",
"24","Maryland","2001","5,157,529","1",
"24","Maryland","2002","5,157,529","1",
"24","Maryland","2003","5,157,529","1",
"24","Maryland","2004","5,157,529","1",
"24","Maryland","2005","5,157,529","1",
"24","Maryland","2006","5,143,306","1",
"24","Maryland","2007","5,157,529","1",
"24","Maryland","2008","5,105,475","1",
"24","Maryland","2009","5,132,561","1",
"24","Maryland","2010","5,200,014","1",
"24","Maryland","2011","5,266,738","1",
"24","Maryland","2012","5,271,294","1",
"24","Maryland","2013","5,274,390","1",
"24","Maryland","2014","5,288,267","1",
"24","Maryland","2015","5,308,196","1",
"25","Massachusetts","1999","8,416,200","1",
"25","Massachusetts","2000","8,416,200","1",
"25","Massachusetts","2001","8,416,200","1",
"25","Massachusetts","2002","8,416,200","1",
"25","Massachusetts","2003","8,416,200","1",
"25","Massachusetts","2004","8,416,200","1",
"25","Massachusetts","2005","8,416,200","1",
"25","Massachusetts","2006","8,416,200","1",
"25","Massachusetts","2007","8,416,200","1",
"25","Massachusetts","2008","8,510,074","1",
"25","Massachusetts","2009","8,510,321","1",
"25","Massachusetts","2010","8,510,788","1",
"25","Massachusetts","2011","8,866,615","1",
"25","Massachusetts","2012","8,879,989","1",
"25","Massachusetts","2013","8,920,376","1",
"25","Massachusetts","2014","8,930,205","1",
"25","Massachusetts","2015","8,924,314","1",
"26","Michigan","2012","7,557,005","1",
"26","Michigan","2013","7,557,005","1",
"26","Michigan","2014","7,557,005","1",
"26","Michigan","2015","7,498,501","1",
"26","Michigan","2016","7,606,785","1",
"27","Minnesota","1999","4,235,189","1",
"27","Minnesota","2000","4,235,189","1",
"27","Minnesota","2001","4,235,189","1",
"27","Minnesota","2002","4,235,189","1",
"27","Minnesota","2003","4,235,189","1",
"27","Minnesota","2004","4,235,269","1",
"27","Minnesota","2005","4,235,269","1",
"27","Minnesota","2006","4,235,869","1",
"27","Minnesota","2007","4,236,512","1",
"27","Minnesota","2008","4,236,512","1",
"27","Minnesota","2009","4,235,789","1",
"27","Minnesota","2010","4,236,512","1",
"27","Minnesota","2011","4,274,600","1",
"27","Minnesota","2012","4,269,859","1",
"27","Minnesota","2013","4,323,800","1",
"27","Minnesota","2014","4,332,607","1",
"27","Minnesota","2015","4,342,835","1",
"27","Minnesota","2016","4,329,274","1",
"29","Missouri","1999","3,056,921","1",
"29","Missouri","2000","3,220,554","1",
"29","Missouri","2001","2,861,506","1",
"29","Missouri","2002","2,710,180","1",
"29","Missouri","2003","3,108,234","1",
"29","Missouri","2004","4,050,592","1",
"29","Missouri","2005","2,563,407","1",
"29","Missouri","2006","4,532,744","1",
"29","Missouri","2007","5,002,567","1",
"29","Missouri","2008","4,153,659","1",
"29","Missouri","2009","4,645,562","1",
"29","Missouri","2010","4,670,953","1",
