"stateFIPS","State","countyFIPS","County","Year","Value","Stability","Contaminant Level","PWS ID","CWS Name","Population Served",
"06","California","06001","Alameda","2016","1.50","1","Non Detect",,"CA0110001","ALAMEDA COUNTY WATER DISTRICT","340000",
"06","California","06007","Butte","2016","1.50","1","Non Detect",,"CA0410002","CAL-WATER SERVICE CO.-CHICO","100435",
"06","California","06017","El Dorado","2016","1.50","1","Non Detect",,"CA0910001","EL DORADO ID - MAIN","112000",
"06","California","06017","El Dorado","2016","1.50","1","Non Detect",,"CA0910018","EL DORADO ID - OUTINGDALE","497",
"06","California","06017","El Dorado","2016","1.50","1","Non Detect",,"CA0910017","EL DORADO ID - STRAWBERRY","358",
"06","California","06017","El Dorado","2016","1.50","1","Non Detect",,"CA0900404","OAKLANE MOBILE VILLAGE, LLC.","75",
"06","California","06019","Fresno","2016","1.50","1","Non Detect",,"CA1000199","ALICE MANOR","46",
"06","California","06019","Fresno","2016","1.50","1","Non Detect",,"CA1010003","CITY OF CLOVIS","103871",
"06","California","06019","Fresno","2016","1.50","1","Non Detect",,"CA1010007","CITY OF FRESNO","524320",
"06","California","06019","Fresno","2016","1.50","1","Non Detect",,"CA1000023","FCSA #14/BELMONT MANOR","115",
"06","California","06019","Fresno","2016","1.50","1","Non Detect",,"CA1010017","FCWWD #41/SHAVER LAKE","3079",
"06","California","06019","Fresno","2016","1.50","1","Non Detect",,"CA1000324","MANNING GARDENS CARE CENTER INC","144",
"06","California","06019","Fresno","2016","1.50","1","Non Detect",,"CA1000378","SUNSET WEST COMMUNITY LLC","350",
"06","California","06029","Kern","2016","1.50","1","Non Detect",,"CA1510038","BEAR VALLEY CSD","6800",
"06","California","06029","Kern","2016","1.50","1","Non Detect",,"CA1502629","HEATH BRIMHALL P.O.A.","47",
"06","California","06029","Kern","2016","1.50","1","Non Detect",,"CA1500465","OAK KNOLLS MUTUAL WATER COMPANY","123",
"06","California","06029","Kern","2016","1.50","1","Non Detect",,"CA1500216","OPAL FRY AND SON","40",
"06","California","06029","Kern","2016","1.50","1","Non Detect",,"CA1500553","RANCHOS DEL RIO","62",
"06","California","06029","Kern","2016","1.50","1","Non Detect",,"CA1500557","STOCKDALE RANCHOS MUTUAL WATER CO","313",
"06","California","06031","Kings","2016","1.50","1","Non Detect",,"CA1610002","AVENAL, CITY OF","16236",
"06","California","06031","Kings","2016","1.50","1","Non Detect",,"CA1600002","EL DORADO MOBILE PARK","400",
"06","California","06031","Kings","2016","1.50","1","Non Detect",,"CA1610700","LEMOORE NAVAL AIR STATION","12000",
"06","California","06033","Lake","2016","1.50","1","Non Detect",,"CA1710005","LUCERNE WATER CO. - CAL WATER SERVICE","2369",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1900942","ALPINE SPRINGS MOBILE HOME PARK","175",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1900794","ANTELOPE PARK MUTUAL WATER COMPANY","445",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1910007","AZUSA LIGHT AND WATER","110000",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1910179","BURBANK-CITY, WATER DEPT.","106084",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1910033","CALIFORNIA WATER SERVICE CO. - DOMINGUEZ","142131",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1900717","CASA DULCE ESTATES","28",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1900817","CLEAR SKIES MOBILE HOME PARK","131",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1900801","COLORADO MUTUAL WATER COMPANY","30",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1900693","DESERT PALMS MOBILE HOME PARK","140",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1910034","DOWNEY - CITY, WATER DEPT.","112585",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1910038","EL MONTE-CITY, WATER DEPT.","23748",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1900636","EL RANCHO MOBILE HOME PARK","215",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1910043","GLENDALE-CITY, WATER DEPT.","196682",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1910044","GLENDORA-CITY, WATER DEPT.","45300",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1910142","GSWC-SAN DIMAS","55123",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1910212","GSWC-SOUTH ARCADIA","26277",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1910223","GSWC-SOUTH SAN GABRIEL","17046",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1910047","HAWTHORNE-CITY WATER DEPT.","44504",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1910060","LA PUENTE VALLEY CWD","9852",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1910062","LA VERNE, CITY WD","32288",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1900038","LANCASTER PARK MOBILE HOME PARK","61",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1910063","LINCOLN AVENUE WATER CO.","16126",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1910067","LOS ANGELES-CITY, DEPT. OF WATER & POWER","3987622",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1910079","LYNWOOD-CITY, WATER DEPT.","65965",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1900100","METTLER VALLEY MUTUAL","135",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1910092","MONTEREY PARK-CITY, WATER DEPT.","62183",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1907014","NORTH TRAILS MUTUAL WATER COMPANY","100",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1910103","PALM RANCH IRRIGATION DIST.","5530",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1910102","PALMDALE WATER DIST.","116183",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1910105","PARAMOUNT - CITY, WATER DEPT.","55051",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1910124","PASADENA-CITY, WATER DEPT.","166482",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1910126","POMONA - CITY, WATER DEPT.","154219",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1910039","SAN GABRIEL VALLEY WATER CO.-EL MONTE","227787",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1910146","SANTA MONICA-CITY, WATER DIVISION","93283",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1910148","SIERRA MADRE-CITY, WATER DEPT.","11094",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1910152","SOUTH GATE-CITY, WATER DEPT.","96057",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1900976","THE OAKS","67",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1900074","THE PAINTED TURTLE CAMP","57",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1900520","THE VILLAGE MOBILE HOME PARK","50",
"06","California","06037","Los Angeles","2016","1.50","1","Non Detect",,"CA1910009","VALLEY COUNTY WATER DIST.","71003",
"06","California","06039","Madera","2016","1.50","1","Non Detect",,"CA2000557","MD#43 MIAMI CREEK KNOLLS","100",
"06","California","06041","Marin","2016","1.50","1","Non Detect",,"CA2110002","MARIN MUNICIPAL WATER DISTRICT","195362",
"06","California","06045","Mendocino","2016","1.50","1","Non Detect",,"CA2310002","ROGINA WATER COMPANY INC.","3700",
"06","California","06047","Merced","2016","1.50","1","Non Detect",,"CA2410009","CITY OF MERCED","80608",
"06","California","06053","Monterey","2016","1.50","1","Non Detect",,"CA2700523","CALERA CANYON HEIGHTS HOA","39",
"06","California","06053","Monterey","2016","1.50","1","Non Detect",,"CA2702588","CANADA WOODS WC","432",
"06","California","06053","Monterey","2016","1.50","1","Non Detect",,"CA2710009","CWSC KING CITY","14441",
"06","California","06053","Monterey","2016","1.50","1","Non Detect",,"CA2710013","CWSC LAS LOMAS","3312",
"06","California","06053","Monterey","2016","1.50","1","Non Detect",,"CA2710010","CWSC SALINAS","106858",
"06","California","06053","Monterey","2016","1.50","1","Non Detect",,"CA2710012","CWSC SALINAS HILLS","8213",
"06","California","06053","Monterey","2016","1.50","1","Non Detect",,"CA2701241","ENCINAL RD WS #01","41",
"06","California","06053","Monterey","2016","1.50","1","Non Detect",,"CA2700535","JOST POST WA","60",
"06","California","06053","Monterey","2016","1.50","1","Non Detect",,"CA2701515","MOSS LANDING HARBOR WS","402",
"06","California","06055","Napa","2016","1.50","1","Non Detect",,"CA2810005","AMERICAN CANYON, CITY OF","20082",
"06","California","06055","Napa","2016","1.50","1","Non Detect",,"CA2810003","NAPA, CITY OF","86051",
"06","California","06057","Nevada","2016","1.50","1","Non Detect",,"CA2900562","ANANDA VILLAGE","290",
"06","California","06057","Nevada","2016","1.50","1","Non Detect",,"CA2900541","CHRISTIAN ENCOUNTER MINISTRIES","35",
"06","California","06057","Nevada","2016","1.50","1","Non Detect",,"CA2900531","CREEKSIDE VILLAGE","300",
"06","California","06057","Nevada","2016","1.50","1","Non Detect",,"CA2900529","GOLD COUNTRY HOME PARK - WATER SYSTEM","60",
"06","California","06057","Nevada","2016","1.50","1","Non Detect",,"CA2910007","NEVADA ID - CASCADE SHORES","959",
"06","California","06057","Nevada","2016","1.50","1","Non Detect",,"CA2910004","NEVADA ID - E. GEORGE, BANNER MOUNTAIN","12939",
"06","California","06057","Nevada","2016","1.50","1","Non Detect",,"CA2910014","NEVADA ID - LAKE OF PINES","5554",
"06","California","06057","Nevada","2016","1.50","1","Non Detect",,"CA2910023","NEVADA ID - LAKE WILDWOOD","7090",
"06","California","06057","Nevada","2016","1.50","1","Non Detect",,"CA2910006","NEVADA ID - LOMA RICA","11778",
"06","California","06057","Nevada","2016","1.50","1","Non Detect",,"CA2900511","SHADY LAKE WATER ASSOCIATION","90",
"06","California","06057","Nevada","2016","1.50","1","Non Detect",,"CA2900548","SIERRA ESTATES MUTUAL WATER COMPANY","100",
"06","California","06057","Nevada","2016","1.50","1","Non Detect",,"CA2900546","SIERRA FRIENDS CENTER","150",
"06","California","06057","Nevada","2016","1.50","1","Non Detect",,"CA2910013","WASHINGTON RIDGE C.C.","100",
"06","California","06059","Orange","2016","1.50","1","Non Detect",,"CA3010001","CITY OF ANAHEIM","450000",
"06","California","06059","Orange","2016","1.50","1","Non Detect",,"CA3010018","CITY OF LA HABRA","60239",
"06","California","06059","Orange","2016","1.50","1","Non Detect",,"CA3010092","IRVINE RANCH WATER DISTRICT","380000",
"06","California","06061","Placer","2016","1.50","1","Non Detect",,"CA3110026","NEVADA ID - NORTH AUBURN","6410",
"06","California","06065","Riverside","2016","1.50","1","Non Detect",,"CA3310037","CORONA, CITY OF","168070",
"06","California","06065","Riverside","2016","1.50","1","Non Detect",,"CA3310005","DESERT WATER AGENCY","62194",
"06","California","06065","Riverside","2016","1.50","1","Non Detect",,"CA3310009","EASTERN MUNICIPAL WD","546146",
"06","California","06065","Riverside","2016","1.50","1","Non Detect",,"CA3310012","ELSINORE VALLEY MWD","150653",
"06","California","06065","Riverside","2016","1.50","1","Non Detect",,"CA3310021","JURUPA COMMUNITY SD","118731",
"06","California","06065","Riverside","2016","1.50","1","Non Detect",,"CA3310038","RANCHO CALIFORNIA WATER DISTRICT","120363",
"06","California","06065","Riverside","2016","1.50","1","Non Detect",,"CA3310031","RIVERSIDE, CITY OF","300106",
"06","California","06065","Riverside","2016","1.50","1","Non Detect",,"CA3310044","RUBIDOUX COMMUNITY SD","32000",
"06","California","06065","Riverside","2016","1.50","1","Non Detect",,"CA3310032","SAN JACINTO, CITY OF","17961",
"06","California","06067","Sacramento","2016","1.50","1","Non Detect",,"CA3410020","CITY OF SACRAMENTO MAIN","486189",
"06","California","06067","Sacramento","2016","1.50","1","Non Detect",,"CA3410007","DEL PASO MANOR COUNTY WATER DI","4458",
"06","California","06067","Sacramento","2016","1.50","1","Non Detect",,"CA3410032","FOLSOM STATE PRISON","9500",
"06","California","06067","Sacramento","2016","1.50","1","Non Detect",,"CA3410014","FOLSOM, CITY OF - MAIN","54871",
"06","California","06067","Sacramento","2016","1.50","1","Non Detect",,"CA3410011","GALT, CITY OF","22982",
"06","California","06067","Sacramento","2016","1.50","1","Non Detect",,"CA3410015","GOLDEN STATE WATER CO. - CORDOVA","47810",
"06","California","06067","Sacramento","2016","1.50","1","Non Detect",,"CA3410018","RIO LINDA/ELVERTA COMMUNITY WATER DIST","13386",
"06","California","06067","Sacramento","2016","1.50","1","Non Detect",,"CA3410021","SAN JUAN WATER DISTRICT","33792",
"06","California","06067","Sacramento","2016","1.50","1","Non Detect",,"CA3410029","SCWA - LAGUNA/VINEYARD","148814",
"06","California","06069","San Benito","2016","1.50","1","Non Detect",,"CA3500904","HOLLISTER RANCH ESTATES","150",
"06","California","06071","San Bernardino","2016","1.50","1","Non Detect",,"CA3600114","CSA 70 W-3 HACIENDA","695",
"06","California","06071","San Bernardino","2016","1.50","1","Non Detect",,"CA3600196","CSA 70 W-4 PIONEERTOWN","625",
"06","California","06071","San Bernardino","2016","1.50","1","Non Detect",,"CA3610018","CUCAMONGA VALLEY WATER DISTRICT","200466",
"06","California","06071","San Bernardino","2016","1.50","1","Non Detect",,"CA3600391","HILLCREST MOBILE ESTATES","900",
"06","California","06071","San Bernardino","2016","1.50","1","Non Detect",,"CA3610005","LAKE ARROWHEAD CSD","12548",
"06","California","06071","San Bernardino","2016","1.50","1","Non Detect",,"CA3600200","RANCHERITOS MWC","655",
"06","California","06071","San Bernardino","2016","1.50","1","Non Detect",,"CA3610041","SAN GABRIEL VALLEY WC - FONTANA","215520",
"06","California","06071","San Bernardino","2016","1.50","1","Non Detect",,"CA3600258","SKY FOREST MWC","605",
"06","California","06071","San Bernardino","2016","1.50","1","Non Detect",,"CA3610050","UPLAND, CITY OF","78791",
"06","California","06071","San Bernardino","2016","1.50","1","Non Detect",,"CA3610052","VICTORVILLE WATER DISTRICT","123795",
"06","California","06071","San Bernardino","2016","1.50","1","Non Detect",,"CA3610004","WEST VALLEY WATER DISTRICT","74310",
"06","California","06073","San Diego","2016","1.50","1","Non Detect",,"CA3710700","CAMP PENDLETON (NORTH)","15600",
"06","California","06073","San Diego","2016","1.50","1","Non Detect",,"CA3710010","HELIX WATER DISTRICT","267922",
"06","California","06073","San Diego","2016","1.50","1","Non Detect",,"CA3700924","LAKE MORENA VIEWS MW CO.","360",
"06","California","06073","San Diego","2016","1.50","1","Non Detect",,"CA3710014","OCEANSIDE, CITY OF","171183",
"06","California","06073","San Diego","2016","1.50","1","Non Detect",,"CA3710029","OLIVENHAIN MWD","63000",
"06","California","06073","San Diego","2016","1.50","1","Non Detect",,"CA3710020","SAN DIEGO, CITY OF","1326200",
"06","California","06073","San Diego","2016","1.50","1","Non Detect",,"CA3710023","SANTA FE I.D.","21081",
"06","California","06073","San Diego","2016","1.50","1","Non Detect",,"CA3710025","SWEETWATER AUTHORITY","378185",
"06","California","06077","San Joaquin","2016","1.50","1","Non Detect",,"CA3910012","CITY OF STOCKTON","182963",
"06","California","06077","San Joaquin","2016","1.50","1","Non Detect",,"CA3910004","LODI, CITY OF","63715",
