"stateFIPS","State","countyFIPS","County","Year","Value","Stability","Contaminant Level","PWS ID","CWS Name","Population Served",
"06","California","06001","Alameda","2016","0.40","1","Less than or equal MCL",,"CA0110001","ALAMEDA COUNTY WATER DISTRICT","340000",
"06","California","06001","Alameda","2016","4.83","1","Less than or equal MCL",,"CA0110003","CALIFORNIA WATER SERVICE - LIVERMORE","56700",
"06","California","06001","Alameda","2016","0.20","1","Non Detect",,"CA0110005","EAST BAY MUD","1379000",
"06","California","06001","Alameda","2016","1.91","1","Less than or equal MCL",,"CA0110010","ZONE 7 WATER AGENCY","40",
"06","California","06003","Alpine","2016","0.36","1","Less than or equal MCL",,"CA0210002","KIRKWOOD MEADOWS PUBILC UTILIT","101",
"06","California","06003","Alpine","2016","0.20","1","Non Detect",,"CA0210001","LAKE ALPINE WATER COMPANY","2650",
"06","California","06003","Alpine","2016","0.34","1","Less than or equal MCL",,"CA0202522","SIERRA PINES MOBILE HOME PARK","70",
"06","California","06005","Amador","2016","0.20","1","Non Detect",,"CA0310012","AWA BUCKHORN PLANT","8606",
"06","California","06005","Amador","2016","0.20","1","Non Detect",,"CA0310002","AWA, IONE","6919",
"06","California","06005","Amador","2016","0.20","1","Non Detect",,"CA0310008","CAMANCHE NORTH SHORE INC.","255",
"06","California","06005","Amador","2016","0.20","1","Non Detect",,"CA0300019","FIDDLETOWN COMMUNITY SERVICE","100",
"06","California","06005","Amador","2016","0.20","1","Non Detect",,"CA0300078","IONE BAND OF MIWOK INDIANS","62",
"06","California","06005","Amador","2016","1.20","1","Less than or equal MCL",,"CA0300053","RANCHO DEL ORO","34",
"06","California","06005","Amador","2016","3.70","1","Less than or equal MCL",,"CA0300011","SUTTER PINES MHP","40",
"06","California","06005","Amador","2016","0.20","1","Non Detect",,"CA0300024","TABEAU MOBILE HOME PARK","25",
"06","California","06005","Amador","2016","0.20","1","Non Detect",,"CA0310020","THE OAKS MOBILE HOME PARK","600",
"06","California","06007","Butte","2016","0.55","1","Less than or equal MCL",,"CA0400016","BERRY CREEK COMMUNITY SERVICE DIST","99",
"06","California","06007","Butte","2016","0.20","1","Non Detect",,"CA0409181","BLUE OAK TERRACE MUTUAL","50",
"06","California","06007","Butte","2016","0.20","1","Non Detect",,"CA0400049","BUTTE CREEK MHP","100",
"06","California","06007","Butte","2016","2.13","1","Less than or equal MCL",,"CA0410002","CAL-WATER SERVICE CO.-CHICO","100435",
"06","California","06007","Butte","2016","0.20","1","Non Detect",,"CA0410005","CAL-WATER SERVICE CO.-OROVILLE","9427",
"06","California","06007","Butte","2016","1.10","1","Less than or equal MCL",,"CA0410004","CITY OF GRIDLEY","6403",
"06","California","06007","Butte","2016","0.20","1","Non Detect",,"CA0405001","DEL ORO WATER CO.-LIME SADDLE MARINA","1158",
"06","California","06007","Butte","2016","0.20","1","Non Detect",,"CA0410018","DEL ORO WATER CO.-STIRLING BLUFFS","313",
"06","California","06007","Butte","2016","0.20","1","Non Detect",,"CA0400091","DEL ORO WATER COMPANY - BUZZTAIL DIST.","70",
"06","California","06007","Butte","2016","0.67","1","Less than or equal MCL",,"CA0400051","DINGERVILLE USA PARK","447",
"06","California","06007","Butte","2016","0.20","1","Non Detect",,"CA0400012","FARM LABOR HOUSING","460",
"06","California","06007","Butte","2016","0.70","1","Less than or equal MCL",,"CA0400081","FEATHER RIDGE ESTATES WATER CO","12",
"06","California","06007","Butte","2016","0.20","1","Non Detect",,"CA0400027","FOOTHILL MOBILE HOME PARK","180",
"06","California","06007","Butte","2016","0.80","1","Less than or equal MCL",,"CA0400078","FOREST KNOLLS MUTUAL WATER CO","41",
"06","California","06007","Butte","2016","0.80","1","Less than or equal MCL",,"CA0400041","FOREST RANCH MOBILE PARK","25",
"06","California","06007","Butte","2016","1.89","1","Less than or equal MCL",,"CA0400004","FOREST RANCH MUTUAL WATER SYSTEM","92",
"06","California","06007","Butte","2016","0.52","1","Less than or equal MCL",,"CA0400042","FOREST VILLAGE LLC","34",
"06","California","06007","Butte","2016","1.44","1","Less than or equal MCL",,"CA0400030","GOLDEN FEATHER MHP","275",
"06","California","06007","Butte","2016","6.03","1","Less than or equal MCL",,"CA0400023","GOLDEN OAKS MOBILE ESTATES","34",
"06","California","06007","Butte","2016","0.39","1","Less than or equal MCL",,"CA0400008","GRAN MUTUAL WATER CO","200",
"06","California","06007","Butte","2016","1.30","1","Less than or equal MCL",,"CA0400003","HARTLEY MUTUAL WATER SYSTEM","31",
"06","California","06007","Butte","2016","0.20","1","Less than or equal MCL",,"CA0400123","HUMBOLDT HIGHLANDS MUTUAL","50",
"06","California","06007","Butte","2016","0.10","1","Less than or equal MCL",,"CA0400149","HUMBOLDT WOODLANDS MUTUAL","75",
"06","California","06007","Butte","2016","3.22","1","Less than or equal MCL",,"CA0400151","KEEFER CREEK ESTATES MUTUAL","95",
"06","California","06007","Butte","2016","0.20","1","Non Detect",,"CA0400014","LAKE MADRONE WATER DISTRICT","297",
"06","California","06007","Butte","2016","0.20","1","Non Detect",,"CA0400026","MEADOWBROOK OAKS","50",
"06","California","06007","Butte","2016","0.20","1","Less than or equal MCL",,"CA0400013","MERRY MOUNTAIN MUTUAL","100",
"06","California","06007","Butte","2016","8.90","1","Less than or equal MCL",,"CA0400036","MOUNTAIN VIEW MOBILE ACRES MHP LLC","230",
"06","California","06007","Butte","2016","0.20","1","Non Detect",,"CA0400090","MOUNTAIN VILLAGE HOMEOWNER'S ASSOC","40",
"06","California","06007","Butte","2016","2.36","1","Less than or equal MCL",,"CA0400019","OROVILLE MOBILE HOME PARK","74",
"06","California","06007","Butte","2016","0.22","1","Less than or equal MCL",,"CA0410007","PARADISE IRRIGATION DISTRICT","26299",
"06","California","06007","Butte","2016","5.70","1","Less than or equal MCL",,"CA0400020","PLEASANT GROVE MHP","327",
"06","California","06007","Butte","2016","1.90","1","Less than or equal MCL",,"CA0400046","PONDEROSA MOBILE ESTATES","70",
"06","California","06007","Butte","2016","2.03","1","Less than or equal MCL",,"CA0400021","ROBINSON'S CORNER MHP","20",
"06","California","06007","Butte","2016","0.20","1","Non Detect",,"CA0410012","SFWP-BANGOR","63",
"06","California","06007","Butte","2016","0.20","1","Non Detect",,"CA0410006","SFWP-MINERS RANCH","22348",
"06","California","06007","Butte","2016","0.20","1","Non Detect",,"CA0409183","SIERRA MOON WATER COMPANY","120",
"06","California","06007","Butte","2016","0.05","1","Non Detect",,"CA0410008","THERMALITO WATER & SEWER DISTRICT","9513",
"06","California","06007","Butte","2016","0.05","1","Non Detect",,"CA0400001","YOUTH WITH A MISSION-SPRINGS OF LIVING W","150",
"06","California","06009","Calaveras","2016","0.20","1","Non Detect",,"CA0510003","ANGELS, CITY OF","3836",
"06","California","06009","Calaveras","2016","0.20","1","Non Detect",,"CA0510002","CALAVERAS PUD","4758",
"06","California","06009","Calaveras","2016","0.20","1","Non Detect",,"CA0510012","CAMANCHE SOUTH SHORE-EBMUD","180",
"06","California","06009","Calaveras","2016","0.20","1","Non Detect",,"CA0510017","CCWD - COPPER COVE","7092",
"06","California","06009","Calaveras","2016","0.20","1","Non Detect",,"CA0510016","CCWD - EBBETTS PASS","21397",
"06","California","06009","Calaveras","2016","0.49","1","Less than or equal MCL",,"CA0510006","CCWD - JENNY LIND","13756",
"06","California","06009","Calaveras","2016","0.20","1","Non Detect",,"CA0510004","CCWD - SHEEP RANCH","134",
"06","California","06009","Calaveras","2016","0.20","1","Non Detect",,"CA0510019","CCWD - WALLACE","340",
"06","California","06009","Calaveras","2016","0.20","1","Non Detect",,"CA0510005","CCWD - WEST POINT","1588",
"06","California","06009","Calaveras","2016","0.20","1","Non Detect",,"CA0500019","MINERAL MOUNTAIN MUTUAL WATER","125",
"06","California","06009","Calaveras","2016","0.20","1","Non Detect",,"CA0510001","UNION PUBLIC UTILITY DISTRICT","4300",
"06","California","06011","Colusa","2016","2.27","1","Less than or equal MCL",,"CA0610001","ARBUCKLE PUBLIC UTILITY DISTRICT","2300",
"06","California","06011","Colusa","2016","0.05","1","Non Detect",,"CA0610002","CITY OF COLUSA","5625",
"06","California","06011","Colusa","2016","1.86","1","Less than or equal MCL",,"CA0605011","DEL ORO WC - ARBUCKLE DISTRICT","136",
"06","California","06011","Colusa","2016","0.20","1","Non Detect",,"CA0610003","MAXWELL PUBLIC UTILITY DISTRICT","1323",
"06","California","06013","Contra Costa","2016","0.20","1","Non Detect",,"CA0707501","ANGLER S RANCH #3","60",
"06","California","06013","Contra Costa","2016","0.28","1","Less than or equal MCL",,"CA0707569","ANGLERS SUBDIVISION 4","210",
"06","California","06013","Contra Costa","2016","0.20","1","Non Detect",,"CA0707602","BEACON WEST","45",
"06","California","06013","Contra Costa","2016","1.20","1","Less than or equal MCL",,"CA0707589","BELLA VISTA WATER SYS","93",
"06","California","06013","Contra Costa","2016","0.20","1","Non Detect",,"CA0707572","BETHEL ISLAND MUTUAL WATER CO","149",
"06","California","06013","Contra Costa","2016","9.15","1","Less than or equal MCL",,"CA0707588","BIG OAK MOBILE HOME PARK WATER","156",
"06","California","06013","Contra Costa","2016","0.20","1","Non Detect",,"CA0707598","CAMINO MOBILEHOME","210",
"06","California","06013","Contra Costa","2016","4.80","1","Less than or equal MCL",,"CA0707594","CASA MEDANOS WATER SYSTEM","45",
"06","California","06013","Contra Costa","2016","5.70","1","Less than or equal MCL",,"CA0707517","COLONIA SANTA MARIA","32",
"06","California","06013","Contra Costa","2016","0.20","1","Non Detect",,"CA0707573","DELTA MUTUAL WATER COMPANY","225",
"06","California","06013","Contra Costa","2016","0.20","1","Non Detect",,"CA0710007","DIABLO WATER DISTRICT","36014",
"06","California","06013","Contra Costa","2016","0.20","1","Non Detect",,"CA0707615","DOUBLETREE RANCH WATER SYSTEM","49",
"06","California","06013","Contra Costa","2016","0.05","1","Non Detect",,"CA0707519","DUTCH SLOUGH WATER WORKS","49",
"06","California","06013","Contra Costa","2016","0.20","1","Non Detect",,"CA0706005","FARRAR PARK PROPERTY OWNERS","140",
"06","California","06013","Contra Costa","2016","0.20","1","Non Detect",,"CA0707523","FLAMINGO MOBILE MANOR","200",
"06","California","06013","Contra Costa","2016","0.20","1","Non Detect",,"CA0707575","FRANKS MARINA","185",
"06","California","06013","Contra Costa","2016","0.62","1","Less than or equal MCL",,"CA0707547","KNIGHTSEN COMMUNITY WATER SYSTEM","250",
"06","California","06013","Contra Costa","2016","0.22","1","Less than or equal MCL",,"CA0707585","MORAGA HEIGHTS MUTUAL WATER","60",
"06","California","06013","Contra Costa","2016","0.20","1","Non Detect",,"CA0706004","OAKLEY MUTUAL WATER COMPANY","170",
"06","California","06013","Contra Costa","2016","0.20","1","Non Detect",,"CA0707576","PLEASANTIMES MUTUAL WATER CO","380",
"06","California","06013","Contra Costa","2016","5.35","1","Less than or equal MCL",,"CA0707553","RIVERVIEW MOBILE HOMES","216",
"06","California","06013","Contra Costa","2016","0.20","1","Non Detect",,"CA0707577","RIVERVIEW WATER ASSOCIATION","230",
"06","California","06013","Contra Costa","2016","0.20","1","Non Detect",,"CA0707556","SANDMOUND MUTUAL","160",
"06","California","06013","Contra Costa","2016","0.20","1","Non Detect",,"CA0707597","SANDY POINT MOBILE HOME PARK","94",
"06","California","06013","Contra Costa","2016","0.12","1","Less than or equal MCL",,"CA0710009","TOWN OF DISCOVERY BAY","13500",
"06","California","06013","Contra Costa","2016","0.20","1","Non Detect",,"CA0707623","WILCOX STATION RANCH","90",
"06","California","06013","Contra Costa","2016","0.20","1","Non Detect",,"CA0707507","WILLOW PARK MARINA","380",
"06","California","06015","Del Norte","2016","0.20","1","Non Detect",,"CA0800555","GASQUET C.S.D.","775",
"06","California","06015","Del Norte","2016","1.10","1","Less than or equal MCL",,"CA0800557","HUNTER VALLEY CSD","96",
"06","California","06015","Del Norte","2016","1.00","1","Less than or equal MCL",,"CA0800548","KLAMATH C.S.D.","100",
"06","California","06015","Del Norte","2016","2.30","1","Less than or equal MCL",,"CA0800552","NORTHCREST TRAILER CITY","250",
"06","California","06015","Del Norte","2016","5.80","1","Less than or equal MCL",,"CA0800800","PINE GROVE TRAILER PARK","100",
"06","California","06015","Del Norte","2016","2.58","1","Less than or equal MCL",,"CA0800605","WEST PARK PROPERTIES","112",
"06","California","06017","El Dorado","2016","0.20","1","Non Detect",,"CA0910018","EL DORADO ID - OUTINGDALE","497",
"06","California","06017","El Dorado","2016","0.20","1","Non Detect",,"CA0910017","EL DORADO ID - STRAWBERRY","358",
"06","California","06017","El Dorado","2016","0.20","1","Non Detect",,"CA0900102","GOLD BEACH PARK","100",
"06","California","06017","El Dorado","2016","0.20","1","Non Detect",,"CA0910006","GRIZZLY FLATS COMMUNITY SERVIC","1300",
"06","California","06017","El Dorado","2016","0.14","1","Less than or equal MCL",,"CA0910007","LUKINS BROTHERS WATER COMPANY","250",
"06","California","06017","El Dorado","2016","1.80","1","Less than or equal MCL",,"CA0900404","OAKLANE MOBILE VILLAGE, LLC.","75",
"06","California","06017","El Dorado","2016","0.06","1","Less than or equal MCL",,"CA0910002","SOUTH TAHOE PUD - MAIN","29500",
"06","California","06017","El Dorado","2016","0.40","1","Less than or equal MCL",,"CA0910015","TAHOE KEYS WATER COMPANY","1200",
"06","California","06019","Fresno","2016","7.28","1","Less than or equal MCL",,"CA1000199","ALICE MANOR","46",
"06","California","06019","Fresno","2016","4.63","1","Less than or equal MCL",,"CA1010001","BAKMAN WATER COMPANY","8866",
"06","California","06019","Fresno","2016","5.80","1","Less than or equal MCL",,"CA1000004","BELMONT WATER CORPORATION","112",
"06","California","06019","Fresno","2016","0.20","1","Non Detect",,"CA1000238","CAMDEN TRAILER PARK","75",
"06","California","06019","Fresno","2016","0.20","1","Non Detect",,"CA1009051","CANTUA CREEK VINEYARDS, IV, LLC.","50",
"06","California","06019","Fresno","2016","0.80","1","Less than or equal MCL",,"CA1010039","CARUTHERS COMM SERV DIST","2503",
"06","California","06019","Fresno","2016","3.47","1","Less than or equal MCL",,"CA1010003","CITY OF CLOVIS","103871",
"06","California","06019","Fresno","2016","1.27","1","Less than or equal MCL",,"CA1010006","CITY OF FOWLER","5801",
"06","California","06019","Fresno","2016","5.17","1","Less than or equal MCL",,"CA1010007","CITY OF FRESNO","524320",
"06","California","06019","Fresno","2016","0.20","1","Non Detect",,"CA1010023","CITY OF ORANGE COVE","9780",
"06","California","06019","Fresno","2016","3.31","1","Less than or equal MCL",,"CA1010029","CITY OF SANGER","25664",
"06","California","06019","Fresno","2016","0.20","1","Non Detect",,"CA1010004","COALINGA-CITY","19362",
"06","California","06019","Fresno","2016","6.12","1","Less than or equal MCL",,"CA1000057","DEL ORO WATER CO - METROPOLITAN DISTRICT","99",
"06","California","06019","Fresno","2016","0.64","1","Less than or equal MCL",,"CA1010035","DEL REY COMMUNITY SERV DIST","1500",
"06","California","06019","Fresno","2016","0.51","1","Less than or equal MCL",,"CA1000016","DORABELLE MUTUAL WATER COMPANY","70",
"06","California","06019","Fresno","2016","5.46","1","Less than or equal MCL",,"CA1000248","DOUBLE L MOBILE RANCH PARK","80",
"06","California","06019","Fresno","2016","2.30","1","Less than or equal MCL",,"CA1000018","EASTON ESTATES WATER COMPANY","302",
"06","California","06019","Fresno","2016","1.60","1","Less than or equal MCL",,"CA1000021","FCSA #05/WILDWOOD ISLAND","417",
"06","California","06019","Fresno","2016","4.35","1","Less than or equal MCL",,"CA1000039","FCSA #10/CUMORAH KNOLLS","132",
"06","California","06019","Fresno","2016","6.75","1","Less than or equal MCL",,"CA1000554","FCSA #10A/MANSIONETTE ESTATES","81",
"06","California","06019","Fresno","2016","2.20","1","Less than or equal MCL",,"CA1000023","FCSA #14/BELMONT MANOR","115",
"06","California","06019","Fresno","2016","0.20","1","Non Detect",,"CA1000359","FCSA #32/CANTUA CREEK","210",
"06","California","06019","Fresno","2016","0.75","1","Less than or equal MCL",,"CA1000484","FCSA #34/ MILLERTON NEW TOWN","722",
"06","California","06019","Fresno","2016","5.44","1","Less than or equal MCL",,"CA1000555","FCSA #44C/RIVERVIEW ESTATES","30",
