"stateFIPS","State","countyFIPS","County","Year","Value","Stability","Contaminant Level","PWS ID","CWS Name","Population Served",
"06","California","06001","Alameda","2016","0.25","1","Non Detect",,"CA0110001","ALAMEDA COUNTY WATER DISTRICT","340000",
"06","California","06001","Alameda","2016","0.25","1","Non Detect",,"CA0110003","CALIFORNIA WATER SERVICE - LIVERMORE","56700",
"06","California","06001","Alameda","2016","0.25","1","Non Detect",,"CA0110005","EAST BAY MUD","1379000",
"06","California","06001","Alameda","2016","0.25","1","Non Detect",,"CA0110010","ZONE 7 WATER AGENCY","40",
"06","California","06003","Alpine","2016","0.25","1","Non Detect",,"CA0210002","KIRKWOOD MEADOWS PUBILC UTILIT","101",
"06","California","06003","Alpine","2016","0.25","1","Non Detect",,"CA0210001","LAKE ALPINE WATER COMPANY","2650",
"06","California","06005","Amador","2016","0.25","1","Non Detect",,"CA0310008","CAMANCHE NORTH SHORE INC.","255",
"06","California","06005","Amador","2016","0.25","1","Non Detect",,"CA0300078","IONE BAND OF MIWOK INDIANS","62",
"06","California","06007","Butte","2016","0.25","1","Non Detect",,"CA0410002","CAL-WATER SERVICE CO.-CHICO","100435",
"06","California","06007","Butte","2016","0.25","1","Non Detect",,"CA0410005","CAL-WATER SERVICE CO.-OROVILLE","9427",
"06","California","06007","Butte","2016","0.25","1","Non Detect",,"CA0400051","DINGERVILLE USA PARK","447",
"06","California","06007","Butte","2016","0.25","1","Non Detect",,"CA0400149","HUMBOLDT WOODLANDS MUTUAL","75",
"06","California","06007","Butte","2016","0.25","1","Non Detect",,"CA0400014","LAKE MADRONE WATER DISTRICT","297",
"06","California","06007","Butte","2016","0.25","1","Non Detect",,"CA0400013","MERRY MOUNTAIN MUTUAL","100",
"06","California","06007","Butte","2016","0.25","1","Non Detect",,"CA0410012","SFWP-BANGOR","63",
"06","California","06007","Butte","2016","0.25","1","Non Detect",,"CA0409183","SIERRA MOON WATER COMPANY","120",
"06","California","06009","Calaveras","2016","0.25","1","Non Detect",,"CA0510002","CALAVERAS PUD","4758",
"06","California","06009","Calaveras","2016","0.25","1","Non Detect",,"CA0510012","CAMANCHE SOUTH SHORE-EBMUD","180",
"06","California","06009","Calaveras","2016","0.25","1","Non Detect",,"CA0510017","CCWD - COPPER COVE","7092",
"06","California","06009","Calaveras","2016","0.25","1","Non Detect",,"CA0510016","CCWD - EBBETTS PASS","21397",
"06","California","06009","Calaveras","2016","0.25","1","Non Detect",,"CA0510006","CCWD - JENNY LIND","13756",
"06","California","06009","Calaveras","2016","0.25","1","Non Detect",,"CA0510004","CCWD - SHEEP RANCH","134",
"06","California","06009","Calaveras","2016","0.25","1","Non Detect",,"CA0500068","DUNROVIN MOBILE HOME VILLAGE","99",
