"stateFIPS","State","countyFIPS","County","Year","Value","Stability","Contaminant Level","PWS ID","CWS Name","Population Served",
"06","California","06001","Alameda","2016","0.75","1","Non Detect",,"CA0110003","CALIFORNIA WATER SERVICE - LIVERMORE","56700",
"06","California","06001","Alameda","2016","2.19","1","Less than or equal MCL",,"CA0110005","EAST BAY MUD","1379000",
"06","California","06001","Alameda","2016","1.19","1","Less than or equal MCL",,"CA0110010","ZONE 7 WATER AGENCY","40",
"06","California","06005","Amador","2016","0.16","1","Less than or equal MCL",,"CA0310008","CAMANCHE NORTH SHORE INC.","255",
"06","California","06005","Amador","2016","1.81","1","Less than or equal MCL",,"CA0300078","IONE BAND OF MIWOK INDIANS","62",
"06","California","06005","Amador","2016","8.91","1","Less than or equal MCL",,"CA0300011","SUTTER PINES MHP","40",
"06","California","06007","Butte","2016","2.24","1","Non Detect",,"CA0400016","BERRY CREEK COMMUNITY SERVICE DIST","99",
"06","California","06007","Butte","2016","2.24","1","Non Detect",,"CA0400007","BUTTE CREEK ESTATES MUTUAL WATER CO","399",
"06","California","06007","Butte","2016","3.61","1","Less than or equal MCL",,"CA0410018","DEL ORO WATER CO.-STIRLING BLUFFS","313",
"06","California","06007","Butte","2016","0.03","1","Less than or equal MCL",,"CA0400149","HUMBOLDT WOODLANDS MUTUAL","75",
"06","California","06007","Butte","2016","0.75","1","Non Detect",,"CA0410012","SFWP-BANGOR","63",
"06","California","06007","Butte","2016","0.28","1","Less than or equal MCL",,"CA0410008","THERMALITO WATER & SEWER DISTRICT","9513",
"06","California","06009","Calaveras","2016","0.75","1","Less than or equal MCL",,"CA0510003","ANGELS, CITY OF","3836",
"06","California","06009","Calaveras","2016","0.92","1","Less than or equal MCL",,"CA0510012","CAMANCHE SOUTH SHORE-EBMUD","180",
"06","California","06009","Calaveras","2016","0.98","1","Less than or equal MCL",,"CA0510001","UNION PUBLIC UTILITY DISTRICT","4300",
"06","California","06011","Colusa","2016","1.48","1","Less than or equal MCL",,"CA0610001","ARBUCKLE PUBLIC UTILITY DISTRICT","2300",
"06","California","06011","Colusa","2016","2.10","1","Less than or equal MCL",,"CA0610002","CITY OF COLUSA","5625",
"06","California","06011","Colusa","2016","6.72","1","Less than or equal MCL",,"CA0605011","DEL ORO WC - ARBUCKLE DISTRICT","136",
"06","California","06011","Colusa","2016","2.24","1","Non Detect",,"CA0610003","MAXWELL PUBLIC UTILITY DISTRICT","1323",
"06","California","06013","Contra Costa","2016","0.75","1","Non Detect",,"CA0707602","BEACON WEST","45",
"06","California","06013","Contra Costa","2016","26.99","1","Less than or equal MCL",,"CA0707589","BELLA VISTA WATER SYS","93",
"06","California","06013","Contra Costa","2016","7.61","1","Less than or equal MCL",,"CA0707572","BETHEL ISLAND MUTUAL WATER CO","149",
"06","California","06013","Contra Costa","2016","9.27","1","Less than or equal MCL",,"CA0707594","CASA MEDANOS WATER SYSTEM","45",
"06","California","06013","Contra Costa","2016","1.48","1","Less than or equal MCL",,"CA0707573","DELTA MUTUAL WATER COMPANY","225",
"06","California","06013","Contra Costa","2016","9.42","1","Less than or equal MCL",,"CA0707523","FLAMINGO MOBILE MANOR","200",
"06","California","06013","Contra Costa","2016","1.94","1","Less than or equal MCL",,"CA0707547","KNIGHTSEN COMMUNITY WATER SYSTEM","250",
"06","California","06013","Contra Costa","2016","5.47","1","Less than or equal MCL",,"CA0706004","OAKLEY MUTUAL WATER COMPANY","170",
"06","California","06013","Contra Costa","2016","0.75","1","Non Detect",,"CA0707507","WILLOW PARK MARINA","380",
"06","California","06017","El Dorado","2016","2.24","1","Non Detect",,"CA0910018","EL DORADO ID - OUTINGDALE","497",
"06","California","06017","El Dorado","2016","2.24","1","Non Detect",,"CA0910017","EL DORADO ID - STRAWBERRY","358",
"06","California","06017","El Dorado","2016","2.24","1","Non Detect",,"CA0910006","GRIZZLY FLATS COMMUNITY SERVIC","1300",
"06","California","06017","El Dorado","2016","2.78","1","Less than or equal MCL",,"CA0900404","OAKLANE MOBILE VILLAGE, LLC.","75",
"06","California","06017","El Dorado","2016","20.39","1","Less than or equal MCL",,"CA0910002","SOUTH TAHOE PUD - MAIN","29500",
"06","California","06017","El Dorado","2016","10.36","1","Less than or equal MCL",,"CA0910015","TAHOE KEYS WATER COMPANY","1200",
"06","California","06019","Fresno","2016","23.88","1","Less than or equal MCL",,"CA1000199","ALICE MANOR","46",
"06","California","06019","Fresno","2016","4.19","1","Less than or equal MCL",,"CA1010001","BAKMAN WATER COMPANY","8866",
"06","California","06019","Fresno","2016","0.75","1","Non Detect",,"CA1010039","CARUTHERS COMM SERV DIST","2503",
