Country,% Access
Afghanistan,36.227999622465084
Albania,95.7500022927767
Algeria,88.37692290598588
American Samoa,97.98472596802713
Andorra,100.0
Angola,46.45384597688709
Antigua and Barbuda,97.7269958704824
Argentina,96.68076906328656
Armenia,94.8624988281411
Aruba,94.94619682228034
Australia,100.0
Austria,100.0
Azerbaijan,76.66153863456155
Bahamas,97.2434688144338
Bahrain,98.42308366558427
Bangladesh,77.761538483234
Barbados,97.99229277148905
Belarus,99.55384523089272
Belgium,100.0
Belize,87.78458361255183
Benin,68.05000043208344
Bhutan,86.5730826270674
Bolivia,80.34615366119336
Bosnia and Herzegovina,98.12692281677859
Botswana,94.79230729652448
Brazil,93.99999999685777
British Virgin Islands,94.86120816597796
Bulgaria,99.67692369490739
Burkina Faso,64.18076966780363
Burundi,72.49230813584191
Cambodia,47.51923023677908
Cameroon,64.2076920202064
Canada,99.79999998700347
Cape Verde,84.95831961861582
Cayman Islands,94.73906594018182
Central African Republic,63.6423109233457
Chad,45.88461533034528
Chile,95.45384579428445
China,82.63461538461539
Colombia,90.10000002685071
Comoros,90.10001188857922
Congo,58.251110747886266
Costa Rica,95.56538128585998
Cote-d-Ivoire,78.74230769036345
Croatia,98.67307796119245
Cuba,91.96363714315852
Cyprus,100.0
Czech Republic,99.86538445649883
Denmark,100.0
Djibouti,84.03461382329111
Dominica,94.4539933267525
Dominican Republic,86.43846057377752
Ecuador,80.8307695269406
Egypt,96.47307690021981
El Salvador,83.16538330925431
Equatorial Guinea,47.43182193253449
Eritrea,51.449998983833616
Estonia,99.17307954238336
Ethiopia,33.79230775299004
Fiji,91.5577072197897
Finland,100.0
France,100.0
French Polynesia,100.0
Gabon,86.9863571668112
Gambia,83.98845051704247
Georgia,91.54999999015293
Germany,100.0
Ghana,73.18076884702035
Greece,99.0423075752485
Greenland,100.0
Grenada,96.58843753089606
Guam,99.57311920594837
Guatemala,85.42692295105157
Guinea,65.14999951397057
Guinea-Bissau,56.81538232430013
Guyana,88.29999240997402
Haiti,60.57307694912335
Honduras,82.49615378067962
Hungary,98.51153860029643
Iceland,100.0
India,82.91153846138155
Indonesia,79.14230772674182
Iran,94.42307697674605
Iraq,81.81538449029823
Ireland,96.85384935468286
Israel,100.0
Italy,100.0
Jamaica,93.51922898961222
Japan,100.0
Jordan,96.76153780106114
Kazakhstan,93.59230710091092
Kenya,53.67307685934021
Kiribati,59.62296839146563
Kuwait,98.99999826087394
Kyrgyzstan,80.81153719352507
Laos,56.06818145610673
Latvia,98.58461699849288
Lebanon,91.12272678828846
Lesotho,79.45768909773065
Liberia,66.82727106266596
Libya,71.20000132979105
Lithuania,92.0192351763605
Luxembourg,100.0
Macedonia,99.32307821501543
Madagascar,40.31538491722022
Malawi,66.8846158700685
Malaysia,94.73846183953977
Maldives,95.96154111235336
Mali,51.803846416184875
Malta,99.96538498790915
Marshall Islands,93.39998909325041
Mauritania,44.865390638368496
Mauritius,99.44230801547668
Mexico,89.80769228404799
Micronesia,89.95381060314023
Moldova,85.98333395192422
Monaco,100.0
Mongolia,58.438457835558715
Montenegro,98.24444814491682
Morocco,79.54230797181808
Mozambique,42.9615381346124
Myanmar,69.47307690328552
Namibia,80.63077378490203
Nauru,94.59006691003289
Nepal,79.3307694834292
Netherlands,100.0
New Caledonia,96.2500047849279
New Zealand,100.0
Nicaragua,80.31923180288663
Niger,46.28846148041728
Nigeria,54.65384616506809
North Korea,99.84615380843253
Northern Mariana Islands,95.9577871675061
Norway,100.0
Oman,86.04230905217871
Pakistan,88.9538461768345
Palau,92.78593543106366
Palestine,82.25999886550548
Panama,90.01153906381163
Papua New Guinea,36.38461429518333
Paraguay,76.99615582299269
Peru,80.87307685607288
Philippines,87.82692306921906
Poland,96.34615389121298
Portugal,98.31153885717723
Puerto Rico,93.59999828346702
Qatar,99.43333929819
Romania,88.14615365648093
Russia,95.24230772591392
Rwanda,67.75769374223607
Saint Kitts and Nevis,98.30014134982746
Samoa,94.33839694995353
Sao Tome and Principe,85.84549196799811
Saudi Arabia,95.27692315872224
Senegal,69.24615310688756
Serbia,99.33846045713821
Seychelles,95.6999317064678
Sierra Leone,49.703845314305994
Singapore,100.0
Slovakia,99.88461456696086
Slovenia,99.57692062025436
Solomon Islands,80.22496719675462
Somalia,25.794736709539936
South Africa,87.6923078811463
South Korea,94.04545462571808
South Sudan,58.679999773537716
Spain,99.9500000280741
Sri Lanka,82.48846153846154
St-Lucia,94.52306356216285
St-Vincent and the Grenadines,93.22321865838019
Sudan,60.83600005392801
Suriname,91.47274189792542
Swaziland,56.52306880241331
Sweden,100.0
Switzerland,100.0
Syria,87.99230819989398
Tajikistan,64.265216219115
Tanzania,54.63846151403996
Thailand,92.97307687928756
Timor,61.54286677732456
Togo,55.173076952379866
Tonga,98.84997002835311
Trinidad and Tobago,93.6423105317903
Tunisia,91.0807685569884
Turkey,93.82307700640874
Turkmenistan,59.630769357288955
Turks and Caicos Islands,87.04542640519577
Tuvalu,94.68068371071055
Uganda,60.3961540915864
Ukraine,97.09090905145645
United Arab Emirates,99.66538515037749
United Kingdom,100.0
United States,98.85384616571883
United States Virgin Islands,100.0
Uruguay,97.26922830018142
Uzbekistan,88.55652142829543
Vanuatu,78.81157035707612
Venezuela,91.33461542225312
Vietnam,80.696153798886
Yemen,59.482608566874966
Zambia,56.03076843476894
Zimbabwe,78.75769226658579
