Country,Total water withdrawal per capita (m³ per person per year)
Afghanistan,1355.4333333333334
Albania,464.7333333333333
Algeria,161.85714285714286
Angola,41.07333333333333
Antigua and Barbuda,102.48666666666668
Argentina,907.3666666666667
Armenia,905.8
Australia,925.86
Austria,452.81666666666666
Azerbaijan,1366.75
Bahrain,402.6
Bangladesh,231.0
Barbados,241.9333333333333
Belarus,176.84
Belgium,689.36
Belize,249.95
Benin,20.865000000000002
Bhutan,454.5
Bolivia,197.85000000000002
Bosnia and Herzegovina,86.33999999999999
Botswana,86.1225
Brazil,310.925
Brunei,288.2
Bulgaria,1036.7857142857142
Burkina Faso,47.912499999999994
Burundi,29.895
Cambodia,159.1
Cameroon,41.586666666666666
Canada,1391.8
Cape Verde,59.965
Central African Republic,13.817333333333332
Chad,69.79666666666667
Chile,1824.0
China,423.29999999999995
Colombia,218.7
Comoros,17.38
Congo,13.7925
Costa Rica,488.8
Cote-d-Ivoire,78.754
Croatia,152.8
Cuba,507.40000000000003
Cyprus,238.72222222222223
Czech Republic,190.0
Denmark,190.56666666666672
Djibouti,20.979999999999997
Dominica,246.475
Dominican Republic,610.3333333333334
Ecuador,707.45
Egypt,994.225
El Salvador,241.1
Equatorial Guinea,29.89
Eritrea,120.6
Estonia,1270.1833333333334
Ethiopia,94.08
Fiji,81.15666666666668
Finland,711.7624999999999
France,558.8142857142857
Gabon,86.09333333333332
Gambia,50.019999999999996
Georgia,426.9
Germany,483.66
Ghana,41.33
Greece,662.3749999999999
Grenada,114.265
Guatemala,240.9
Guinea,99.205
Guinea-Bissau,94.80666666666667
Guyana,2049.0
Haiti,144.0
Honduras,225.3
Hungary,512.0555555555555
Iceland,2080.2571428571428
India,584.4
Indonesia,458.55
Iran,1312.25
Iraq,2681.5
Ireland,237.85000000000002
Israel,392.63750000000005
Italy,818.0333333333334
Jamaica,333.15
Japan,694.6833333333334
Jordan,186.8
Kazakhstan,1515.25
Kenya,73.25999999999999
Kuwait,383.15
Kyrgyzstan,1889.0
Laos,588.0
Latvia,127.25999999999999
Lebanon,358.425
Lesotho,28.064999999999998
Liberia,50.895
Libya,759.6625
Lithuania,732.225
Luxembourg,108.63624999999999
Macedonia,456.8333333333334
Madagascar,1013.9666666666667
Malawi,101.37666666666667
Malaysia,394.72499999999997
Maldives,16.924999999999997
Mali,272.7
Malta,114.81166666666668
Mauritania,470.0
Mauritius,508.26000000000005
Mexico,701.88
Moldova,353.35
Monaco,176.94
Mongolia,195.9
Montenegro,257.9
Morocco,439.0571428571429
Mozambique,46.98
Myanmar,694.45
Namibia,144.8
Nepal,377.2
Netherlands,583.9285714285714
New Zealand,814.5600000000001
Nicaragua,265.65
Niger,63.465
Nigeria,73.9375
North Korea,359.1
Norway,551.4
Oman,570.8
Pakistan,1440.5
Palestine,96.91
Panama,277.0
Papua New Guinea,54.7
Paraguay,192.65
Peru,452.9
Philippines,868.15
Poland,348.3666666666667
Portugal,935.7333333333332
Puerto Rico,1108.5
Qatar,550.425
Romania,563.86
Russia,467.59999999999997
Rwanda,17.57
Saint Kitts and Nevis,290.8
Sao Tome and Principe,53.8
Saudi Arabia,942.85
Senegal,206.2
Serbia,444.3666666666666
Seychelles,157.25
Sierra Leone,60.85999999999999
Singapore,81.97
Slovakia,160.06
Slovenia,481.17499999999995
Somalia,307.4666666666667
South Africa,301.45
South Korea,565.4000000000001
South Sudan,59.92
Spain,931.8000000000001
Sri Lanka,628.9
St-Lucia,252.1
St-Vincent and the Grenadines,85.11
Sudan,714.1
Suriname,1268.3333333333333
Swaziland,995.5
Sweden,374.1444444444445
Switzerland,368.15714285714284
Syria,797.6500000000001
Tajikistan,1828.3333333333333
Tanzania,144.6
Thailand,863.7
Timor,1148.0
Togo,29.54
Trinidad and Tobago,257.575
Tunisia,288.0857142857143
Turkey,587.325
Turkmenistan,5550.666666666667
Uganda,16.843333333333334
Ukraine,385.55
United Arab Emirates,777.575
United Kingdom,199.51428571428573
United States,1945.6
Uruguay,668.2
Uzbekistan,2331.3333333333335
Venezuela,502.79999999999995
Vietnam,776.6999999999999
Yemen,188.73333333333335
Zambia,173.16666666666666
