Country,% Access,Total water withdrawal per capita (m³ per person per year),Population,Conflict Count,Conflict Deaths,Conflict Death Rate,Homocide Count,Homocide Rate
Afghanistan,36.2279996224651,1355.4333333333334,32956936.0,1169.7777777777776,6669.777777777777,20.237857602350463,712.0,2.4
Albania,95.7500022927767,464.7333333333333,2900114.0,,,,1542.0,49.9
Algeria,88.37692290598586,161.85714285714286,40026405.0,117.11111111111113,409.4444444444445,1.0229358455860436,516.0,1.5
American Samoa,97.98472596802713,,,,,,,
Andorra,100.0,,,,,,1.0,1.3
Angola,46.453845976887095,41.07333333333333,25426102.0,25.35294117647059,245.05882352941174,0.9638080722299148,3426.0,19.0
Antigua and Barbuda,97.72699587048241,102.48666666666668,92279.0,,,,17.0,19.8
Argentina,96.68076906328658,907.3666666666667,43633470.0,,,,3453.0,9.2
Armenia,94.8624988281411,905.8,3022275.0,3.0,5.5,0.1819821161211339,116.0,3.6
Aruba,94.94619682228036,,104085.0,,,,,
Australia,100.0,925.86,24140741.0,,,,343.0,1.8
Austria,100.0,452.81666666666666,8557305.0,,,,99.0,1.2
Azerbaijan,76.66153863456155,1366.75,9812656.0,14.5625,26.5,0.27005940083907964,206.0,2.2
Bahamas,97.2434688144338,,,,,,94.0,27.4
Bahrain,98.42308366558427,402.6,1386659.0,24.0,26.0,1.875010366643854,7.0,1.0
Bangladesh,77.76153848323399,231.0,161957600.0,19.33333333333333,33.111111111111114,0.0204443083320024,4219.0,2.9
Barbados,97.99229277148905,241.9333333333333,284619.0,,,,35.0,12.9
Belarus,99.55384523089272,176.84,9489795.0,,,,1036.0,10.2
Belgium,100.0,689.36,11335649.0,3.0,34.0,0.2999387154630493,318.0,3.1
Belize,87.78458361255183,249.95,363123.0,,,,129.0,41.4
Benin,68.05000043208344,20.865,11023185.0,,,,1262.0,15.1
Bhutan,86.57308262706741,454.5,779560.0,1.0,0.0,0.0,19.0,3.2
Bolivia,80.34615366119336,197.85,10806839.0,9.0,50.0,0.4626699814811713,884.0,8.9
Bosnia and Herzegovina,98.1269228167786,86.33999999999997,3806404.0,,,,73.0,1.9
Botswana,94.79230729652448,86.1225,2283415.0,,,,287.0,14.5
Brazil,93.99999999685775,310.925,208716876.0,6.294117647058822,36.647058823529406,0.017558263388116932,43635.0,22.8
British Virgin Islands,94.86120816597796,,,,,,4.0,18.0
Bulgaria,99.6769236949074,1036.7857142857142,7123749.0,,,,494.0,5.9
Burkina Faso,64.18076966780363,47.9125,18369320.0,1.5,13.5,0.0734921053147313,2786.0,18.0
Burundi,72.49230813584191,29.895,11365071.0,64.46666666666667,532.6666666666666,4.68687495807696,1726.0,21.7
