Country,Homocide Count,Homocide Rate
Afghanistan,712,2.4
Albania,1542,49.9
Algeria,516,1.5
Andorra,1,1.3
Angola,3426,19.0
Anguilla,4,28.6
Antigua and Barbuda,17,19.8
Argentina,3453,9.2
Armenia,116,3.6
Australia,343,1.8
Austria,99,1.2
Azerbaijan,206,2.2
Bahamas,94,27.4
Bahrain,7,1.0
Bangladesh,4219,2.9
Barbados,35,12.9
Belarus,1036,10.2
Belgium,318,3.1
Belize,129,41.4
Benin,1262,15.1
Bermuda,8,12.3
Bhutan,19,3.2
Bolivia,884,8.9
Bosnia and Herzegovina,73,1.9
Botswana,287,14.5
Brazil,43635,22.8
British Virgin Islands,4,18.0
Brunei Darussalam,5,1.4
Bulgaria,494,5.9
Burkina Faso,2786,18.0
Burundi,1726,21.7
Cambodia,793,6.8
Cameroon,3700,19.7
Canada,663,2.1
Cape Verde,56,11.6
Cayman Islands,6,11.6
Central African Republic,1240,29.3
Chad,1686,15.8
Chile,630,3.7
China,26276,2.0
Colombia,28837,71.8
Comoros,85,12.2
Congo,1180,30.8
Costa Rica,527,11.4
Cote-d-Ivoire,10801,56.9
Croatia,166,3.6
Cuba,687,6.1
Cyprus,20,1.9
Czech Republic,234,2.3
Democratic People's Republic of Korea,3658,15.2
Democratic Republic of the Congo,13558,21.7
Denmark,88,1.7
Djibouti,29,3.4
Dominica,15,22.1
Dominican Republic,2513,25.8
Ecuador,2638,18.5
Egypt,992,1.2
El Salvador,7977,139.1
Equatorial Guinea,137,20.7
Eritrea,879,17.8
Estonia,246,17.1
Ethiopia,20239,25.5
FYR Macedonia,70,3.5
Fiji,25,3.1
Finland,156,3.0
France,1171,2.0
French Guiana,58,29.8
French Polynesia,9,3.4
Gabon,200,13.8
Gambia,176,10.8
Georgia,403,9.0
Germany,1372,1.7
Ghana,3646,15.7
Greece,203,1.9
Greenland,17,30.1
Grenada,15,14.8
Guadeloupe,32,7.0
Guam,11,6.4
Guatemala,6498,46.3
Guinea,2152,22.5
Guinea-Bissau,294,20.2
Guyana,206,27.8
Haiti,689,6.9
Honduras,7104,91.6
Hong Kong SAR-China,69,1.0
Hungary,296,2.9
Iceland,5,1.8
India,45559,4.5
Indonesia,18963,8.1
Iraq,608,2.0
Ireland,77,1.8
Islamic Republic of Iran,2215,3.0
Israel,227,3.6
Italy,1012,1.8
Jamaica,1682,62.4
Japan,716,0.6
Jordan,100,1.8
Kazakhstan,2625,16.7
Kenya,7733,20.1
Kiribati,7,7.3
Kuwait,99,4.5
Kyrgyzstan,1072,20.1
Lao PDR,279,4.6
Latvia,348,14.0
Lebanon,252,6.0
Lesotho,764,35.2
Liberia,371,10.1
Libya,176,2.9
Liechtenstein,1,3.1
Lithuania,502,13.8
Luxembourg,12,2.5
Macao SAR China,42,9.7
Madagascar,1588,8.1
Malawi,5039,36.0
Malaysia,629,2.8
Maldives,5,1.6
Mali,1157,8.0
Malta,7,1.7
Martinique,23,5.8
Mauritania,485,14.7
Mauritius,50,3.9
Mexico,25757,22.7
Micronesia,1,0.9
Moldova,433,10.5
Monaco,1,2.8
Mongolia,398,15.6
Montenegro,25,4.0
Montserrat,2,29.6
Morocco,543,1.9
Mozambique,1925,8.8
Myanmar,4800,10.2
Namibia,407,22.6
Nauru,1,9.8
Nepal,936,3.5
Netherlands,299,1.9
New Zealand,65,1.6
Nicaragua,802,15.2
Niger,552,3.8
Nigeria,18422,12.2
Norway,51,1.1
Occupied Palestinian Territory,145,4.4
Oman,18,0.7
Pakistan,13860,7.8
Palau,0,0.0
Panama,818,23.6
Papua New Guinea,854,13.0
Paraguay,1372,24.7
Peru,3332,11.7
Philippines,6553,8.1
Poland,2170,5.7
Portugal,185,1.7
Puerto Rico,983,26.2
Qatar,30,2.5
RB-de-Venezuela,14589,52.0
Republic of Korea,1374,2.9
Romania,758,3.3
Russian Federation,27343,18.9
Rwanda,1708,17.1
Saint Kitts and Nevis,27,52.2
Samoa,2,1.1
Sao Tome and Principe,3,1.9
Saudi Arabia,301,1.3
Senegal,1027,8.7
Serbia,243,2.4
Seychelles,7,8.3
Sierra Leone,837,14.9
Singapore,51,1.5
Slovakia,146,2.7
Slovenia,44,2.2
Solomon Islands,26,5.5
Somalia,138,1.5
South Africa,26877,64.9
Spain,587,1.4
Sri Lanka,2045,10.2
St-Lucia,44,26.2
St-Vincent and the Grenadines,36,33.0
Sudan,10028,24.2
Suriname,79,16.7
Swaziland,141,12.9
Sweden,114,1.2
Switzerland,89,1.2
Syrian Arab Rep,533,2.8
Tajikistan,498,8.4
Tanzania,10357,24.5
Thailand,6434,9.8
Timor-Leste,75,6.9
Togo,627,10.9
Tonga,1,1.0
Trinidad and Tobago,547,41.1
Tunisia,117,1.1
Turkey,3305,4.9
Turkmenistan,358,8.3
Turks and Caicos Islands,3,10.7
US Virgin Islands,43,39.2
Uganda,11373,36.3
Ukraine,4896,10.0
United Arab Emirates,56,1.4
United Kingdom,1220,2.1
United States,14990,5.0
Uruguay,231,6.9
Uzbekistan,1157,5.0
Vanuatu,2,0.9
Vietnam,1346,1.6
Yemen,990,4.6
Zambia,4710,38.0
Zimbabwe,1775,14.3
