Country,Conflict Count,Conflict Deaths,Homocide Count,Homocide Rate
Afghanistan,2425.0,18714.0,712.0,2.4
Albania,,,1542.0,49.9
Algeria,248.0,1178.0,516.0,1.5
Andorra,,,1.0,1.3
Angola,129.0,2154.0,3426.0,19.0
Anguilla,,,4.0,28.6
Antigua and Barbuda,,,17.0,19.8
Argentina,,,3453.0,9.2
Armenia,8.0,16.0,116.0,3.6
Australia,,,343.0,1.8
Austria,,,99.0,1.2
Azerbaijan,43.0,137.0,206.0,2.2
Bahamas,,,94.0,27.4
Bahrain,24.0,26.0,7.0,1.0
Bangladesh,73.0,105.0,4219.0,2.9
Barbados,,,35.0,12.9
Belarus,,,1036.0,10.2
Belgium,3.0,34.0,318.0,3.1
Belize,,,129.0,41.4
Benin,,,1262.0,15.1
Bermuda,,,8.0,12.3
Bhutan,1.0,0.0,19.0,3.2
Bolivia,9.0,50.0,884.0,8.9
Bosnia and Herzegovina,,,73.0,1.9
Botswana,,,287.0,14.5
Brazil,17.0,87.0,43635.0,22.8
British Virgin Islands,,,4.0,18.0
Brunei Darussalam,,,5.0,1.4
Bulgaria,,,494.0,5.9
Burkina Faso,2.0,26.0,2786.0,18.0
Burundi,193.0,2071.0,1726.0,21.7
Cambodia,4.0,10.0,793.0,6.8
Cameroon,97.0,1259.0,3700.0,19.7
Canada,8.0,23.0,663.0,2.1
Cape Verde,,,56.0,11.6
Cayman Islands,,,6.0,11.6
Central African Republic,394.0,3192.0,1240.0,29.3
Chad,62.0,1956.0,1686.0,15.8
Chile,,,630.0,3.7
China,16.0,189.0,26276.0,2.0
Colombia,660.0,3427.0,28837.0,71.8
Comoros,,,85.0,12.2
Congo,547.0,8111.0,1180.0,30.8
Costa Rica,,,527.0,11.4
Cote-d-Ivoire,102.0,998.0,10801.0,56.9
Croatia,,,166.0,3.6
Cuba,,,687.0,6.1
Cyprus,,,20.0,1.9
Czech Republic,,,234.0,2.3
Democratic People's Republic of Korea,,,3658.0,15.2
Democratic Republic of the Congo,,,13558.0,21.7
Denmark,,,88.0,1.7
Djibouti,2.0,35.0,29.0,3.4
Dominica,,,15.0,22.1
Dominican Republic,,,2513.0,25.8
Ecuador,1.0,26.0,2638.0,18.5
Egypt,57.0,974.0,992.0,1.2
El Salvador,,,7977.0,139.1
Equatorial Guinea,,,137.0,20.7
Eritrea,9.0,1793.0,879.0,17.8
Estonia,,,246.0,17.1
Ethiopia,148.0,48666.0,20239.0,25.5
FYR Macedonia,53.0,72.0,70.0,3.5
Fiji,,,25.0,3.1
Finland,,,156.0,3.0
France,2.0,133.0,1171.0,2.0
French Guiana,,,58.0,29.8
French Polynesia,,,9.0,3.4
Gabon,,,200.0,13.8
Gambia,,,176.0,10.8
Georgia,13.0,621.0,403.0,9.0
Germany,1.0,12.0,1372.0,1.7
Ghana,10.0,55.0,3646.0,15.7
Greece,,,203.0,1.9
Greenland,,,17.0,30.1
Grenada,,,15.0,14.8
Guadeloupe,,,32.0,7.0
Guam,,,11.0,6.4
Guatemala,5.0,58.0,6498.0,46.3
Guinea,26.0,430.0,2152.0,22.5
Guinea-Bissau,2.0,0.0,294.0,20.2
Guyana,3.0,29.0,206.0,27.8
Haiti,22.0,231.0,689.0,6.9
Honduras,8.0,58.0,7104.0,91.6
Hong Kong SAR-China,,,69.0,1.0
Hungary,,,296.0,2.9
Iceland,,,5.0,1.8
India,1287.0,3979.0,45559.0,4.5
Indonesia,359.0,1063.0,18963.0,8.1
Iraq,792.0,15010.0,608.0,2.0
Ireland,,,77.0,1.8
Islamic Republic of Iran,23.0,206.0,2215.0,3.0
Israel,375.0,1682.0,227.0,3.6
Italy,,,1012.0,1.8
Jamaica,20.0,116.0,1682.0,62.4
Japan,,,716.0,0.6
Jordan,4.0,59.0,100.0,1.8
Kazakhstan,,,2625.0,16.7
Kenya,116.0,783.0,7733.0,20.1
Kiribati,,,7.0,7.3
Kuwait,1.0,26.0,99.0,4.5
Kyrgyzstan,24.0,174.0,1072.0,20.1
Lao PDR,4.0,73.0,279.0,4.6
Latvia,,,348.0,14.0
Lebanon,152.0,747.0,252.0,6.0
Lesotho,,,764.0,35.2
Liberia,53.0,3281.0,371.0,10.1
Libya,221.0,2232.0,176.0,2.9
Liechtenstein,,,1.0,3.1
Lithuania,,,502.0,13.8
Luxembourg,,,12.0,2.5
Macao SAR China,,,42.0,9.7
Madagascar,32.0,113.0,1588.0,8.1
Malawi,,,5039.0,36.0
Malaysia,14.0,70.0,629.0,2.8
Maldives,,,5.0,1.6
Mali,83.0,874.0,1157.0,8.0
Malta,,,7.0,1.7
Martinique,,,23.0,5.8
Mauritania,6.0,12.0,485.0,14.7
Mauritius,,,50.0,3.9
Mexico,275.0,3313.0,25757.0,22.7
Micronesia,,,1.0,0.9
Moldova,,,433.0,10.5
Monaco,,,1.0,2.8
Mongolia,,,398.0,15.6
Montenegro,,,25.0,4.0
Montserrat,,,2.0,29.6
Morocco,2.0,46.0,543.0,1.9
Mozambique,13.0,31.0,1925.0,8.8
Myanmar,262.0,955.0,4800.0,10.2
Namibia,15.0,66.0,407.0,22.6
Nauru,,,1.0,9.8
Nepal,1529.0,4433.0,936.0,3.5
Netherlands,,,299.0,1.9
New Zealand,,,65.0,1.6
Nicaragua,,,802.0,15.2
Niger,43.0,533.0,552.0,3.8
Nigeria,545.0,10271.0,18422.0,12.2
Norway,,,51.0,1.1
Occupied Palestinian Territory,,,145.0,4.4
Oman,,,18.0,0.7
Pakistan,962.0,7460.0,13860.0,7.8
Palau,,,0.0,0.0
Panama,,,818.0,23.6
Papua New Guinea,6.0,65.0,854.0,13.0
Paraguay,,,1372.0,24.7
Peru,13.0,54.0,3332.0,11.7
Philippines,211.0,1761.0,6553.0,8.1
Poland,,,2170.0,5.7
Portugal,,,185.0,1.7
Puerto Rico,,,983.0,26.2
Qatar,1.0,0.0,30.0,2.5
RB-de-Venezuela,50.0,31.0,14589.0,52.0
Rep of Yemen,449.0,6984.0,,
Republic of Korea,,,1374.0,2.9
Romania,,,758.0,3.3
Russian Federation,388.0,4333.0,27343.0,18.9
Rwanda,26.0,2044.0,1708.0,17.1
Saint Kitts and Nevis,,,27.0,52.2
Samoa,,,2.0,1.1
Sao Tome and Principe,,,3.0,1.9
Saudi Arabia,41.0,115.0,301.0,1.3
Senegal,23.0,129.0,1027.0,8.7
Serbia,1.0,0.0,243.0,2.4
Seychelles,,,7.0,8.3
Sierra Leone,59.0,856.0,837.0,14.9
Singapore,,,51.0,1.5
Slovakia,,,146.0,2.7
Slovenia,,,44.0,2.2
Solomon Islands,,,26.0,5.5
Somalia,446.0,2989.0,138.0,1.5
South Africa,4.0,3.0,26877.0,64.9
South Sudan,125.0,2491.0,,
Spain,15.0,191.0,587.0,1.4
Sri Lanka,1016.0,10418.0,2045.0,10.2
St-Lucia,,,44.0,26.2
St-Vincent and the Grenadines,,,36.0,33.0
Sudan,363.0,7393.0,10028.0,24.2
Suriname,,,79.0,16.7
Swaziland,,,141.0,12.9
Sweden,,,114.0,1.2
Switzerland,,,89.0,1.2
Syrian Arab Rep,,,533.0,2.8
Tajikistan,21.0,98.0,498.0,8.4
Tanzania,7.0,37.0,10357.0,24.5
Thailand,445.0,541.0,6434.0,9.8
Timor-Leste,,,75.0,6.9
Togo,93.0,436.0,627.0,10.9
Tonga,,,1.0,1.0
Trinidad and Tobago,,,547.0,41.1
Tunisia,8.0,72.0,117.0,1.1
Turkey,230.0,1547.0,3305.0,4.9
Turkmenistan,,,358.0,8.3
Turks and Caicos Islands,,,3.0,10.7
US Virgin Islands,,,43.0,39.2
Uganda,251.0,2009.0,11373.0,36.3
Ukraine,271.0,4398.0,4896.0,10.0
United Arab Emirates,1.0,1.0,56.0,1.4
United Kingdom,4.0,53.0,1220.0,2.1
United States,3.0,2986.0,14990.0,5.0
Uruguay,,,231.0,6.9
Uzbekistan,16.0,297.0,1157.0,5.0
Vanuatu,,,2.0,0.9
Vietnam,,,1346.0,1.6
Yemen,,,990.0,4.6
Zambia,2.0,7.0,4710.0,38.0
Zimbabwe,40.0,253.0,1775.0,14.3
