PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
AK2260595,ADAK UTILITIES,Community water system,Surface water,Aleutians West Census Area,ADAK,225,9,508,10
AK2250037,AKHIOK,Community water system,Surface water,Kodiak Island Borough,AKHIOK,90,6,1171,7
AK2272747,AKIACHAK WATER SYSTEM,Community water system,Ground water,Bethel Census Area,AKIACHAK,627,6,146,4
AK2272005,AKIAK COMMUNITY WATER SYSTEM,Community water system,Ground water,Bethel Census Area,AKIAK,346,6,489,4
AK2260252,AKUTAN,Community water system,Surface water,Aleutians East Borough,AKUTAN,95,6,544,7
AK2270362,ALAKANUK WATER SYSTEM,Community water system,Surface water,Wade Hampton Census Area,ALAKANUK,570,6,921,7
AK2225324,ALASKA ARTESIAN BOTTLING CO.,Community water system,Ground water,Matanuska-Susitna Borough,WASILLA,25,4,83,5
AK2292099,ALASKA BIBLE COLLEGE,Community water system,Ground water,Valdez-Cordova Census Area,GLENNALLEN,50,5,79,6
AK2224159,ALEUTIAN ESTATES #1,Community water system,Ground water,Matanuska-Susitna Borough,WASILLA,63,5,74,7
AK2298608,ALEUTIAN VILLAGE TC,Community water system,Ground water,Valdez-Cordova Census Area,VALDEZ,175,4,350,6
AK2300816,ALLAKAKET PUBLIC WATER SYSTEM,Community water system,Ground water,Yukon-Koyukuk Census Area,ALLAKAKET,192,4,140,4
AK2211229,ALPAT WATER - MOOREHAND DIV.,Community water system,Surface water purchased,Anchorage Municipality,ANCHORAGE,350,6,66,11
AK2224078,ALPAT WATER - SHERWOOD ESTATES DIVISION,Community water system,Ground water,Matanuska-Susitna Borough,WASILLA,147,8,337,7
AK2220154,ALPAT WATER UTILITY-CREEKWOOD DIVISION,Community water system,Surface water,Matanuska-Susitna Borough,WASILLA,192,10,153,3
AK2211431,ALPAT WATER-HOMESTEAD DIV.,Community water system,Ground water,Anchorage Municipality,EAGLE RIVER,852,6,214,9
AK2213598,ALPINE WOODS WATER SYSTEM,Community water system,Ground water,Anchorage Municipality,ANCHORAGE,200,4,92,7
AK2214007,ALYESKA CHALET CONDOS HOA,Community water system,Ground water,Anchorage Municipality,GIRDWOOD,60,3,375,6
AK2218653,ALYESKA CREEKSIDE APARTMENTS,Community water system,Ground water,Anchorage Municipality,GIRDWOOD,60,3,8,5
AK2220215,AMBER RIDGE #1 PW HIGHWAY,Community water system,Ground water,Matanuska-Susitna Borough,WASILLA,28,3,83,3
AK2220216,AMBER RIDGE PW HIGHWAY,Community water system,Ground water,Matanuska-Susitna Borough,WASILLA,28,3,86,3
AK2220151,AMBER RIDGE/PARK PLACE APARTMENTS,Community water system,Ground water,Matanuska-Susitna Borough,WASILLA,210,3,42,5
AK2300214,AMBLER COMMUNITY WATER SYSTEM,Community water system,Ground water,Northwest Arctic Borough,AMBLER,261,7,296,6
AK2247490,ANCHOR POINT SAFE WATER CORPORATION,Community water system,Ground water,Kenai Peninsula Borough,ANCHOR POINT,348,8,166,8
AK2211198,ANCHORAGE SANDS APARTMENTS,Community water system,Ground water,Anchorage Municipality,ANCHORAGE,160,4,130,7
AK2130017,ANGOON PUBLIC WATER,Community water system,Surface water,Skagway Municipality,ANGOON,450,5,547,8
AK2280171,ANVIK WATER SYSTEM,Community water system,Ground water,Yukon-Koyukuk Census Area,ANVIK,96,4,459,5
