PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
AL0000657,ABBEVILLE WATER WORKS & SEWER BOARD,Community water system,Ground water,Henry,ABBEVILLE,3828,13,47,52
AL0001402,ADDISON WATER WORKS,Community water system,Surface water purchased,Winston,ADDISON,2490,12,45,34
AL0001767,AKRON WATER SYSTEM,Community water system,Ground water purchased,Hale,AKRON,570,3,28,19
AL0001148,ALABASTER WATER BOARD,Community water system,Surface water purchased,Shelby,ALABASTER,39684,34,49,41
AL0000933,ALBERTVILLE UTILITIES BOARD,Community water system,Surface water,Marshall,ALBERTVILLE,29991,17,16,38
AL0001265,ALEXANDER CITY WATER DEPARTMENT,Community water system,Surface water,Tallapoosa,ALEXANDER CITY,27000,14,5,45
AL0001102,ALICEVILLE WATER & SEWER BOARD,Community water system,Ground water,Pickens,ALICEVILLE,3855,16,6,30
AL0000098,ALLGOOD WATER WORKS (TOWN OF),Community water system,Ground water,Blount,ALLGOOD,846,8,2,45
AL0000571,ALTOONA WATER & SEWER BOARD,Community water system,Ground water,Etowah,ALTOONA,1143,5,3,37
AL0000356,ANDALUSIA (UTILITIES BOARD OF),Community water system,Ground water,Covington,ANDALUSIA,15114,28,18,53
AL0000133,ANNISTON WATER & SEWER BOARD,Community water system,Surface water,Calhoun,ANNISTON,56700,30,0,44
AL0000934,ARAB WATER WORKS BOARD,Community water system,Surface water,Marshall,ARAB,34800,17,1,79
AL0001420,ARDMORE WATER SYSTEM,Community water system,Ground water,Limestone,ARDMORE,3600,13,56,38
AL0000416,ARITON WATER WORKS,Community water system,Ground water,Dale,ARITON,1242,15,5,45
AL0001403,ARLEY WATER WORKS,Community water system,Surface water,Winston,ARLEY - 3600,7872,11,3,40
AL0000935,ASBURY WATER SYSTEM,Community water system,Surface water purchased,Marshall,ALBERTVILLE,7170,8,2,29
AL0000671,ASHFORD WATER WORKS,Community water system,Ground water,Houston,ASHFORD,3768,12,72,42
AL0000264,ASHLAND WATER & SEWER BOARD,Community water system,Surface water purchased,Clay,ASHLAND,2925,7,17,28
AL0001176,ASHVILLE WATER AND SEWER,Community water system,Ground water,St. Clair,ASHVILLE,3984,9,13,41
AL0000824,ATHENS UTILITIES,Community water system,Surface water,Limestone,ATHENS,27534,11,22,40
AL0000572,ATTALLA WATER WORKS BOARD,Community water system,Groundwater under influence of surface water,Etowah,ATTALLA,8415,15,3,47
AL0000804,AUBURN WATER WORKS,Community water system,Surface water,Lee,AUBURN,67200,21,63,93
AL0000001,AUTAUGA CO WATER AUTHORITY,Community water system,Ground water,Autauga,PRATTVILLE,7218,25,2,46
AL0000002,AUTAUGAVILLE WATER SYSTEM,Community water system,Ground water,Autauga,AUTAUGAVILLE,2088,13,96,45
AL0001511,AVON WATER SYSTEM,Community water system,Ground water purchased,Houston,ASHFORD,504,3,2,28
AL0000079,BAKERHILL WATER AUTHORITY,Community water system,Ground water,Barbour,BAKERHILL,7128,31,4,48
AL0001108,BANKS WATER SYSTEM,Community water system,Ground water,Pike,BANKS,2550,7,6,31
AL0000957,BAYOU LA BATRE UTILITIES,Community water system,Ground water,Mobile,BAYOU LA BATRE,8118,11,6,32
