PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
AR0000811,ACORN RURAL WATER ASSN,Community water system,Surface water purchased,Polk,-,1975,4,4,7
AR0000315,ADC - CUMMINS UNIT MAINT,Community water system,Ground water,Lincoln,-,3800,7,14,5
AR0000282,ADC - TUCKER UNIT MAINT,Community water system,Ground water,Jefferson,-,1850,6,12,5
AR0000796,ADC EAST ARKANSAS REGIONAL,Community water system,Ground water,Lee,-,1793,5,15,5
AR0000663,AIRPORT ROAD WATER ASSOCIATION,Community water system,Ground water purchased,Chicot,-,576,2,9,6
AR0000303,ALICIA WATER SYSTEM,Community water system,Ground water purchased,Lawrence,-,154,4,24,7
AR0000144,ALMA WATERWORKS,Community water system,Surface water,Crawford,-,5745,3,13,9
AR0000006,ALMYRA WATERWORKS,Community water system,Ground water,Arkansas,-,406,3,15,6
AR0000058,ALPENA WATERWORKS,Community water system,Surface water purchased,Boone,-,550,3,3,7
AR0000764,ALPINE WATER ASSOCIATION,Community water system,Surface water purchased,Clark,-,740,2,13,5
AR0000271,ALTHEIMER WATERWORKS,Community water system,Ground water,Jefferson,-,900,4,28,5
AR0000197,ALTUS WATERWORKS,Community water system,Surface water purchased,Franklin,-,1820,3,12,7
AR0000088,AMITY WATERWORKS,Community water system,Surface water,Clark,-,725,3,38,9
AR0000424,ANTOINE WATERWORKS,Community water system,Ground water,Pike,-,563,4,1,8
AR0000790,AR DEPT OF CORRECTION IZARD CO,Community water system,Ground water,Izard,-,800,4,10,7
AR0000085,ARKADELPHIA WATERWORKS,Community water system,Surface water,Clark,-,10716,3,10,9
AR0000167,ARKANSAS CITY WATERWORKS,Community water system,Ground water,Desha,-,366,4,6,7
AR0000485,ARKANSAS HEALTH CENTER,Community water system,Surface water,Saline,-,1000,3,8,9
AR0000667,ARSENAL WATER SYSTEM,Community water system,Ground water,Jefferson,-,2577,6,0,9
AR0000527,ASH FLAT WATER COMPANY,Community water system,Ground water,"Fulton, Sharp",-,1082,5,2,7
AR0000320,ASHDOWN WATERWORKS,Community water system,Ground water,Little River,-,4723,11,5,7
AR0000441,ATKINS WATER SYSTEM,Community water system,Surface water,Pope,-,4439,4,18,10
AR0000597,AUGUSTA WATERWORKS,Community water system,Ground water,Woodruff,-,2284,6,4,6
AR0000721,AURELLE WATER SYSTEM,Community water system,Ground water purchased,Union,-,296,2,14,6
AR0000346,AUSTIN WATERWORKS,Community water system,Surface water purchased,Lonoke,-,2585,7,10,6
AR0000890,AUTUMN ACRES MHP,Community water system,Ground water,Baxter,-,88,4,14,5
AR0000689,BALD KNOB NORTH WATER ASSOC,Community water system,Surface water purchased,"Jackson, White",-,2290,6,2,6
