"PWS ID","PWS Name","PWS Type","Primary Source","Counties Served","Cities Served","PopulationServed Count","Number of Facilities","Number of Violations","Number of Site Visits"
"AZ0407280","67 AVE PROPERTY OWNERS ASSOCIATION","Community water system","Ground water","Maricopa","PHOENIX","40","4","66","18"
"AZ0409032","A PETERSEN WATER COMPANY","Community water system","Ground water","Navajo","SNOWFLAKE","112","6","79","14"
"AZ0413001","ABRA WATER COMPANY","Community water system","Ground water","Yavapai","PAULDEN","1,494","10","128","17"
"AZ0413055","ACME WATER - BLUE HILLS","Community water system","Ground water","Yavapai","COTTONWOOD","145","8","84","9"
"AZ0413056","ACME WATER - THUNDERBIRD MEADOWS","Community water system","Ground water","Yavapai","WILHOIT","320","12","73","9"
"AZ0413077","ACME WATER - YAVAPAI ESTATES","Community water system","Ground water","Yavapai","CHINO VALLEY","340","9","65","18"
"AZ0407001","ADAMAN MUTUAL WATER COMPANY","Community water system","Ground water","Maricopa","ADAMAN","700","9","148","21"
"AZ0407307","ADJC ADOBE MOUNTAIN SCHOOL","Community water system","Ground water","Maricopa","PHOENIX","500","7","155","11"
"AZ0405303","ADOC ASPC FORT GRANT","Community water system","Ground water","Graham","BONITA","800","13","821","26"
"AZ0411705","ADOC EYMAN UNIT","Community water system","Ground water","Pinal","FLORENCE","5,100","8","414","18"
"AZ0411066","ADOC FLORENCE ASP","Community water system","Ground water","Pinal","FLORENCE","5,052","11","322","20"
"AZ0420557","ADOC TUCSON","Community water system","Ground water","Pima","TUCSON","4,500","10","310","18"
"AZ0403010","ADOT AIRPORT GRAND CANYON","Community water system","Ground water purchased","Coconino","TUSAYAN","2,210","11","252","20"
"AZ0407003","AGUILA WATER SERVICE","Community water system","Ground water","Maricopa","AGUILA","962","7","105","17"
"AZ0410153","AJO DWID","Community water system","Ground water purchased","Pima","AJO","405","4","84","13"
"AZ0410001","AJO IMPROVEMENT COMPANY","Community water system","Ground water","Pima","AJO","1,600","12","40","14"
"AZ0412040","ALISO SPRINGS PROPERTY OWNER ASSOC INC","Community water system","Ground water","Santa Cruz","TUBAC","56","11","20","4"
"AZ0407286","ALMA RANCHETTES","Community water system","Ground water","Maricopa","CHANDLER","100","6","329","12"
"AZ0401001","ALPINE DWID","Community water system","Ground water","Apache","ALPINE","582","11","46","15"
"AZ0409074","AMERICAN INDIAN CHRISTIAN MISSION","Community water system","Ground water","Navajo","LINDEN","64","4","57","12"
"AZ0413258","AMERICAN RANCH DWID","Community water system","Ground water","Yavapai","PRESCOTT","140","5","93","4"
"AZ0411301","AMERICAN REALTY MORTGAGE COMPANY","Community water system","Ground water","Pinal","MARICOPA","98","12","154","24"
"AZ0411712","ANTELOPE PEAK DWID","Community water system","Ground water","Pinal","STANFIELD","150","21","492","29"
"AZ0414001","ANTELOPE WATER COMPANY","Community water system","Surface water","Yuma","MOHAWK","163","6","218","28"
"AZ0410354","ANWAY MANVILLE WATER COMPANY","Community water system","Ground water","Pima","AVRA VALLEY","729","11","35","7"
"AZ0411039","APACHE JUNCTION CITY OF","Community water system","Surface water","Pinal","APACHE JUNCTION","13,657","17","156","16"
"AZ0404300","APACHE TRAIL MHP","Community water system","Ground water","Gila","GLOBE","130","8","75","15"
"AZ0413208","APPALOOSA WATER COMPANY","Community water system","Ground water","Yavapai","CHINO VALLEY","500","8","56","5"
