"PWS ID","PWS Name","PWS Type","Primary Source","Counties Served","Cities Served","PopulationServed Count","Number of Facilities","Number of Violations","Number of Site Visits"
"CA5500120","49ER TRAILER RANCH","Community water system","Ground water","Tuolumne","-","121","5","5","12"
"CA5000082","4N MOBILEHOME PARK","Community water system","Ground water","Stanislaus","-","65","2","6","11"
"CA1502744","60TH STREET ASSOC. WATER SYSTEM","Community water system","Ground water","Kern","-","39","2","8","3"
"CA5400504","A & A  MHP","Community water system","Ground water","Tulare","-","200","2","15","8"
"CA1500466","A.F.P. MUTUAL WATER COMPANY","Community water system","Ground water","Kern","-","686","7","11","4"
"CA3900606","A1 WINSTONS MOBILE HOME PARK","Community water system","Ground water","San Joaquin","-","75","2","9","44"
"CA4200969","AAA KINDNESS CARE HOME","Community water system","Ground water","Santa Barbara","-","30","2","0","1"
"CA5200559","ABBEY OF NEW CLAIRVAUX","Community water system","Ground water","Tehama","-","30","5","18","13"
"CA1400020","ABERDEEN WATER SYSTEM","Community water system","Ground water","Inyo","-","23","3","9","6"
"CA4300792","ABORN HEIGHTS WATER MUTUAL ASSOCIATION","Community water system","Ground water","Santa Clara","-","45","3","24","6"
"CA4700542","ABRAMS LAKE MOBILE ESTATES","Community water system","Ground water","Siskiyou","-","135","3","16","11"
"CA3901303","ACAMPO WATER SYSTEM","Community water system","Ground water","San Joaquin","-","150","3","1","32"
"CA3400352","ACORN MOBILE VILLAGE","Community water system","Ground water","Sacramento","-","100","2","21","44"
"CA3610001","ADELANTO, CITY OF","Community water system","Ground water","San Bernardino","ADELANTO","31,765","41","18","14"
"CA1500405","AERIAL ACRES WATER COMPANY, INC.","Community water system","Ground water","Kern","-","161","6","39","9"
"CA5800807","AEROPINES","Community water system","Ground water","Yuba","-","45","5","3","5"
"CA4000744","AFUERA DE CHORRO WATER COMPANY","Community water system","Ground water","San Luis Obispo","-","75","9","2","8"
"CA1500543","AGAPE MUTUAL WATER SYSTEM","Community water system","Ground water","Kern","-","42","2","6","4"
"CA3110012","AGATE BAY WATER COMPANY","Community water system","Surface water","Placer","-","2,500","4","11","7"
"CA1500518","AGBAYANI VILLAGE WATER SYSTEM","Community water system","Ground water","Kern","-","26","2","15","5"
"CA3302079","AIDA AGUIRRE","Community water system","Ground water","Riverside","-","50","2","54","9"
"CA5401038","AKIN WATER CO","Community water system","Ground water","Tulare","-","86","3","10","8"
"CA0110001","ALAMEDA COUNTY WATER DISTRICT","Community water system","Surface water","Alameda","-","340,000","67","3","33"
"CA0110016","ALAMEDA POINT","Community water system","Surface water purchased","Alameda","-","750","2","0","4"
"CA2300502","ALBION MUTUAL WATER COMPANY","Community water system","Ground water","Mendocino","-","40","4","4","5"
"CA2710001","ALCO WATER SERVICE","Community water system","Ground water","Monterey","-","29,179","31","3","17"
"CA4300516","ALDERCROFT HEIGHTS COUNTY WATER DISTRICT","Community water system","Surface water","Santa Clara","-","338","8","38","11"
"CA1200501","ALDERPOINT COUNTY WATER","Community water system","Surface water","Humboldt","-","219","3","50","14"
"CA4200731","ALEGRIA MWC","Community water system","Ground water","Santa Barbara","-","54","13","1","5"
"CA4900646","ALEXANDER VALLEY ACRES WATER COMPANY","Community water system","Ground water","Sonoma","-","28","3","12","4"
"CA5403144","ALI MUTUAL WATER CO","Community water system","Ground water","Tulare","-","25","5","12","4"
"CA1000199","ALICE MANOR","Community water system","Ground water","Fresno","-","46","3","11","11"
"CA4400692","ALLAN LANE WATER ASSOCIATION","Community water system","Ground water","Santa Cruz","-","54","2","9","76"
"CA4600012","ALLEGHANY COUNTY W.D.","Community water system","Surface water","Sierra","-","80","6","14","25"
"CA1500483","ALLEN ROAD MUTUAL WATER SYSTEM","Community water system","Ground water","Kern","-","195","6","13","5"
"CA5400544","ALLENSWORTH CSD","Community water system","Ground water","Tulare","-","521","7","36","10"
"CA4900943","ALLIANCE REDWOODS CONFERENCE GROUNDS","Community water system","Ground water","Sonoma","-","46","6","32","4"
"CA4000631","ALMIRA WATER ASSOCIATION","Community water system","Ground water","San Luis Obispo","-","40","3","3","8"
"CA0400040","ALMOND GROVE MOBILE PARK","Community water system","Ground water","Butte","-","250","4","10","10"
"CA3900517","ALMOND PARK WATER SYSTEM","Community water system","Ground water","San Joaquin","-","60","2","5","24"
"CA5410050","ALPAUGH COMMUNITY SERVICES DISTRICT","Community water system","Ground water","Tulare","-","1,026","9","49","6"
"CA5500041","ALPINE ACRES MUTUAL WATER CO","Community water system","Ground water","Tuolumne","-","59","3","8","6"
"CA3100041","ALPINE MEADOWS PROPERTY OWNERS ASSO","Community water system","Surface water","Placer","-","250","4","28","12"
"CA3701988","ALPINE OAKS ESTATES LLC","Community water system","Ground water","San Diego","-","125","5","9","13"
"CA3110029","ALPINE SPRINGS COUNTY WATER DISTRICT","Community water system","Ground water","Placer","-","200","14","2","8"
"CA1900942","ALPINE SPRINGS MOBILE HOME PARK","Community water system","Ground water","Los Angeles","-","175","7","14","10"
"CA3301491","ALPINE VILLAGE","Community water system","Ground water","Riverside","-","198","12","21","55"
"CA3610002","ALPINE WATER USERS ASSOCIATION","Community water system","Surface water purchased","San Bernardino","-","2,534","23","3","6"
"CA1500209","ALTA SIERRA MUTUAL WATER CO.","Community water system","Ground water","Kern","-","80","7","3","6"
"CA1910002","AMARILLO MUTUAL WATER COMPANY","Community water system","Ground water","Los Angeles","-","3,134","5","8","17"
"CA4500200","AMBERWOOD MOBILE HOME PARK","Community water system","Ground water","Shasta","-","120","3","6","12"
"CA2810005","AMERICAN CANYON, CITY OF","Community water system","Surface water","Napa","AMERICAN CANYON","20,315","9","7","12"
"CA4210700","AMERICAN WATER O&M, LLC - VAFB","Community water system","Surface water purchased","Santa Barbara","-","14,971","32","8","13"
"CA3301990","AMEZCUA - GARCIA WATER","Community water system","Ground water","Riverside","-","316","2","14","10"
"CA2900562","ANANDA VILLAGE","Community water system","Ground water","Nevada","-","290","9","7","11"
"CA4500098","ANDERSON MOBILE HOME PARK","Community water system","Ground water","Shasta","-","45","4","5","8"
"CA4500254","ANDERSON PARK VILLAGE","Community water system","Ground water","Shasta","-","110","3","8","8"
"CA1700502","ANDERSON SPRINGS CSD","Community water system","Ground water","Lake","-","285","3","28","7"
"CA4300578","ANGELO LANE WATER COMPANY","Community water system","Ground water","Santa Clara","-","52","2","13","5"
"CA0510003","ANGELS, CITY OF","Community water system","Surface water","Calaveras","ANGELS CAMP","3,836","3","10","25"
"CA0707501","ANGLER S RANCH #3","Community water system","Ground water","Contra Costa","-","60","2","5","4"
"CA0707569","ANGLERS SUBDIVISION 4","Community water system","Ground water","Contra Costa","-","210","4","7","17"
"CA5200521","ANTELOPE CREEK MHP","Community water system","Ground water","Tehama","-","75","3","4","3"
"CA1900794","ANTELOPE PARK MUTUAL WATER COMPANY","Community water system","Ground water","Los Angeles","-","445","21","5","9"
"CA1510053","ANTELOPE VALLEY E KERN WTR AGY-ROSAMOND","Community water system","Surface water","Kern","-","0","5","2","13"
"CA1500485","ANTELOPE VALLEY MOBILE ESTATES","Community water system","Ground water","Kern","-","60","3","10","5"
"CA1910045","ANTELOPE VALLEY-EAST KERN WATER AGENCY","Community water system","Surface water","Los Angeles","-","107,659","30","1","24"
"CA5200546","ANTELOPE-HOMEWOOD MHP","Community water system","Ground water","Tehama","-","70","5","9","1"
"CA5201140","ANTOINETTE MUTUAL WATER CO","Community water system","Ground water","Tehama","-","25","2","3","2"
"CA3301180","ANZA MUTUAL WATER COMPANY","Community water system","Ground water","Riverside","-","224","3","27","12"
"CA3301018","ANZA PINES MOBILE HOME PARK","Community water system","Ground water","Riverside","-","150","4","24","11"
"CA2701034","APPLE AVE WS #02","Community water system","Ground water","Monterey","-","75","3","40","12"
"CA2701036","APPLE AVE WS #03","Community water system","Ground water","Monterey","-","60","2","49","11"
"CA3600008","APPLE VALLEY FOOTHILL CWD","Community water system","Ground water","San Bernardino","-","696","7","9","11"
"CA3600009","APPLE VALLEY HEIGHTS CWD","Community water system","Ground water","San Bernardino","-","943","9","7","5"
"CA3610118","APPLE VALLEY RANCHOS WATER CO - YERMO","Community water system","Ground water","San Bernardino","-","1,085","18","52","7"
"CA3610003","APPLE VALLEY RANCHOS WC","Community water system","Ground water","San Bernardino","-","62,602","69","0","14"
"CA3600012","APPLE VALLEY VIEW MWC","Community water system","Ground water","San Bernardino","-","275","4","27","42"
"CA3600400","APPLE VALLEY VILLAGE MHE","Community water system","Ground water","San Bernardino","-","180","3","3","40"
"CA2702026","APRICOT LN WS","Community water system","Ground water","Monterey","-","72","2","6","11"
"CA4400684","APTOS RIDGE MUTUAL WATER CO","Community water system","Ground water","Santa Cruz","-","50","2","3","60"
"CA1900936","AQUA J. MUTUAL WATER COMPANY","Community water system","Ground water","Los Angeles","-","165","11","7","9"
"CA3900831","ARBOR MOBILE HOME PARK WS","Community water system","Ground water","San Joaquin","-","340","9","16","23"
"CA0610001","ARBUCKLE PUBLIC UTILITY DISTRICT","Community water system","Ground water","Colusa","-","2,325","8","3","15"
"CA1210001","ARCATA, CITY OF","Community water system","Ground water","Humboldt","ARCATA","19,058","5","1","25"
"CA3200127","ARLINGTON HEIGHTS MHP","Community water system","Ground water","Plumas","-","33","4","17","13"
"CA1610001","ARMONA COMMUNITY SERVICES DIST","Community water system","Ground water","Kings","-","4,143","17","79","5"
"CA4910018","ARMSTRONG VALLEY-CAL WATER SERVICE (PUC)","Community water system","Ground water","Sonoma","-","420","5","1","3"
"CA3500576","AROMAS HILLS MUTUAL WATER ASSOCIATION","Community water system","Ground water","San Benito","-","44","7","5","5"
