"PWS ID","PWS Name","PWS Type","Primary Source","Counties Served","Cities Served","PopulationServed Count","Number of Facilities","Number of Violations","Number of Site Visits"
"CO0121111","4 WAY RANCH MD 1","Community water system","Ground water","El Paso","-","144","5","1","3"
"CO0113050","96 PIPELINE CO INC","Community water system","Ground water purchased","Crowley","-","285","3","17","6"
"CO0107100","A 1 DISCOUNT WC","Community water system","Surface water purchased","Boulder","-","250","4","8","4"
"CO0150100","A AND B WA INC","Community water system","Ground water","Prowers","-","100","5","77","6"
"CO0121025","ACADEMY WSD","Community water system","Ground water","El Paso","-","750","9","59","9"
"CO0238104","ADVANTAGE TREATMENT CTR","Community water system","Ground water","Logan","-","165","4","9","4"
"CO0120001","AGATE WA","Community water system","Ground water","Elbert","-","70","5","94","8"
"CO0136100","AGUILAR TOWN OF","Community water system","Groundwater under influence of surface water","Las Animas","-","496","19","38","14"
"CO0161001","AKRON TOWN OF","Community water system","Ground water","Washington","-","2,379","16","69","8"
"CO0130116","ALAMEDA WSD","Community water system","Surface water purchased","Jefferson","-","1,600","6","0","6"
"CO0102100","ALAMOSA CITY OF","Community water system","Ground water","Alamosa","-","9,590","19","219","10"
"CO0157011","ALDASORO RANCH HOC","Community water system","Ground water","San Miguel","-","73","16","130","6"
"CO0107115","ALLENSPARK WSD","Community water system","Surface water","Boulder","-","90","4","99","8"
"CO0147001","ALMA TOWN OF","Community water system","Surface water","Park","-","450","7","8","9"
"CO0104090","ALPINE LAKES RANCH WC","Community water system","Surface water purchased","Archuleta","-","194","18","6","5"
"CO0154117","ALPINE MOUNTAIN RANCH MD","Community water system","Groundwater under influence of surface water","Routt","-","25","10","28","3"
"CO0160050","ALPINE VILLAGE MHP","Community water system","Ground water","Teller","-","80","7","70","8"
"CO0134020","ANIMAS WC","Community water system","Ground water","La Plata","-","2,720","16","3","7"
"CO0235185","ANNUNCIATION HEIGHTS","Community water system","Ground water","Larimer","-","318","4","19","13"
"CO0126117","ANTELOPE HILLS ASSOC","Community water system","Surface water purchased","Gunnison","-","265","8","58","9"
"CO0111100","ANTONITO TOWN OF","Community water system","Groundwater under influence of surface water","Conejos","-","981","9","131","10"
"CO0160075","ARABIAN ACRES MD","Community water system","Ground water","Teller","-","325","15","38","6"
"CO0203002","ARAPAHOE CNTY WWWA","Community water system","Ground water","Arapahoe","-","32,000","52","4","10"
"CO0109001","ARAPAHOE WC","Community water system","Ground water","Cheyenne","-","98","9","8","5"
"CO0162121","ARISTOCRAT RANCHETTE WATER PROJECT","Community water system","Surface water purchased","Weld","-","2,000","8","7","5"
"CO0137001","ARRIBA TOWN OF","Community water system","Ground water","Lincoln","-","239","13","4","8"
"CO0121050","ARROWHEAD MHP","Community water system","Ground water","El Paso","-","135","6","5","6"
"CO0126121","ARROWHEAD RANCH WC","Community water system","Surface water","Gunnison","-","225","6","4","7"
"CO0130001","ARVADA CITY OF","Community water system","Surface water","Jefferson","-","126,552","29","1","7"
"CO0123123","ASGARD SUBDIVISION WA","Community water system","Ground water","Garfield","-","80","6","41","4"
"CO0119452","ASPEN BASALT CG","Community water system","Ground water","Eagle","-","150","4","3","5"
"CO0119124","ASPEN BASALT MHP","Community water system","Ground water","Eagle","-","150","3","3","5"
"CO0149122","ASPEN CITY OF","Community water system","Surface water","Pitkin","-","31,100","42","66","10"
"CO0123152","ASPEN EQUESTRIAN BLUE CREEK RANCH","Community water system","Ground water","Garfield","-","25","5","3","4"
"CO0119125","ASPEN MESA ESTATES","Community water system","Ground water","Eagle","-","225","9","3","6"
"CO0219123","ASPEN MTN VIEW SUBD","Community water system","Ground water","Eagle","-","150","15","291","5"
"CO0104121","ASPEN SPRINGS MD","Community water system","Ground water","Archuleta","-","290","4","3","2"
"CO0149123","ASPEN VILLAGE MD","Community water system","Groundwater under influence of surface water","Pitkin","-","300","8","46","7"
"CO0162125","AULT TOWN OF","Community water system","Surface water purchased","Weld","-","1,743","4","1","4"
"CO0103005","AURORA CITY OF","Community water system","Surface water","Arapahoe","-","325,000","65","6","8"
"CO0151050","AVONDALE WSD","Community water system","Groundwater under influence of surface water","Pueblo","-","1,500","7","17","7"
"CO0155200","BACA GRANDE WSD","Community water system","Ground water","Saguache","-","1,520","17","41","7"
"CO0147010","BAILEY WSD","Community water system","Surface water","Park","-","390","7","11","8"
"CO0130133","BANCROFT  CLOVER WSD","Community water system","Surface water purchased","Jefferson","-","50,000","19","0","7"
"CO0201006","BARR LAKE RVP","Community water system","Ground water","Adams","-","204","4","3","5"
"CO0119134","BASALT TOWN OF","Community water system","Groundwater under influence of surface water","Eagle","-","2,125","27","8","8"
