"PWS ID","PWS Name","PWS Type","Primary Source","Counties Served","Cities Served","PopulationServed Count","Number of Facilities","Number of Violations","Number of Site Visits"
"CT0121051","166 & 180 BOSTON TURNPIKE","Community water system","Ground water","Tolland","BOLTON","31","4","70","4"
"CT0231011","298-302 ALBANY TURNPIKE","Community water system","Ground water","Hartford","CANTON","28","8","63","6"
"CT0189971","39 HOP BROOK RD - APT COMPLEX","Community water system","Ground water","Fairfield","BROOKFIELD","36","6","207","4"
"CT0121081","890 BOSTON TURNPIKE","Community water system","Ground water","Tolland","BOLTON","60","3","198","2"
"CT0261001","AARON MANOR NURSING & REHAB CENTER","Community water system","Ground water","Middlesex","CHESTER","81","9","23","6"
"CT0670021","ABBY WATER LLC","Community water system","Ground water","Tolland","HEBRON","100","6","74","6"
"CT0030061","AH 1 LLC","Community water system","Ground water","Windham","ASHFORD","50","5","42","6"
"CT0780131","AH 2 LLC","Community water system","Ground water","Tolland","MANSFIELD","96","9","52","6"
"CT0030051","AH 3 LLC","Community water system","Ground water","Windham","ASHFORD","96","4","113","6"
"CT1310031","APPLE VALLEY VILLAGE","Community water system","Ground water","Hartford","SOUTHINGTON","70","4","17","6"
"CT0347051","AQUA VISTA ASSOC, INC - LOWER SYSTEM","Community water system","Ground water","Fairfield","DANBURY","128","10","20","5"
"CT0340111","AQUA VISTA ASSOC, INC - UPPER SYSTEM","Community water system","Ground water","Fairfield","DANBURY","260","16","40","5"
"CT0915221","AQUARION WATER CO OF CT - DUNHAM POND","Community water system","Ground water","Fairfield","NEW FAIRFIELD","121","8","50","5"
"CT1390021","AQUARION WATER CO OF CT - SUFFIELD","Community water system","Ground water","Hartford","SUFFIELD","595","11","52","5"
"CT0819061","AQUARION WATER CO OF CT - WEST SHORE","Community water system","Ground water","New Haven","MIDDLEBURY","100","9","1","2"
"CT0910011","AQUARION WATER CO OF CT-BALL POND SYS","Community water system","Ground water","Fairfield","NEW FAIRFIELD","792","28","13","5"
"CT1189171","AQUARION WATER CO OF CT-BARNUM SYSTEM","Community water system","Surface water purchased","Fairfield","RIDGEFIELD","120","3","1","5"
"CT0790051","AQUARION WATER CO OF CT-BIRCHWOOD ESTATE","Community water system","Ground water","Hartford","MARLBOROUGH","251","14","5","5"
"CT0189791","AQUARION WATER CO OF CT-BROOKFIELD SYS","Community water system","Ground water","Fairfield","BROOKFIELD","2,608","29","19","4"
"CT0960101","AQUARION WATER CO OF CT-CARMEN HILL","Community water system","Ground water","Litchfield","NEW MILFORD","322","11","50","5"
"CT0340131","AQUARION WATER CO OF CT-CEDAR HEIGHTS","Community water system","Ground water","Fairfield","DANBURY","367","13","11","5"
"CT0970051","AQUARION WATER CO OF CT-CHESTNUT TREE","Community water system","Ground water","Fairfield","NEWTOWN","136","9","16","5"
