"PWS ID","PWS Name","PWS Type","Primary Source","Counties Served","Cities Served","PopulationServed Count","Number of Facilities","Number of Violations","Number of Site Visits"
"DE0000840","ANGOLA BEACH ESTS.","Community water system","Ground water","Sussex","LEWES","1,275","8","7","9"
"DE0000999","ANGOLA CREST II","Community water system","Ground water","Sussex","LEWES","159","5","8","8"
"DE0000248","ANGOLA DISTRICT","Community water system","Ground water","Sussex","LEWES","7,128","25","1","12"
"DE0020003","ARTESIAN NORTHERN SUSSEX REGIONAL","Community water system","Ground water","Sussex","LEWES","4,935","14","1","4"
"DE0000552","ARTESIAN WATER COMPANY","Community water system","Surface water purchased","New Castle","BEAR, HOCKESSIN","211,494","134","7","8"
"DE00A0232","AUGUSTINE CREEK","Community water system","Ground water","New Castle","PORT PENN","601","8","1","2"
"DE0000885","AVALON WOODS OWNERS ASSOC INC","Community water system","Ground water","Sussex","GEORGETOWN","306","8","8","4"
"DE00A0440","BARKERS LANDING","Community water system","Ground water purchased","Kent","MAGNOLIA","498","3","2","3"
"DE00A0837","BAYSIDE","Community water system","Ground water","Sussex","FENWICK ISLAND","6,216","7","1","2"
"DE0000553","BAYVIEW IMPROVEMENT COMPANY","Community water system","Ground water","New Castle","PORT PENN","141","8","3","7"
"DE00A0425","BAYWOOD GOLF AND RESIDENTIAL COMMUNITY","Community water system","Ground water purchased","Sussex","MILLSBORO","888","6","0","1"
"DE00A0847","BEAVER CREEK","Community water system","Ground water","Sussex","MILTON","750","6","1","1"
"DE0000221","BETHANY BAY OCEAN VIEW","Community water system","Ground water","Sussex","MILLVILLE","26,200","38","5","2"
"DE0000556","BETHANY BEACH WATER DEPARTMENT","Community water system","Ground water","Sussex","BETHANY BEACH","12,000","13","7","9"
"DE0000628","BETHANY CREST LLC","Community water system","Ground water","Sussex","MILLVILLE","60","9","44","8"
"DE0000865","BLADES, TOWN OF","Community water system","Ground water","Sussex","SEAFORD","1,200","6","6","12"
"DE0000987","BLANTON'S MOBILE HOME PARK","Community water system","Ground water","Kent","CHESWOLD","75","7","21","11"
"DE00A0680","BLUE HERON ESTATES","Community water system","Ground water","Sussex","GEORGETOWN","90","5","0","2"
"DE0000438","BRIARWOOD MANOR MHP","Community water system","Ground water","Sussex","LAUREL","296","11","54","16"
"DE0000949","BRIDGEVILLE DISTRICT","Community water system","Ground water","Sussex","BRIDGEVILLE","1,425","9","3","9"
"DE0000155","BRIDGEVILLE MALL","Community water system","Ground water","Sussex","BRIDGEVILLE","700","8","0","3"
"DE0000559","BRIDGEVILLE WATER DEPARTMENT","Community water system","Ground water","Sussex","BRIDGEVILLE","2,256","12","4","11"
"DE0000238","BROADKILN BEACH WATER COMPANY","Community water system","Ground water","Sussex","MILFORD","1,440","11","9","11"
"DE00A0697","BRUMBLEY'S FAMILY PARK","Community water system","Ground water","Sussex","MILTON","48","10","11","5"
"DE00A0740","BURTONWOOD","Community water system","Ground water","Kent","CHESWOLD","1,509","5","6","1"
"DE0000124","CAMDEN DISTRICT","Community water system","Ground water","Kent","CAMDEN-WYOMING","13,569","42","3","14"
"DE0000563","CAMDEN WYOMING SEWER AND WATER AUTHORITY","Community water system","Ground water","Kent","CAMDEN-WYOMING","3,500","11","3","10"
"DE00A0348","CANTERBURY HOMES","Community water system","Ground water","Kent","FELTON","471","6","2","3"
"DE0000439","CAPE WINDSOR COMMUNITY ASSOCIATION INC","Community water system","Ground water","Sussex","FENWICK ISLAND","600","10","6","9"
"DE0000521","CAREY ESTATES, LLC","Community water system","Ground water","Sussex","MILLSBORO","312","6","4","9"
"DE0000399","CARPENTERS ROW","Community water system","Ground water","New Castle","MONTCHANIN","60","6","11","1"
"DE00A0424","CEDAR LANDING","Community water system","Ground water","Sussex","OCEAN VIEW","420","6","1","2"
"DE0000254","CEDAR VILLAGE L.L.C.","Community water system","Ground water","Sussex","LINCOLN","445","8","12","11"
"DE0000608","CHERRY CREEK VALLEY","Community water system","Ground water","Sussex","DEWEY BEACH","78","5","24","7"
"DE00A0428","CHURCH CREEK","Community water system","Ground water","Kent","MAGNOLIA","5,661","20","2","1"
"DE0000565","CLAYTON WATER DEPARTMENT","Community water system","Ground water","Kent","CLAYTON","3,500","14","2","11"
"DE00A0326","CLEARBROOKE ESTATES","Community water system","Ground water","Sussex","SEAFORD","1,173","7","1","3"
"DE0000267","COLONIAL ESTATES MOBILE HOME PARK","Community water system","Ground water","Sussex","MILLSBORO","165","6","9","10"
"DE0000118","COOPER FARMS","Community water system","Ground water","Kent","LITTLE CREEK","228","6","1","10"
"DE00A0679","COUNTRY CLUB VILLAGE","Community water system","Ground water","Sussex","GEORGETOWN","72","5","10","2"
"DE0020020","COUNTRY GROVE","Community water system","Ground water","Sussex","DELMAR","261","7","0","2"
"DE0000015","COUNTRY HOUSE","Community water system","Ground water","New Castle","WINTERTHUR","425","8","19","12"
"DE0000623","COUNTRY LIVING MOBILE COURT","Community water system","Ground water","Sussex","MILLSBORO","250","12","2","13"
"DE0000275","COUNTRY REST HOME","Community water system","Ground water","Sussex","GREENWOOD","65","6","9","12"
"DE0000133","COUNTRY VIEW","Community water system","Ground water","Kent","FELTON","84","8","13","15"
"DE0000129","COUNTRYSIDE ESTATES","Community water system","Ground water","Kent","VIOLA","50","6","13","14"
"DE0000817","COUNTRYSIDE HAMLET","Community water system","Ground water","Sussex","FRANKFORD","66","6","19","10"
"DE0000901","COUNTY SEAT GARDENS","Community water system","Ground water","Sussex","GEORGETOWN","297","7","22","9"
"DE0001254","CROSSWINDS MHP, LLC","Community water system","Ground water","Sussex","LINCOLN","210","6","2","1"
"DE00A0799","DAGSBORO WATER DEPT","Community water system","Ground water purchased","Sussex","DAGSBORO","900","3","3","1"
"DE00A0787","DEER MEADOWS","Community water system","Ground water","Kent","MILFORD","480","5","1","1"
"DE0000566","DELAWARE CITY WATER DEPARTMENT","Community water system","Ground water","New Castle","DELAWARE CITY","2,220","6","3","13"
"DE0000011","DELAWARE CORRECTIONAL CENTER","Community water system","Ground water","New Castle","SMYRNA","2,000","11","5","7"
"DE0000567","DELMAR UTILITY COMM  (TN OF DELMAR)","Community water system","Ground water","Sussex","DELMAR","4,500","7","5","10"
"DE0000825","DEWEY BEACH WATER DEPARTMENT","Community water system","Ground water purchased","Sussex","DEWEY BEACH","22,400","3","1","12"
"DE0000604","DONOVAN/SMITH MOBILE HOME PARK","Community water system","Ground water","Sussex","LEWES","369","7","16","10"
"DE0000112","DOVE ESTATES","Community water system","Ground water","Sussex","SEAFORD","111","10","3","5"
"DE0000579","DOVER AIR FORCE BASE","Community water system","Ground water","Kent","DOVER AFB","6,124","14","5","9"
"DE0000573","DOVER AIR PARK","Community water system","Ground water","Kent","DOVER","252","7","10","10"
"DE00A0767","DOVER MEADOWS","Community water system","Ground water","Kent","CHESWOLD","135","5","0","1"
"DE0000571","DOVER WATER DEPARTMENT","Community water system","Ground water","Kent","DOVER","38,000","53","13","9"
