PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
FL2124295,242 VILLAGE SUBDIVISION,Community water system,Ground water,Columbia,LAKE CITY,161,2,15,32
FL6292080,42ND STREET APARTMENTS,Community water system,Ground water,Hillsborough,TAMPA,160,2,38,30
FL2610012,ADVENT CHRISTIAN VILLAGE,Community water system,Ground water,Suwannee,DOWLING PARK,784,3,5,23
FL2010017,ALACHUA WTP,Community water system,Ground water,Alachua,ALACHUA,8220,4,18,23
FL1320011,"ALFORD, TOWN OF",Community water system,Ground water,Jackson,ALFORD,497,8,18,29
FL1190013,ALLIGATOR POINT WATER RESOURCE DISTRICT,Community water system,Ground water,Franklin,PANACEA,671,12,5,25
FL6510050,ALOHA GARDENS UTILITIES,Community water system,Surface water purchased,Pasco,NEW PORT RICHEY,8136,7,20,28
FL3590026,ALTAMONTE SPRINGS WATER DEPT (2 WPS),Community water system,Ground water,Seminole,ALTAMONTE SPRINGS,55576,13,17,16
FL1070014,"ALTHA, TOWN OF WATER SYSTEM",Community water system,Ground water,Calhoun,ALTHA,800,6,21,30
FL6530057,"ALTURAS WATER, LLC",Community water system,Ground water,Polk,ALTURAS,300,2,11,42
FL4131403,AMERICANA VILLAGE,Community water system,Ground water,Miami-Dade,MIAMI,1500,4,93,69
FL4474396,ANCIENT OAKS RV RESORT,Community water system,Ground water,Okeechobee,OKEECHOBEE,745,3,75,28
FL6512177,ANCLOTE VILLAGE,Community water system,Ground water,Pasco,NEW PORT RICHEY,1257,5,13,29
FL6511360,ANGUS VALLEY,Community water system,Ground water,Pasco,WESLEY CHAPEL,1797,5,10,28
FL6290072,ANNA MARY MHP,Community water system,Ground water,Hillsborough,THONOTOSASSA,38,2,40,37
FL1370023,ANNAWOOD SUBDIVISION,Community water system,Ground water,Leon,TALLAHASSEE,115,3,0,21
FL1320025,APALACHEE CORRECTIONAL INSTITUTION,Community water system,Ground water,Jackson,SNEADS,2100,6,7,24
FL1190150,"APALACHICOLA, CITY OF",Community water system,Ground water,Franklin,APALACHICOLA,4710,4,66,25
FL3480200,"APOPKA, CITY OF (5 WTPS)",Community water system,Ground water,Orange,APOPKA,59931,18,23,25
