PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
HI0000337,ALIAMANU,Community water system,Ground water purchased,Honolulu,SALT LAKE,6630,2,4,7
HI0000401,ANAHOLA,Community water system,Ground water,Kauai,ANAHOLA,2408,7,1,12
HI0000432,ANAHOLA FARM LOTS,Community water system,Ground water,Kauai,ANAHOLA FARM LOTS (DHO),385,4,1,14
HI0000402,ANINI,Community water system,Ground water purchased,Kauai,HANALEI (DOW),169,2,0,13
HI0000355,BARBERS POINT,Community water system,Ground water,Honolulu,WAIPAHU-EWA-WAIANAE,5256,3,2,9
HI0000354,CAMP STOVER,Community water system,Ground water purchased,Honolulu,WAHIAWA,595,3,0,7
HI0000338,DILLINGHAM AIRFIELD,Community water system,Ground water,Honolulu,MOKULEIA,1800,3,8,7
HI0000326,DILLINGHAM RANCH,Community water system,Ground water,Honolulu,WAIALUA-HALEIWA,100,3,1,9
HI0000341,FORT SHAFTER,Community water system,Ground water,Honolulu,-,7268,5,5,7
HI0000417,GAY & ROBINSON,Community water system,Ground water,Kauai,KAUMAKANI,1271,3,9,19
HI0000415,HAENA-WAINIHA,Community water system,Ground water,Kauai,HAENA-WAINIHA,811,7,2,17
HI0000161,HAINA,Community water system,Ground water,Hawaii,HAINA,4487,7,0,3
HI0000154,HAKALAU-WAILEA,Community water system,Ground water,Hawaii,HAKALAU-WAILEA,397,4,0,9
HI0000222,HALEAKALA NATIONAL PARK,Community water system,Ground water,Maui,KULA,1200,3,1,12
HI0000217,HANA,Community water system,Ground water,Maui,HANA,1284,10,12,15
HI0000243,HANA WATER SYSTEMS - NORTH,Community water system,Ground water,Maui,KAELEKU AG PARK HANA,160,3,3,7
HI0000201,HANA WATER SYSTEMS - SOUTH,Community water system,Ground water,Maui,KEOLA HANA-HOTEL DHO,816,5,7,9
HI0000403,HANALEI,Community water system,Ground water,Kauai,HANALEI (DOW),487,4,1,14
HI0000404,HANAPEPE-ELEELE,Community water system,Ground water,Kauai,HANAPEPE-ELEELE (DOW),5445,9,3,17
HI0000117,HAWAIIAN BEACHES,Community water system,Ground water,Hawaii,HAWAIIAN SHORES DHO,3430,4,2,13
HI0000169,HAWAIIAN OCEAN VIEW ESTATES,Community water system,Ground water,Hawaii,KONA,1000,3,2,2
HI0000156,HAWAIIAN SHORES,Community water system,Ground water,Hawaii,HAWAIIAN SHORES DHO,1310,3,1,8
HI0000101,HILO,Community water system,Ground water,Hawaii,HILO,38885,19,48,31
HI0000331,HNL-WINDWARD-PEARL HARBOR,Community water system,Ground water,Honolulu,HONOLULU-WINDWARD-PEARLHARBOR,630266,239,43,9
HI0000218,HONOKOHAU,Community water system,Ground water purchased,Maui,LAHAINA,42,6,80,15
HI0000105,HONOMU,Community water system,Ground water,Hawaii,HONOMU,651,5,0,13
HI0000230,HOOLEHUA,Community water system,Ground water,Maui,HOOLEHUA,2400,5,9,15
HI0000360,JOINT BASE PEARL HARBOR-HICKAM,Community water system,Ground water,Honolulu,PEARL HARBOR,65230,8,9,14
HI0000205,KAANAPALI,Community water system,Ground water,Maui,KAANAPALI (DHO),8000,14,6,9
HI0000249,KAHAKULOA WATER CO.,Community water system,Ground water,Maui,KAHAKULOA HOMESTEAD,150,4,1,3
HI0000365,KAHUKU,Community water system,Ground water,Honolulu,KAHUKU,2757,4,1,7
HI0000315,KAHUKU AIR BASE,Community water system,Ground water,Honolulu,KAHUKU AIR BASE,75,3,3,7
HI0000203,KAILUA,Community water system,Ground water,Maui,KAILUA MAUI,90,5,19,7
HI0000235,KALAE,Community water system,Ground water purchased,Maui,MAKENA,360,5,1,10
HI0000434,KALAHEO-KOLOA,Community water system,Ground water,Kauai,KALAHEO,12327,27,3,15
HI0000110,KALAPANA,Community water system,Ground water,Hawaii,KALAPANA (DWS),265,4,1,14
HI0000239,KALAUPAPA NHP,Community water system,Ground water,Maui,KALAUPAPA,110,3,10,10
HI0000319,KAMEHAMEHA SCHOOLS,Community water system,Ground water,Honolulu,KAPALAMA,4000,5,0,9
HI0000204,KAPALUA,Community water system,Ground water,Maui,KAPALUA (DHO),4200,4,5,5
HI0000234,KAUNAKAKAI,Community water system,Ground water,Maui,KAUNAKAKAI,3702,7,11,12
HI0000163,KAUPULEHU,Community water system,Ground water,Hawaii,KONA,1945,11,14,3
HI0000164,KAWAIHAE UNIT #1,Community water system,Ground water purchased,Hawaii,KAWAIHAE,193,3,1,3
HI0000248,KAWELA PLANTATION,Community water system,Ground water,Maui,KAWELA,553,6,1,5
HI0000423,KEALIA,Community water system,Ground water,Kauai,KEALIA (DHO),260,8,0,17
HI0000219,KEANAE,Community water system,Ground water,Maui,KEANAE (DWS),270,4,3,11
HI0000406,KEKAHA-WAIMEA,Community water system,Ground water,Kauai,KEKAHA (DOW),5840,13,9,16
HI0000168,KEOPU WATER ASSOCIATION,Community water system,Ground water purchased,Hawaii,KONA,250,2,0,2
HI0000407,KILAUEA,Community water system,Ground water,Kauai,KILAUEA (DOW),3330,7,1,18
HI0000328,KIPAPA ACRES C.P.R.,Community water system,Ground water,Honolulu,-,43,4,28,8
HI0000245,KIPU,Community water system,Ground water purchased,Maui,HALEAKALA,80,6,1,11
HI0000151,KOHALA RANCH WATER CO.,Community water system,Ground water,Hawaii,KOHALA JOINT VENTURE,850,4,0,7
HI0000165,KONA WATER SERVICE COMPANY,Community water system,Ground water,Hawaii,KONA,260,11,0,3
HI0000229,KUALAPUU,Community water system,Ground water,Maui,KUALAPUU,500,3,20,15
HI0000133,KUKUIHAELE,Community water system,Surface water purchased,Hawaii,KUKUIHAELE,443,5,1,9
HI0000255,KULA NANI,Community water system,Surface water purchased,Maui,KULA,80,2,0,4
HI0000153,KULANI CORRECTIONAL FACILITY,Community water system,Ground water,Hawaii,SOUTH KOHALA,250,3,7,12
HI0000303,KUNIA VILLAGE,Community water system,Ground water,Honolulu,WAHIAWA,650,4,26,9
HI0000214,LAHAINA,Community water system,Surface water,Maui,LAHAINA,20065,32,64,16
HI0000325,LAIE WATER COMPANY,Community water system,Ground water,Honolulu,LAIE,5577,10,1,9
HI0000160,LALAMILO,Community water system,Ground water,Hawaii,LALAMILO,1868,10,1,3
