PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
IA3100629,ACE MOBILE HOME PARK,Community water system,Ground water,Dubuque,DUBUQUE,29,6,1,8
IA4201001,ACKLEY MUNICIPAL WATER WORKS,Community water system,Ground water,Hardin,ACKLEY,1589,13,3,11
IA0105002,ADAIR MUNICIPAL WATER SUPPLY,Community water system,Ground water,Adair,ADAIR,781,11,40,12
IA2503003,ADEL MUNICIPAL WATER WORKS,Community water system,Ground water,Dallas,ADEL,3690,14,12,12
IA9003006,AGENCY WATER WORKS,Community water system,Surface water purchased,Wapello,AGENCY,638,9,0,9
IA9203007,AINSWORTH WATER WORKS,Community water system,Ground water,Washington,AINSWORTH,567,11,3,9
IA7509008,"AKRON, CITY OF",Community water system,Ground water,Plymouth,AKRON,1486,15,12,8
IA1103009,ALBERT CITY MUNI WATER SUPPLY,Community water system,Ground water,Buena Vista,ALBERT CITY,711,11,11,9
IA6803010,ALBIA MUNICIPAL WATER WORKS,Community water system,Surface water purchased,Monroe,ALBIA,3766,11,23,11
IA6403011,ALBION WATER DEPARTMENT,Community water system,Ground water,Marshall,ALBION,505,14,19,8
IA5704012,ALBURNETT WATER SUPPLY,Community water system,Ground water,Linn,ALBURNETT,673,11,21,9
IA4213013,ALDEN WATER SUPPLY,Community water system,Ground water,Hardin,ALDEN,787,11,10,8
IA3503014,ALEXANDER WATER DEPT,Community water system,Ground water,Franklin,ALEXANDER,175,6,15,10
IA5502015,ALGONA MUNICIPAL UTILITIES,Community water system,Ground water,Kossuth,ALGONA,5560,17,9,9
IA9303024,ALLERTON WATER WORKS,Community water system,Surface water purchased,Wayne,ALLERTON,501,7,0,8
IA1203026,ALLISON WATER SUPPLY,Community water system,Ground water,Butler,ALLISON,1029,7,3,9
IA1108025,ALTA MUNICIPAL WATER PLANT,Community water system,Ground water,Buena Vista,ALTA,1958,10,1,10
IA1903027,ALTA VISTA WATER DEPARTMENT,Community water system,Ground water,Chickasaw,ALTA VISTA,266,6,3,9
IA8403029,ALTON MUNICIPAL WATER DEPARTMENT,Community water system,Ground water purchased,Sioux,ALTON,1246,12,11,8
IA7707030,ALTOONA WATER SUPPLY,Community water system,Ground water,Polk,ALTOONA,14541,19,14,8
IA6003032,ALVORD MUNICIPAL WATER SUPPLY,Community water system,Ground water purchased,Lyon,ALVORD,196,11,38,9
IA0800601,AMES MOBILE HOME PARK,Community water system,Purchased ground water under influence of surface water source,Story,AMES,160,9,40,6
IA8503039,AMES WATER TREATMENT PLANT,Community water system,Ground water,Story,AMES,50029,51,5,8
IA5307048,ANAMOSA MUNICIPAL WATER SUPPLY,Community water system,Ground water,Jones,ANAMOSA,4283,17,18,9
IA5300947,ANAMOSA STATE  PENITENTIARY,Community water system,Ground water,Jones,ANAMOSA,1230,18,4,8
IA2307001,ANDOVER WATER SUPPLY,Community water system,Ground water,Clinton,ANDOVER,103,6,0,4
IA4903050,ANDREW WATER SUPPLY,Community water system,Ground water,Jackson,ANDREW,434,10,3,9
IA1503053,ANITA MUNICIPAL UTILITIES,Community water system,Ground water,Cass,ANITA,972,15,4,8
IA7709053,"ANKENY, CITY OF",Community water system,Surface water purchased,Polk,ANKENY,54598,22,54,8
IA9704060,ANTHON MUNICIPAL WATER SYSTEM,Community water system,Ground water,Woodbury,ANTHON,573,8,5,9
IA1207061,APLINGTON WATER SUPPLY,Community water system,Ground water,Butler,APLINGTON,1138,10,10,10
IA1403062,ARCADIA WATER SUPPLY,Community water system,Ground water purchased,Carroll,ARCADIA,484,12,5,10
IA3307065,ARLINGTON WATER SUPPLY,Community water system,Ground water,Fayette,ARLINGTON,429,10,1,8
IA3203066,ARMSTRONG WATER SUPPLY,Community water system,Ground water,Emmet,ARMSTRONG,943,13,16,11
IA3003067,ARNOLDS PARK WATER DEPARTMENT,Community water system,Surface water purchased,Dickinson,ARNOLDS PARK,1133,9,0,8
IA4703068,ARTHUR MUNICIPAL WATER SUPPLY,Community water system,Ground water purchased,Ida,ARTHUR,207,14,37,9
IA3102001,ASBURY MUNICIPAL WATER SYSTEM,Community water system,Ground water,Dubuque,ASBURY,4545,29,0,6
IA7209069,ASHTON MUNICIPAL WATER DEPARTMENT,Community water system,Ground water purchased,Osceola,ASHTON,483,9,0,8
IA7009071,ATALISSA MUNICIPAL WATER SUPPLY,Community water system,Ground water,Muscatine,ATALISSA,311,8,24,9
IA0603072,ATKINS MUNICIPAL WATER WORKS,Community water system,Ground water,Benton,ATKINS,1670,14,25,8
IA1509074,ATLANTIC MUNICIPAL UTILITIES,Community water system,Ground water,Cass,ATLANTIC,7232,34,1,9
IA8104076,AUBURN WATER SUPPLY,Community water system,Ground water,Sac,AUBURN,322,9,7,7
IA0505077,AUDUBON WATER SUPPLY,Community water system,Ground water,Audubon,AUDUBON,2301,26,3,11
IA1803079,AURELIA WATER SUPPLY,Community water system,Ground water,Cherokee,AURELIA,1036,12,2,8
IA7709601,AUTUMN RIDGE ESTATES MHP,Community water system,Surface water purchased,Polk,ANKENY,1032,5,10,7
IA7803080,AVOCA WATER WORKS,Community water system,Ground water purchased,Pottawattamie,AVOCA,1506,14,3,9
IA7403081,AYRSHIRE WATER WORKS,Community water system,Ground water,Palo Alto,AYRSHIRE,147,9,2,9
IA5343301,BACON ADDITION,Community water system,Ground water,Jones,MONTICELLO,81,8,10,8
IA9405082,BADGER WATER SUPPLY,Community water system,Ground water,Webster,BADGER,561,7,12,9
IA3902083,BAGLEY WATER SUPPLY,Community water system,Ground water,Guthrie,BAGLEY,303,9,14,10
IA4907084,BALDWIN WATER SUPPLY,Community water system,Ground water,Jackson,BALDWIN,109,8,0,8
IA5507085,BANCROFT WATER SUPPLY,Community water system,Ground water,Kossuth,BANCROFT,744,10,7,10
IA2561601,BAR JAC MOBILE HOME PARK,Community water system,Ground water purchased,Dallas,PERRY,270,4,9,10
IA7905088,BARNES CITY WATER SUPPLY,Community water system,Ground water purchased,Poweshiek,BARNES CITY,176,8,4,9
IA9408087,BARNUM WATER SUPPLY,Community water system,Ground water,Webster,BARNUM,193,10,9,9
IA5107089,BATAVIA WATER WORKS,Community water system,Surface water purchased,Jefferson,BATAVIA,499,8,8,9
IA4709090,BATTLE CREEK WATER SUPPLY,Community water system,Ground water,Ida,BATTLE CREEK,717,15,32,9
IA5003091,BAXTER WATER SUPPLY,Community water system,Ground water,Jasper,BAXTER,1126,10,2,9
IA3907092,BAYARD WATER SUPPLY,Community water system,Ground water,Guthrie,BAYARD,471,11,21,14
IA6203093,BEACON WATER SUPPLY,Community water system,Purchased ground water under influence of surface water source,Mahaska,BEACON,504,6,12,8
IA3803094,BEAMAN WATER SUPPLY,Community water system,Ground water purchased,Grundy,BEAMAN,191,9,8,9
IA9433312,BECKER WATER AND ROAD,Community water system,Ground water,Webster,FORT DODGE,50,6,3,4
IA8709096,BEDFORD WATER WORKS,Community water system,Surface water purchased,Taylor,BEDFORD,1485,14,35,9
IA3500933,BEEDS LAKE HOME OWNERS ASSOCIATION,Community water system,Ground water,Franklin,HAMPTON,75,6,30,9
IA0610099,BELLE PLAINE WATER DEPT,Community water system,Ground water,Benton,BELLE PLAINE,2559,12,8,7
IA4910000,BELLEVUE MUNICIPAL UTILITIES,Community water system,Ground water,Jackson,BELLEVUE,2191,14,10,7
IA9905003,BELMOND WATER SUPPLY,Community water system,Ground water,Wright,BELMOND,2376,15,14,12
IA0819305,BENEFIT WATER DISTRICT #2,Community water system,Purchased ground water under influence of surface water source,Boone,BOONE,73,6,3,8
IA1603005,BENNETT WATERWORKS,Community water system,Ground water,Cedar,BENNETT,405,6,1,9
IA3113001,BERNARD WATER SYSTEM,Community water system,Ground water,Dubuque,BERNARD,112,8,3,7
IA5710001,BERTRAM WATER SUPPLY,Community water system,Ground water,Linn,BERTRAM,75,5,0,5
IA5784309,BIG CREEK BLUFFS,Community water system,Ground water,Linn,BERTRAM,80,6,17,8
IA8909011,BIRMINGHAM WATER SUPPLY,Community water system,Surface water purchased,Van Buren,BIRMINGHAM,448,11,7,11
IA5784316,BLAIRS FERRY MANOR,Community water system,Ground water,Linn,TODDVILLE,75,10,33,8
IA4003012,BLAIRSBURG WATER SUPPLY,Community water system,Ground water,Hamilton,BLAIRSBURG,215,10,6,8
IA0607013,BLAIRSTOWN WATER SUPPLY,Community water system,Ground water,Benton,BLAIRSTOWN,725,9,7,8
IA9027014,BLAKESBURG MUNICIPAL WATER WORKS,Community water system,Surface water purchased,Wapello,BLAKESBURG,296,5,5,12
IA6709017,BLENCOE MUNICIPAL WATERWORKS,Community water system,Ground water,Monona,BLENCOE,224,7,21,11
IA2613019,BLOOMFIELD MUNI WATER DEPT,Community water system,Surface water purchased,Davis,BLOOMFIELD,2740,11,85,8
IA4609028,BODE MUNICIPAL WATER SUPPLY,Community water system,Ground water,Humboldt,BODE,315,9,48,10
IA8914031,BONAPARTE WATER SUPPLY,Community water system,Surface water purchased,Van Buren,BONAPARTE,433,7,2,9
IA7717032,BONDURANT MUNI WATER SUPPLY,Community water system,Surface water purchased,Polk,BONDURANT,5493,17,5,8
IA0819033,BOONE WATER WORKS,Community water system,Groundwater under influence of surface water,Boone,BOONE,12934,32,22,11
IA8409037,BOYDEN MUNICIPAL WATER SUPPLY,Community water system,Ground water purchased,Sioux,BOYDEN,715,12,4,9
IA7324038,BRADDYVILLE WATER WORKS,Community water system,Surface water purchased,Page,BRADDYVILLE,159,9,17,23
IA1011001,BRANDON WATER SUPPLY,Community water system,Ground water,Buchanan,BRANDON,309,10,9,9
IA0510040,BRAYTON WATER SYSTEM,Community water system,Ground water purchased,Audubon,BRAYTON,110,9,19,14
IA1409041,BREDA WATER SUPPLY,Community water system,Ground water,Carroll,BREDA,486,12,12,9
IA2258603,BREEZY POINTE SUBDIVISION,Community water system,Ground water,Clayton,MCGREGOR,110,8,11,8
IA3170301,BRIARWOOD HOA,Community water system,Ground water,Dubuque,PEOSTA,70,7,6,8
IA9209043,BRIGHTON MUNICIPAL WATER SUPPLY,Community water system,Ground water,Washington,BRIGHTON,660,11,5,9
IA1222044,BRISTOW MUNI WATER SUPPLY,Community water system,Ground water,Butler,BRISTOW,160,7,24,11
IA4103045,BRITT WATER WORKS,Community water system,Ground water,Hancock,BRITT,2094,10,0,8
IA5715301,BRITTANY ESTATES HOMEOWNERS ASSOCIATION,Community water system,Ground water,Linn,CEDAR RAPIDS,72,8,45,7
IA3100675,BROADVIEW TRAILER COURT,Community water system,Ground water,Dubuque,DUBUQUE,82,6,69,8
IA9709046,BRONSON WATER SUPPLY,Community water system,Ground water,Woodbury,BRONSON,322,8,52,9
IA2330301,BROOKHILL ESTATES,Community water system,Ground water,Clinton,DE WITT,41,5,18,9
IA7909047,BROOKLYN WATER DEPARTMENT,Community water system,Ground water purchased,Poweshiek,BROOKLYN,1483,13,5,9
IA7514049,BRUNSVILLE MUNICIPAL WATER SUPPLY,Community water system,Ground water purchased,Plymouth,BRUNSVILLE,151,11,4,7
IA9506052,BUFFALO CENTER MUNI WATER DEPT,Community water system,Ground water,Winnebago,BUFFALO CENTER,907,8,3,10
IA8218050,BUFFALO WATER SUPPLY,Community water system,Ground water,Scott,BUFFALO,1270,11,12,9
IA3170302,BURDS GREEN ACRES SUBDIVISION,Community water system,Ground water,Dubuque,PEOSTA,312,7,7,8
IA2909053,BURLINGTON MUNICIPAL WATERWORKS,Community water system,Surface water,Des Moines,BURLINGTON,25619,18,1,10
IA5510060,BURT WATER SUPPLY,Community water system,Ground water,Kossuth,BURT,535,8,1,10
