"PWS ID","PWS Name","PWS Type","Primary Source","Counties Served","Cities Served","PopulationServed Count","Number of Facilities","Number of Violations","Number of Site Visits"
"ID7100201","3D WATER ASSOCIATION","Community water system","Ground water","Bonneville","-","642","6","9","3"
"ID6060001","ABERDEEN CITY OF","Community water system","Ground water","Bingham","-","1,994","5","20","10"
"ID2180001","AHSAHKA WATER AND SEWER DIST","Community water system","Surface water","Clearwater","-","85","6","22","13"
"ID5160001","ALBION CITY OF","Community water system","Ground water","Cassia","-","310","7","58","11"
"ID1090001","ALGOMA ADDITION SUBD","Community water system","Ground water","Bonner","-","75","3","72","7"
"ID1280002","ALPINE MEADOWS WATER AND SEWER DIST","Community water system","Ground water","Kootenai","-","300","6","15","12"
"ID6390001","AMERICAN FALLS CITY OF","Community water system","Ground water","Power","-","4,225","10","36","12"
"ID7100004","AMMON CITY OF","Community water system","Ground water","Bonneville","-","14,019","13","160","11"
"ID4010005","ANDERSON CIRCLE WATER CORP","Community water system","Ground water","Ada","-","50","2","14","10"
"ID7190001","ANTELOPE CREEK LIVING CENTER","Community water system","Ground water","Custer","-","26","2","10","11"
"ID3140005","APACHE HEIGHTS SUBDIVISION (2)","Community water system","Ground water","Canyon","-","110","3","39","10"
"ID2290024","APEX LIVING COMMUNITY","Community water system","Ground water","Latah","-","100","7","57","11"
"ID2290036","APPALOOSA COURT","Community water system","Ground water","Latah","-","129","4","10","11"
"ID6120001","ARCO  CITY OF","Community water system","Ground water","Butte","-","1,080","9","34","9"
"ID6030002","ARIMO CITY OF","Community water system","Ground water","Bannock","-","356","6","34","11"
"ID1280252","ARROW POINT PARK","Community water system","Surface water purchased","Kootenai","-","275","5","16","6"
"ID4010247","ARROWROCK RANCH","Community water system","Ground water","Ada","-","200","3","105","3"
"ID1280273","ASHLEY ESTATES WATER ASSN","Community water system","Ground water","Kootenai","-","38","3","64","6"
"ID7220004","ASHTON CITY OF","Community water system","Ground water","Fremont","-","1,129","7","47","9"
"ID6040042","ASPEN CREEK WATER COMPANY","Community water system","Ground water","Bear Lake","-","50","3","1","3"
"ID5070001","ASPEN HOLLOW HOMEOWNERS ASSOC","Community water system","Ground water","Blaine","-","75","2","22","10"
"ID1280006","ATHOL CITY OF","Community water system","Ground water","Kootenai","-","763","6","15","10"
"ID4200005","ATLANTA WATER ASSN","Community water system","Surface water","Elmore","-","91","3","132","14"
"ID1280005","ATLAS ACRES","Community water system","Ground water","Kootenai","-","69","6","16","7"
"ID6060003","ATOMIC CITY","Community water system","Ground water","Bingham","-","35","5","79","11"
"ID3140007","AURORA SUBD","Community water system","Ground water","Canyon","-","30","2","29","13"
"ID7100013","AUTUMN COVE MOBILE HOME COURT","Community water system","Ground water","Bonneville","-","42","2","10","10"
"ID1400004","AVERY WATER AND SEWER DIST","Community water system","Ground water","Shoshone","-","100","6","37","10"
