PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
IL0950050,ABINGDON,Community water system,Ground water purchased,Knox,ABINGDON,3654,14,12,18
IL0015350,ABS WATER COOP,Community water system,Ground water purchased,Adams,-,6921,33,9,17
IL1590220,ACORN ACRES MHP,Community water system,Surface water purchased,Richland,OLNEY,52,4,0,1
IL0015150,ADAMS COUNTY WATER DISTRICT NO 1,Community water system,Ground water purchased,Adams,-,876,11,29,19
IL0430050,ADDISON,Community water system,Surface water purchased,DuPage,ADDISON,36942,56,1,14
IL1615185,AIR VIEW MHP,Community water system,Ground water,Rock Island,-,164,9,18,25
IL0555120,AKIN WATER DISTRICT,Community water system,Surface water purchased,Franklin,-,2205,11,4,31
IL1950050,ALBANY,Community water system,Ground water,Whiteside,ALBANY,950,9,6,44
IL0270050,ALBERS,Community water system,Surface water purchased,Clinton,ALBERS,1096,14,16,21
IL0470050,ALBION,Community water system,Ground water,Edwards,ALBION,3038,18,2,124
IL0971090,ALDEN LONG GROVE NURSING CENTER,Community water system,Ground water,Lake,LONG GROVE,200,13,46,10
IL1310050,ALEDO,Community water system,Ground water,Mercer,ALEDO,3700,13,9,21
IL1370020,ALEXANDER WATER DISTRICT,Community water system,Surface water purchased,Morgan,-,442,6,4,12
IL1874000,ALEXIS,Community water system,Ground water,Warren,ALEXIS,863,8,15,21
IL1110050,ALGONQUIN,Community water system,Ground water,McHenry,ALGONQUIN,30400,39,22,24
IL1190050,ALHAMBRA,Community water system,Surface water purchased,Madison,ALHAMBRA,800,14,4,19
IL1850050,ALLENDALE,Community water system,Ground water,Wabash,ALLENDALE,475,22,64,25
IL0975139,ALLENDALE ASSOCIATION,Community water system,Ground water,Lake,-,250,7,6,13
IL1834020,ALLERTON,Community water system,Ground water,Vermilion,ALLERTON,304,10,4,27
IL1210050,ALMA,Community water system,Surface water purchased,Marion,ALMA,400,7,27,20
IL0730050,ALPHA,Community water system,Ground water,Henry,ALPHA,676,11,18,20
