"PWS ID","PWS Name","PWS Type","Primary Source","Counties Served","Cities Served","PopulationServed Count","Number of Facilities","Number of Violations","Number of Site Visits"
"IN5258001","ABERDEEN PATE WATER COMPANY, INC.","Community water system","Ground water","Ohio","AURORA","4,688","11","11","19"
"IN5206001","ADVANCE WATER WORKS","Community water system","Ground water","Boone","ADVANCE","500","8","15","20"
"IN5225001","AKRON WATER DEPARTMENT","Community water system","Ground water","Fulton","AKRON","1,167","7","43","12"
"IN5218001","ALBANY WATER DEPARTMENT","Community water system","Ground water","Delaware","ALBANY","2,165","7","18","31"
"IN5257001","ALBION WATER & SEWER","Community water system","Ground water","Noble","ALBION","2,349","9","55","12"
"IN5248001","ALEXANDRIA WATER DEPARTMENT","Community water system","Ground water","Madison","ALEXANDRIA","5,087","8","30","72"
"IN5214001","ALFORDSVILLE WATER UTILITY","Community water system","Surface water purchased","Daviess","LOOGOOTEE","510","4","2","12"
"IN5204001","AMBIA WATER DEPARTMENT","Community water system","Ground water","Benton","AMBIA","250","6","158","11"
"IN5250016","ANCILLA DOMINI (CONVENT)","Community water system","Ground water","Marshall","DONALDSON","992","5","66","15"
"IN5262001","AND-TRO WATER AUTHORITY - DISTRICT 1","Community water system","Ground water purchased","Perry","TELL CITY","2,610","12","2","14"
"IN5262003","AND-TRO WATER AUTHORITY - DISTRICT 2","Community water system","Surface water purchased","Perry","TELL CITY","1,603","7","1","9"
"IN5270003","ANDERSON TOWNSHIP REGIONAL SEWER DIST.","Community water system","Ground water","Rush","MILROY","900","6","7","32"
"IN5248002","ANDERSON WATER DEPARTMENT","Community water system","Groundwater under influence of surface water","Madison","ANDERSON","58,400","31","39","79"
"IN5235001","ANDREWS WATER DEPARTMENT","Community water system","Ground water","Huntington","ANDREWS","1,149","7","40","14"
"IN5276001","ANGOLA WATER DEPARTMENT","Community water system","Ground water","Steuben","ANGOLA","8,612","18","29","19"
"IN5209001","ANOKA ACRES MOBILE HOME PARK","Community water system","Ground water","Cass","LOGANSPORT","153","5","83","11"
"IN5245001","APPLE VALLEY UTILITIES, INC.","Community water system","Ground water","Lake","HEBRON","712","9","67","21"
"IN5271018","AQUA INDIANA - WEDGEWOOD PARK WATER UTIL","Community water system","Ground water purchased","St. Joseph","GRANGER","645","7","51","17"
"IN5245017","AQUA INDIANA WATER COMPANY","Community water system","Ground water purchased","Lake","-","1,150","3","0","7"
"IN5229001","ARCADIA WATER DEPARTMENT","Community water system","Ground water","Hamilton","ARCADIA","1,700","6","13","24"
"IN5250001","ARGOS MUNICIPAL WATER PLANT","Community water system","Ground water","Marshall","ARGOS","1,680","7","19","20"
"IN5230001","ARROWHEAD MOBILE HOME PARK","Community water system","Ground water","Hancock","NEW PALESTINE","65","4","11","12"
"IN5276002","ASHLEY WATER DEPARTMENT","Community water system","Ground water","Steuben","ASHLEY (RR NAME ASHLEY-HUDSON)","983","9","11","19"
"IN5229002","ATLANTA WATER DEPARTMENT","Community water system","Ground water","Hamilton","ATLANTA","735","7","17","21"
"IN5223001","ATTICA WATER UTILITY","Community water system","Ground water","Fountain","ATTICA","3,245","7","41","21"
"IN5217001","AUBURN WATER DEPARTMENT","Community water system","Ground water","DeKalb","AUBURN","12,800","20","2","16"
"IN5215001","AURORA UTILITIES","Community water system","Ground water","Dearborn","AURORA","6,750","12","32","14"
"IN5218028","AUTUMN ACRES MOBILE HOME SUBDIVISION","Community water system","Ground water purchased","Delaware","YORKTOWN","48","7","38","11"
"IN5246007","AUTUMN CREEK MHP","Community water system","Ground water","LaPorte","MICHIGAN CITY","270","10","19","22"
"IN5244013","AUTUMN GROVE","Community water system","Ground water","LaGrange","LAGRANGE (LA GRANGE)","55","4","71","16"
"IN5257002","AVILLA WATER DEPARTMENT","Community water system","Ground water","Noble","AVILLA","2,500","8","3","16"
"IN5253001","B&B WATER PROJECT, INC.","Community water system","Surface water purchased","Monroe","BLOOMINGTON","5,075","9","6","12"
"IN5267001","BAINBRIDGE WATER WORKS","Community water system","Ground water","Putnam","BAINBRIDGE","830","7","1","15"
"IN5241001","BARGERSVILLE WATER DEPARTMENT","Community water system","Ground water","Johnson","BARGERSVILLE","29,748","23","4","24"
"IN5269001","BATESVILLE WATER UTILITY","Community water system","Surface water","Ripley","BATESVILLE","6,600","9","28","16"
"IN5279002","BATTLE GROUND WATER DISTRICT","Community water system","Ground water","Tippecanoe","BATTLE GROUND","1,940","9","4","21"
"IN5260001","BBP WATER COMPANY","Community water system","Ground water","Owen","SPENCER","9,903","21","2","27"
"IN5247001","BEDFORD CITY UTILITIES","Community water system","Surface water","Lawrence","BEDFORD","14,000","9","32","33"
"IN5246002","BEECHWOOD MOBILE HOME PARK","Community water system","Ground water","LaPorte","MICHIGAN CITY","63","10","84","20"
"IN5217002","BEN MAR CHATEAU","Community water system","Ground water","DeKalb","GARRETT","166","9","24","15"
"IN5201001","BERNE WATER DEPARTMENT","Community water system","Ground water","Adams","BERNE","4,075","7","7","14"
"IN5242001","BICKNELL MUNICIPAL UTILITIES","Community water system","Ground water","Knox","BICKNELL","4,064","10","31","34"
"IN5229003","BIG MAPLE MOBILE HOME PARK","Community water system","Ground water","Hamilton","NOBLESVILLE","37","4","153","17"
"IN5267002","BIG WALNUT WATER COMPANY","Community water system","Ground water purchased","Putnam","GREENCASTLE","500","3","15","9"
"IN5219001","BIRDSEYE WATER SYSTEM","Community water system","Surface water purchased","Dubois","BIRDSEYE","972","6","26","14"
"IN5261001","BLOOMINGDALE WATER WORKS","Community water system","Ground water","Parke","BLOOMINGDALE","500","8","128","17"
"IN5292010","BLUE LAKE MOBILE HOME PARK","Community water system","Ground water","Whitley","CHURUBUSCO","100","5","59","8"
"IN5292002","BLUE RIDGE MOBILE HOME PARK","Community water system","Ground water","Whitley","CHURUBUSCO","300","6","52","17"
"IN5273001","BLUE RIVER ESTATES MOBILE HOME PARK","Community water system","Ground water","Shelby","EDINBURG","99","6","44","11"
"IN5213006","BLUE RIVER REGIONAL WATER DISTRICT","Community water system","Ground water","Crawford","MILLTOWN","2,000","12","13","25"
"IN5227002","BLUFFS BASIN UTILITY COMPANY","Community water system","Ground water purchased","Grant","MARION","36","3","6","10"
"IN5290001","BLUFFTON UTILITIES WATER DEPT","Community water system","Ground water","Wells","BLUFFTON","9,980","16","9","41"
"IN5210002","BORDEN TRI-COUNTY REGION","Community water system","Surface water","Clark","BORDEN","10,695","13","106","27"
"IN5204002","BOSWELL WATER DEPARTMENT","Community water system","Ground water","Benton","BOSWELL","750","8","72","39"
"IN5250002","BOURBON WATER DEPARTMENT","Community water system","Ground water","Marshall","BOURBON","1,777","7","8","18"
"IN5211001","BRAZIL CITY WATER WORKS","Community water system","Ground water","Clay","BRAZIL","12,000","14","15","30"
"IN5250003","BREMEN WATER DEPARTMENT","Community water system","Ground water","Marshall","BREMEN","4,612","11","21","24"
"IN5245004","BREMERTON MOBILE HOME PARK","Community water system","Ground water","Lake","GRIFFITH","79","4","13","12"
"IN5220001","BRISTOL MOBILE VILLAGE","Community water system","Ground water","Elkhart","BRISTOL","238","5","97","14"
"IN5220003","BRISTOL WATER DEPARTMENT","Community water system","Ground water","Elkhart","BRISTOL","1,675","9","44","18"
"IN5256002","BROOK WATER UTILITY","Community water system","Ground water","Newton","BROOK","986","8","10","11"
"IN5255002","BROOKLYN WATER WORKS","Community water system","Ground water","Morgan","BROOKLYN","1,600","7","6","27"
"IN5291002","BROOKSTON WATER DEPARTMENT","Community water system","Ground water","White","BROOKSTON","1,700","7","3","13"
"IN5224001","BROOKVILLE WATER WORKS","Community water system","Ground water","Franklin","BROOKVILLE","2,800","8","4","14"
