PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
KS2015512,"ABBYVILLE, CITY OF",Community water system,Ground water,Reno,ABBYVILLE,87,8,13,18
KS2004112,"ABILENE, CITY OF",Community water system,Groundwater under influence of surface water,Dickinson,ABILENE,6380,45,33,14
KS2011103,"ADMIRE, CITY OF",Community water system,Surface water purchased,Lyon,ADMIRE,154,7,6,12
KS2015705,"AGENDA, CITY OF",Community water system,Ground water purchased,Republic,AGENDA,63,8,15,10
KS2014707,"AGRA, CITY OF",Community water system,Ground water,Phillips,AGRA,252,9,12,11
KS2000914,"ALBERT, CITY OF",Community water system,Ground water,Barton,ALBERT,169,7,7,10
KS2016503,"ALEXANDER, CITY OF",Community water system,Ground water,Rush,ALEXANDER,60,8,28,10
KS2000109,ALLEN CO RWD 10,Community water system,Surface water purchased,Allen,CHANUTE,125,5,20,14
KS2000117,ALLEN CO RWD 12,Community water system,Surface water purchased,Allen,MORAN,33,5,6,14
KS2000118,ALLEN CO RWD 13,Community water system,Surface water purchased,Allen,CHANUTE,100,5,8,11
KS2000121,ALLEN CO RWD 15,Community water system,Surface water purchased,Allen,IOLA,135,5,10,13
KS2000122,ALLEN CO RWD 16,Community water system,Surface water purchased,Allen,MORAN,130,10,18,11
KS2000112,ALLEN CO RWD 4,Community water system,Surface water purchased,Allen,IOLA,52,5,2,13
KS2000107,ALLEN CO RWD 6,Community water system,Surface water purchased,Allen,IOLA,45,7,5,12
KS2000110,ALLEN CO RWD 8,Community water system,Surface water purchased,Allen,MORAN,736,7,19,14
KS2011102,"ALLEN, CITY OF",Community water system,Surface water purchased,Lyon,ALLEN,174,5,7,15
KS2019701,"ALMA, CITY OF",Community water system,Surface water,Wabaunsee,ALMA,783,13,19,14
KS2013701,"ALMENA, CITY OF",Community water system,Ground water,Norton,ALMENA,386,20,31,12
KS2019702,"ALTA VISTA, CITY OF",Community water system,Ground water purchased,Wabaunsee,ALTA VISTA,422,17,1,9
KS2009901,"ALTAMONT, CITY OF",Community water system,Surface water purchased,Labette,ALTAMONT,1025,5,4,11
KS2014102,"ALTON, CITY OF",Community water system,Ground water,Osborne,ALTON,96,13,17,15
KS2020508,"ALTOONA, CITY OF",Community water system,Surface water purchased,Wilson,ALTOONA,380,8,82,17
KS2017342,"ANDALE, CITY OF",Community water system,Ground water,Sedgwick,ANDALE,997,7,6,14
KS2000302,ANDERSON CO RWD 1,Community water system,Surface water purchased,Anderson,GARNETT,37,8,11,13
KS2000311,ANDERSON CO RWD 1C,Community water system,Surface water purchased,Linn,MOUND CITY,2112,13,20,11
KS2000303,ANDERSON CO RWD 4,Community water system,Surface water purchased,Anderson,WESTPHALIA,1200,21,3,12
KS2000306,ANDERSON CO RWD 5,Community water system,Surface water purchased,Anderson,COLONY,2093,17,13,12
KS2007707,"ANTHONY, CITY OF",Community water system,Ground water,Harper,ANTHONY,2132,19,6,15
KS2003711,"ARCADIA, CITY OF",Community water system,Surface water purchased,Crawford,ARCADIA,309,9,6,13
KS2019116,"ARGONIA, CITY OF",Community water system,Ground water,Sumner,ARGONIA,483,12,116,17
KS2003509,"ARKANSAS CITY, CITY OF",Community water system,Ground water,Cowley,ARKANSAS CITY,11866,28,6,23
KS2015511,"ARLINGTON, CITY OF",Community water system,Ground water,Reno,ARLINGTON,453,11,34,21
KS2003713,"ARMA, CITY OF",Community water system,Surface water purchased,Crawford,ARMA,1439,10,14,14
KS2013506,ARNOLD WATERWORKS INC,Community water system,Ground water,Ness,ARNOLD,40,6,22,10
KS2002502,"ASHLAND, CITY OF",Community water system,Ground water,Clark,ASHLAND,779,15,5,12
KS2016902,"ASSARIA, CITY OF",Community water system,Ground water,Saline,ASSARIA,408,10,3,14
KS2000503,ATCHISON CO RWD 1,Community water system,Surface water purchased,Atchison,ATCHISON,490,6,27,10
KS2000504,ATCHISON CO RWD 3,Community water system,Surface water purchased,Atchison,ATCHISON,110,5,41,9
KS2000511,ATCHISON CO RWD 5C,Community water system,Surface water purchased,Atchison,LANCASTER,3645,23,14,14
KS2000510,ATCHISON CO RWD 6,Community water system,Surface water purchased,Atchison,ATCHISON,670,6,46,10
KS2000506,"ATCHISON, CITY OF",Community water system,Surface water,Atchison,ATCHISON,10636,10,52,17
KS2003502,"ATLANTA, CITY OF",Community water system,Surface water purchased,Cowley,ATLANTA,183,7,22,19
KS2007703,"ATTICA, CITY OF",Community water system,Ground water,Harper,ATTICA,570,15,17,17
KS2015301,"ATWOOD, CITY OF",Community water system,Ground water,Rawlins,ATWOOD,1194,24,32,16
KS2001503,"AUGUSTA, CITY OF",Community water system,Surface water,Butler,AUGUSTA,9389,19,40,25
KS2002906,"AURORA, CITY OF",Community water system,Ground water,Cloud,AURORA,57,8,17,14
