PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
LA1117023,29 PALMS TRAILER PARK,Community water system,Ground water,Washington Parish,-,25,4,79,9
LA1105069,4 OAKS MHP,Community water system,Ground water,Tangipahoa Parish,-,168,4,22,8
LA1103002,ABITA SPRINGS WATER SYSTEM,Community water system,Ground water,St. Tammany Parish,-,3000,11,11,12
LA1069015,AJAX BEULAH WATER SYSTEM,Community water system,Ground water,Natchitoches Parish,-,453,6,23,4
LA1013001,ALABAMA WATER SYSTEM,Community water system,Ground water,Bienville Parish,-,825,13,12,9
LA1013002,ALBERTA WATER SYSTEM,Community water system,Ground water,Bienville Parish,-,1860,11,54,14
LA1103196,ALEXANDER MILNE HOME FOR WOMEN,Community water system,Ground water,St. Tammany Parish,-,42,5,1,2
LA1003001,ALLEN PARISH WW DISTRICT NO 1,Community water system,Ground water,Allen Parish,-,1314,7,13,7
LA1077048,ALMA PLANTATION LTD,Community water system,Ground water,Pointe Coupee Parish,-,129,8,13,21
LA1055060,ANGELLES TRAILER PARK WATER SYSTEM,Community water system,Ground water,Lafayette Parish,-,150,10,7,26
LA1117008,ANGIE WATER SUPPLY,Community water system,Ground water,Washington Parish,-,400,7,2,10
LA1047011,ANNADALE PLANTATION WATER SUPPLY,Community water system,Ground water,Iberville Parish,-,36,9,37,39
LA1001011,ARC OF ACADIANA,Community water system,Ground water,Acadia Parish,-,154,6,18,23
LA1013003,ARCADIA WATER SYSTEM,Community water system,Ground water,Bienville Parish,-,3508,16,13,16
LA1083012,ARCHIBALD WATER SYSTEM,Community water system,Ground water,Richland Parish,-,3600,14,15,30
LA1005045,ASCENSION CONSOLIDATED UTILITY DIST 1,Community water system,Surface water purchased,Ascension Parish,-,1869,9,52,9
LA1005001,ASCENSION PARISH WATER WORKS DISTRICT 2,Community water system,Ground water purchased,Ascension Parish,-,1206,4,21,7
LA1007001,ASSUMPTION PARISH WW DISTRICT 1,Community water system,Surface water,Assumption Parish,-,22862,20,30,44
LA1027001,ATHENS WATER SYSTEM,Community water system,Ground water,Claiborne Parish,-,247,9,15,9
LA1127001,ATLANTA WATER SUPPLY,Community water system,Ground water,Winn Parish,-,900,6,47,17
LA1033133,AUDUBON PARK APARTMENTS WATER SYSTEM,Community water system,Ground water,East Baton Rouge Parish,-,534,6,2,2
LA1017002,AUTUMN ACRES MHP WATER SYSTEM,Community water system,Ground water,Caddo Parish,-,90,6,25,9
LA1009002,AVOYELLES PARISH WATERWORKS DISTRICT 1,Community water system,Ground water,Avoyelles Parish,-,3900,24,3,16
LA1009017,AVOYELLES WARD 3 WATERWORKS DISTRICT,Community water system,Ground water purchased,Avoyelles Parish,-,2433,18,2,6
LA1009016,AVOYELLES WARD ONE WATER SYSTEM  INC,Community water system,Ground water,Avoyelles Parish,-,3450,12,7,12
LA1009021,AVOYELLES WATER COMMISSION,Community water system,Ground water,Avoyelles Parish,-,0,17,4,18
LA1103004,AZALEA LANE TRAILER PARK,Community water system,Ground water,St. Tammany Parish,-,84,4,20,10
LA1127022,BACKWOOD VILLAGE WATER SYSTEM,Community water system,Ground water,Winn Parish,-,783,6,32,15
LA1015022,BARKSDALE AFB WATER SYSTEM,Community water system,Surface water purchased,Bossier Parish,-,13000,14,20,10
LA1017072,BARRON RIDGE SUBDIVISION WATER SYSTEM,Community water system,Ground water,Caddo Parish,-,135,7,0,8
LA1067003,BASTROP WATER SYSTEM,Community water system,Ground water,Morehouse Parish,-,17058,20,6,27
LA1033005,BATON ROUGE WATER COMPANY,Community water system,Ground water,East Baton Rouge Parish,-,527067,206,4,73
LA1067002,BAYOU BONNE IDEE WS,Community water system,Ground water,Morehouse Parish,-,1701,13,12,26
LA1039016,BAYOU DES CANNES WATER SYSTEM,Community water system,Ground water,Evangeline Parish,-,4200,13,7,15
LA1103005,BAYOU LIBERTY WATER ASSOCIATION,Community water system,Ground water,St. Tammany Parish,-,10500,13,13,11
LA1065005,BAYOU MACON WATER SYSTEM,Community water system,Ground water purchased,Madison Parish,-,1041,4,39,9
LA1081008,BAYOU PIERRE WATER SYSTEM,Community water system,Ground water,Red River Parish,-,1371,12,13,7
LA1099002,BAYOU TECHE WATER WORKS,Community water system,Ground water,St. Martin Parish,-,9669,16,15,75
LA1105045,BAYWOOD ESTATES SUBD,Community water system,Ground water purchased,Tangipahoa Parish,-,57,7,6,8
