"PWS ID","PWS Name","PWS Type","Primary Source","Counties Served","Cities Served","PopulationServed Count","Number of Facilities","Number of Violations","Number of Site Visits"
"MA1053033","122 MAIN STREET","Community water system","Ground water","Franklin","CHARLEMONT","30","3","2","3"
"MA3301027","400 DUNSTABLE ROAD (PINE KNOLL)","Community water system","Ground water","Middlesex","TYNGSBOROUGH","30","9","365","10"
"MA4001000","ABINGTON/ROCKLAND JOINT WTR. WORKS","Community water system","Surface water","Plymouth","ABINGTON","33,670","25","13","12"
"MA2002000","ACTON WATER SUPPLY DISTRICT","Community water system","Groundwater under influence of surface water","Middlesex","ACTON","20,890","69","70","9"
"MA4003004","ACUSHNET MANUFACTURED HOMES","Community water system","Ground water","Bristol","ACUSHNET","75","3","36","10"
"MA4003000","ACUSHNET WATER DEPARTMENT","Community water system","Surface water purchased","Bristol","ACUSHNET","7,884","1","10","12"
"MA1004000","ADAMS FIRE DISTRICT","Community water system","Surface water","Berkshire","ADAMS","8,209","21","6","12"
"MA4239060","AGAWAM SPRINGS WATER COMPANY","Community water system","Ground water","Plymouth","PLYMOUTH","250","4","0","2"
"MA1005000","AGAWAM WATER DEPARTMENT","Community water system","Surface water purchased","Hampden","AGAWAM","28,718","3","6","11"
"MA3007000","AMESBURY DPW  WATER DIV.","Community water system","Surface water","Essex","AMESBURY","16,283","16","26","14"
"MA1008000","AMHERST DPW  WATER DIVISION","Community water system","Surface water","Hampshire","AMHERST","37,819","26","10","14"
"MA3009000","ANDOVER WATER DEPT","Community water system","Surface water","Essex","ANDOVER","33,201","15","1","10"
"MA3038020","ANDREWS FARM WATER CO.,INC.","Community water system","Ground water","Essex","BOXFORD","145","2","29","8"
"MA2037013","APPLEWOOD COMMUNITY CORPORATION","Community water system","Ground water","Middlesex","BOXBOROUGH","500","12","58","13"
"MA2186000","AQUARION WATER COMPANY MILLBURY","Community water system","Surface water purchased","Worcester","MILLBURY","8,677","16","25","11"
"MA2226000","AQUARION WATER COMPANY OXFORD","Community water system","Ground water","Worcester","OXFORD","6,130","15","4","10"
"MA2286026","ARBOR GLEN CONDOMINIUMS","Community water system","Ground water","Middlesex","STOW","132","8","7","4"
"MA3010000","ARLINGTON WATER DEPT. (MWRA)","Community water system","Surface water purchased","Middlesex","ARLINGTON","42,844","1","5","13"
"MA2011004","ASH/WIN JOINT WATER AUTHORITY","Community water system","Surface water","Worcester","ASHBURNHAM","9,221","6","0","6"
"MA2011000","ASHBURNHAM WATER DEPARTMENT","Community water system","Surface water","Worcester","ASHBURNHAM","3,680","9","96","16"
"MA1013000","ASHFIELD WATER DISTRICT","Community water system","Ground water","Franklin","ASHFIELD","400","5","14","12"
"MA3014000","ASHLAND WATER AND SEWER DEPT.","Community water system","Ground water","Middlesex","ASHLAND","16,593","19","17","16"
"MA1132008","ASHMERE WATER SERVICE","Community water system","Ground water","Berkshire","HINSDALE","66","5","68","10"
"MA1015000","ATHOL DPW  WATER DIVISION","Community water system","Ground water","Worcester","ATHOL","10,143","25","5","8"
"MA4016000","ATTLEBORO WATER DEPT","Community water system","Surface water","Bristol","ATTLEBORO","43,593","31","14","10"
"MA2017000","AUBURN WATER DISTRICT","Community water system","Surface water purchased","Worcester","AUBURN","11,763","45","244","10"
"MA2019000","AYER DPW  WATER DIVISION","Community water system","Ground water","Middlesex","AYER","7,427","26","25","12"
"MA2125021","AYER ROAD PROPERTIES LLC","Community water system","Ground water","Worcester","HARVARD","150","15","0","2"
"MA1111000","BACHELOR KNOLLS","Community water system","Ground water","Hampshire","GRANBY","101","6","25","8"
"MA1113017","BARD COLLEGE AT SIMONS ROCK","Community water system","Ground water","Berkshire","GREAT BARRINGTON","500","7","10","8"
"MA4036015","BARNSTABLE COUNTY JAIL","Community water system","Ground water purchased","Barnstable","BOURNE","600","3","8","4"
"MA4020000","BARNSTABLE FIRE DISTRICT","Community water system","Ground water","Barnstable","BARNSTABLE","4,986","15","16","12"
"MA2021001","BARRE MHP/WATERWHEEL VILLAGE","Community water system","Ground water","Worcester","BARRE","114","8","34","11"
"MA2021000","BARRE WATER DEPARTMENT","Community water system","Ground water","Worcester","BARRE","4,000","17","72","13"
"MA1121011","BEAVER POND MEADOWS","Community water system","Ground water","Berkshire","HANCOCK","160","5","7","12"
"MA3023000","BEDFORD WATER DEPT.","Community water system","Surface water purchased","Middlesex","BEDFORD","14,230","32","69","13"
"MA4172035","BEECHWOOD POINT CONDOS","Community water system","Ground water","Barnstable","MASHPEE","104","6","20","10"
"MA1024000","BELCHERTOWN WATER DISTRICT","Community water system","Ground water","Hampshire","BELCHERTOWN","3,097","13","10","11"
"MA2025000","BELLINGHAM DPW  WATER  SEWER DIV.","Community water system","Ground water","Norfolk","BELLINGHAM","14,815","53","29","11"
"MA3026000","BELMONT WATER DEPT. (MWRA)","Community water system","Surface water purchased","Middlesex","BELMONT","24,254","1","5","13"
