PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
MD0120010,A.P.G. - EDGEWOOD AREA,Community water system,Surface water,Harford,-,6200,25,15,25
MD0140011,ANGELICA NURSERIES - NURSERY VIEW,Community water system,Ground water,Kent,-,38,4,4,6
MD0300003,APOSTOLIC TOWERS,Community water system,Surface water purchased,Baltimore city,-,200,5,19,2
MD0080002,AVON CREST,Community water system,Ground water,Charles,-,79,5,3,12
MD0040209,B&L MOBILE HOME PARK,Community water system,Ground water,Calvert,-,65,6,25,16
MD0110204,BACKBONE MOUNTAIN BOYS CAMP,Community water system,Ground water,Garrett,-,60,5,1,9
MD0080003,BANKS ODEE,Community water system,Ground water,Charles,-,65,4,24,12
MD0060019,BARK HILL,Community water system,Ground water,Carroll,-,163,5,6,15
MD0010001,BARRELVILLE,Community water system,Ground water,Allegany,-,130,5,87,21
MD0070207,BAY COUNTRY ESTATES MOBILE HOME PARK,Community water system,Ground water,Cecil,-,276,10,27,23
MD0090219,BAY COUNTRY MOBILE HOME PARK,Community water system,Ground water,Dorchester,-,300,7,3,18
MD1231051,BAYSIDE VILLAGE,Community water system,Ground water,Worcester,-,50,5,1,10
MD0170007,BAYSIDE-QUEENSLANDING,Community water system,Ground water,Queen Anne's,STEVENSVILLE,1030,7,2,7
MD0170013,BAYVIEW AT KENT NARROWS,Community water system,Ground water,Queen Anne's,-,75,4,10,16
MD0230023,BB APARTMENTS (PREV WOC VILLAGE APTS),Community water system,Ground water,Worcester,-,40,4,71,13
MD1170001,BEACH HARBOR,Community water system,Ground water,Queen Anne's,-,481,7,9,15
MD0040009,BEACHES WATER CO-OPERATIVE,Community water system,Ground water,Calvert,-,1800,17,22,32
MD0080004,BEANTOWN PARK- WOODLEY ROAD,Community water system,Ground water,Charles,-,127,5,4,14
MD0090222,BEAVER RUN MOBILE HOME PARK,Community water system,Ground water,Dorchester,-,275,13,90,18
MD0010003,BEL AIR - PINTO DISTRIBUTION SYSTEM,Community water system,Surface water purchased,Allegany,-,2614,10,5,10
MD0080005,BEL ALTON,Community water system,Ground water,Charles,-,311,9,4,13
MD0080006,BELLEWOOD WATER ASSOCIATION,Community water system,Ground water,Charles,-,128,6,6,16
MD0080062,BENEDICT,Community water system,Ground water,Charles,-,376,6,3,13
MD0050201,BENEDICTINE SCHOOL,Community water system,Ground water,Caroline,-,300,13,13,14
MD0070209,BENJAMINS VILLAGE/HOMESTEAD M.H.P.,Community water system,Ground water,Cecil,-,400,16,26,35
MD0220222,BENNETT MOBILE HOME PARK,Community water system,Ground water,Wicomico,-,60,7,9,18
MD0180015,BIRCH MANOR,Community water system,Ground water,St. Mary's,-,272,5,0,17
MD0110002,BLOOMINGTON,Community water system,Surface water,Garrett,-,350,5,6,20
MD0220218,BOH-NAK MOBILE HOME PARK,Community water system,Ground water,Wicomico,-,85,7,103,28
MD0090001,BONNIE BROOK,Community water system,Ground water,Dorchester,-,390,5,12,14
MD0020231,BOONES MOBILE ESTATES,Community water system,Ground water,Anne Arundel,-,650,11,4,13
MD0210002,BOONSBORO - KEEDYSVILLE,Community water system,Groundwater under influence of surface water,Washington,-,4250,16,71,36
MD0100032,BRADFORD ESTATES,Community water system,Ground water,Frederick,-,178,6,1,16
MD0180001,BRETON BAY,Community water system,Ground water,St. Mary's,-,1012,9,1,18
MD0230015,BRIDDLETOWN DISTRIBUTION SYSTEM,Community water system,Ground water purchased,Worcester,-,150,7,1,13
MD0170017,BRIDGE POINTE-KENT ISLAND VILLAGE,Community water system,Ground water,Queen Anne's,STEVENSVILLE,600,5,4,8
MD0100004,BRIERCREST APARTMENTS,Community water system,Ground water,Frederick,-,45,6,8,15
MD0060201,BRINTON WOODS NURSING AND REHAB CENTER,Community water system,Ground water,Carroll,-,56,5,28,14
MD0020004,BROAD CREEK,Community water system,Ground water,Anne Arundel,-,23179,9,4,11
MD0210004,BROOK LANE HEALTH SERVICES,Community water system,Ground water,Washington,-,175,7,6,16
MD0010038,BROPHYTOWN DISTRIBUTION SYSTEM,Community water system,Surface water purchased,Allegany,-,47,4,2,9
MD0080033,BRYANS ROAD,Community water system,Ground water,Charles,-,5428,15,5,16
MD0040024,CALVERT BEACH - DECATUR STREET,Community water system,Ground water,Calvert,-,350,5,15,12
MD0040020,CALVERT BEACH / FOREST TRAIL,Community water system,Ground water,Calvert,-,100,4,19,16
MD0160004,CALVERT MANOR,Community water system,Ground water,Prince George's,-,300,6,17,12
