"PWS ID","PWS Name","PWS Type","Primary Source","Counties Served","Cities Served","PopulationServed Count","Number of Facilities","Number of Violations","Number of Site Visits"
"ME0092373","A PLACE FOR ALL SEASONS","Community water system","Ground water","Aroostook","CARIBOU","90","6","9","18"
"ME0090010","ADDISON POINT WATER DISTRICT","Community water system","Ground water","Washington","ADDISON","163","16","26","84"
"ME0090020","ALFRED WATER DISTRICT","Community water system","Ground water","York","ALFRED","723","9","30","33"
"ME0090030","ALLEN WATER COMPANY","Community water system","Ground water","Washington","COLUMBIA","68","4","63","30"
"ME0090050","ANDOVER WATER DISTRICT","Community water system","Ground water","Oxford","ANDOVER","308","6","44","75"
"ME0090930","ANSON AND MADISON WATER DISTRICT","Community water system","Surface water","Somerset","MADISON","4,375","9","37","32"
"ME0092367","APPLEWOOD","Community water system","Ground water","York","WATERBORO","32","5","0","5"
"ME0090060","ASHLAND WATER & SEWER DISTRICT","Community water system","Ground water","Aroostook","ASHLAND","808","7","23","71"
"ME0090070","AUBURN WATER DISTRICT","Community water system","Surface water","Androscoggin","AUBURN","16,765","14","11","107"
"ME0095635","AVERILLS MOBILE HOME PARK","Community water system","Ground water","Kennebec","BENTON","78","6","12","19"
"ME0090100","BAILEYVILLE UTILITIES DISTRICT","Community water system","Ground water","Washington","BAILEYVILLE","1,625","6","9","27"
"ME0090110","BANGOR WATER DISTRICT","Community water system","Surface water","Penobscot","BANGOR, CLIFTON, EDDINGTON, HAMPDEN, HERMON, ORRINGTON, VEAZIE","26,868","19","2","134"
"ME0090130","BATH WATER DISTRICT","Community water system","Surface water","Sagadahoc","BATH, BRUNSWICK, WEST BATH, WISCASSET, WOOLWICH","9,598","10","9","43"
"ME0002175","BAY BRIDGE ESTATES LLC","Community water system","Ground water","Cumberland","BRUNSWICK","1,233","17","5","102"
"ME0009244","BEGIN TRAILER PARK","Community water system","Ground water","Androscoggin","SABATTUS","170","15","17","44"
"ME0092433","BELFAST COHOUSING & ECOVILLAGE CONDOS","Community water system","Ground water","Waldo","BELFAST","90","3","4","4"
"ME0090140","BELFAST WATER DISTRICT","Community water system","Ground water","Waldo","BELFAST, NORTHPORT","5,005","11","9","41"
"ME0090145","BENJAMIN RIVER APTS","Community water system","Ground water","Hancock","SEDGWICK","31","6","30","12"
"ME0090150","BERWICK WATER DEPARTMENT","Community water system","Surface water","York","BERWICK","2,393","6","48","101"
"ME0090160","BETHEL WATER DISTRICT","Community water system","Ground water","Oxford","BETHEL","1,640","14","0","67"
"ME0090180","BINGHAM WATER DISTRICT","Community water system","Ground water","Somerset","BINGHAM, MOSCOW","1,075","5","31","36"
"ME0007233","BIRCH HAVEN TRAILER PARK","Community water system","Ground water","Hancock","HANCOCK","38","5","42","34"
"ME0095663","BIRCH TREE MEADOWS MHP","Community water system","Ground water","Hancock","HANCOCK","105","6","171","22"
"ME0095550","BIRCHWOOD TRAILER PARK","Community water system","Ground water","Waldo","BELMONT","90","9","7","17"
"ME0092110","BLUE HILL TERRACE","Community water system","Ground water","Hancock","BLUE HILL","32","6","17","13"
"ME0095658","BLUEBERRY VISTA LLC","Community water system","Ground water","York","WELLS","138","8","17","23"
"ME0090200","BOOTHBAY REGION WATER DISTRICT","Community water system","Surface water","Lincoln","BOOTHBAY","9,068","12","7","36"
"ME0095575","BOUDREAU TRAILER PARK","Community water system","Ground water","Washington","PRINCETON","50","9","131","48"
"ME0090205","BOULIER PLACE APTS","Community water system","Ground water","Penobscot","HERMON","60","15","10","15"
"ME0090210","BOWDOINHAM WATER DISTRICT","Community water system","Ground water","Sagadahoc","BOWDOINHAM","705","11","1","52"
"ME0090220","BREWER WATER DEPARTMENT","Community water system","Surface water","Penobscot","BREWER, CLIFTON, EDDINGTON, HOLDEN, ORRINGTON","8,910","11","6","82"
"ME0090230","BRIDGTON WATER DISTRICT","Community water system","Ground water","Cumberland","BRIDGTON","2,053","12","11","27"
"ME0095719","BROCKS MOBILE HOME PARK","Community water system","Ground water","Kennebec","VASSALBORO","30","3","29","12"
"ME0092365","BROOK HOLLOW","Community water system","Ground water","Cumberland","NAPLES","30","9","6","8"
"ME0005826","BROOKSIDE MHP","Community water system","Ground water","Kennebec","PITTSTON","40","6","4","17"
"ME0095595","BROOKSIDE MOBILE HOME COURT","Community water system","Ground water","Lincoln","WALDOBORO","58","6","49","17"
"ME0090240","BROWNVILLE JCT WATER DEPT","Community water system","Ground water","Piscataquis","BROWNVILLE","753","7","2","37"
"ME0090250","BROWNVILLE WATER DEPARTMENT","Community water system","Ground water","Piscataquis","BROWNVILLE","255","8","1","35"
"ME0090260","BRUNSWICK / TOPSHAM WATER DIST","Community water system","Ground water","Cumberland","BRUNSWICK, TOPSHAM","17,295","17","27","38"
"ME0090270","BUCKFIELD VILLAGE CORPORATION","Community water system","Surface water","Oxford","BUCKFIELD","425","5","45","31"
"ME0090290","CALAIS WATER DEPT","Community water system","Ground water","Washington","CALAIS","2,570","11","7","88"
"ME0095630","CANTON POINT PARK","Community water system","Ground water","Oxford","CANTON","73","9","26","29"
"ME0090310","CANTON WATER DISTRICT","Community water system","Surface water","Oxford","CANTON","280","7","43","29"
"ME0002439","CARIBOU STREAM MOBILE HOME PK","Community water system","Ground water","Aroostook","CARIBOU","95","6","87","57"
