"PWS ID","PWS Name","PWS Type","Primary Source","Counties Served","Cities Served","PopulationServed Count","Number of Facilities","Number of Violations","Number of Site Visits"
"MI0040520","553 MOBILE ESTATES","Community water system","Ground water","Marquette","-","50","4","14","15"
"MI0000011","ACME TOWNSHIP - HOPE VILLAGE","Community water system","Ground water","Grand Traverse","-","128","5","1","9"
"MI0000012","ADA TOWNSHIP","Community water system","Surface water purchased","Kent","ADA","7,155","4","1","8"
"MI0000020","ADAMS TOWNSHIP","Community water system","Ground water","Houghton","PAINESDALE","2,010","8","0","43"
"MI0000030","ADDISON","Community water system","Ground water","Lenawee","ADDISON","605","6","6","15"
"MI0000040","ADRIAN","Community water system","Surface water","Lenawee","ADRIAN","21,133","16","7","20"
"MI0000050","AHMEEK","Community water system","Ground water purchased","Keweenaw","AHMEEK","148","3","13","21"
"MI0000070","AKRON","Community water system","Ground water","Tuscola","-","402","9","13","13"
"MI0000072","AKRON TOWNSHIP","Community water system","Surface water purchased","Tuscola","-","219","3","0","7"
"MI0000082","ALABASTER TOWNSHIP","Community water system","Surface water purchased","Iosco","-","86","2","1","12"
"MI0060085","ALAMO NURSING HOME","Community water system","Ground water","Kalamazoo","-","100","5","9","8"
"MI0040458","ALAN'S PARK - DURAND","Community water system","Ground water","Shiawassee","-","50","7","12","14"
"MI0040319","ALAN'S PARK - FOWLERVILLE","Community water system","Ground water","Livingston","-","498","5","7","8"
"MI0040129","ALANSON ESTATES MOBILE HOME PARK","Community water system","Ground water","Emmet","-","50","7","61","9"
"MI0000088","ALBEE TOWNSHIP","Community water system","Surface water purchased","Saginaw","-","411","2","0","13"
"MI0000100","ALBION","Community water system","Ground water","Calhoun","ALBION","9,144","16","5","11"
"MI0040216","ALEXANDERS MOBILE VILLAGE","Community water system","Ground water","Isabella","-","50","4","3","9"
"MI0040259","ALGOMA ESTATES","Community water system","Ground water","Kent","-","580","9","9","13"
"MI0000110","ALGONAC, CITY OF","Community water system","Surface water","St. Clair","ALGONAC","4,110","8","33","16"
"MI0000120","ALLEGAN","Community water system","Ground water","Allegan","ALLEGAN","5,930","13","1","18"
"MI0000125","ALLEGAN COUNTY SERVICES CENTER","Community water system","Ground water","Allegan","-","101","7","28","12"
"MI0040002","ALLEGAN MOBILE ESTATES","Community water system","Ground water","Allegan","-","100","4","2","9"
"MI0000130","ALLEN PARK","Community water system","Surface water purchased","Wayne","ALLEN PARK","28,210","3","3","10"
"MI0000127","ALLENDALE TOWNSHIP","Community water system","Surface water purchased","Ottawa","ALLENDALE","19,725","7","0","9"
"MI0000140","ALMA, CITY OF","Community water system","Surface water purchased","Gratiot","ALMA","9,182","12","0","22"
"MI0000150","ALMONT, VILLAGE OF","Community water system","Surface water purchased","Lapeer","ALMONT","2,674","6","6","14"
"MI0000170","ALPENA TOWNSHIP","Community water system","Surface water purchased","Alpena","-","5,197","8","4","13"
"MI0000160","ALPENA, CITY OF","Community water system","Surface water","Alpena","ALPENA","10,483","8","0","20"
"MI0000180","ALPHA","Community water system","Ground water","Iron","ALPHA","198","7","45","43"
"MI0040681","ALTO MEADOWS","Community water system","Ground water","Kent","-","250","4","6","13"
"MI0040246","ANDREWS ESTATES","Community water system","Ground water","Kalamazoo","-","178","5","10","9"
"MI0040003","ANDREWS MOBILE HOME PARK","Community water system","Ground water","Allegan","-","90","4","2","8"
"MI0000210","ANDREWS UNIVERSITY","Community water system","Ground water purchased","Berrien","-","3,000","11","7","10"
"MI0000220","ANN ARBOR","Community water system","Surface water","Washtenaw","ANN ARBOR","118,017","15","42","23"
"MI0000221","ANN ARBOR TOWNSHIP","Community water system","Surface water purchased","Washtenaw","ANN ARBOR","1,338","3","4","9"
"MI0040355","APPLE CARR VILLAGE","Community water system","Ground water","Muskegon","-","1,322","6","5","14"
"MI0040664","APPLE GROVE ESTATES","Community water system","Ground water","Kent","-","125","4","6","16"
"MI0040668","APPLEWOOD","Community water system","Ground water","Van Buren","-","75","6","1","12"
"MI0000236","ARBOR RIDGE CONDOMINIUMS","Community water system","Ground water","Jackson","JACKSON","58","5","12","6"
"MI0004778","ARBOR VIEW CONDO OWNERS ASSOCIATION","Community water system","Ground water","Branch","-","25","4","66","10"
"MI0040223","ARBOR VILLAGE","Community water system","Ground water","Jackson","-","670","5","3","16"
"MI0066355","ARGENTINE CARE CENTER","Community water system","Ground water","Genesee","-","60","6","73","10"
"MI0040356","ARLINGTON WOODS","Community water system","Ground water","Muskegon","-","1,650","15","3","8"
"MI0000240","ARMADA, VILLAGE OF","Community water system","Ground water","Macomb","ARMADA","1,463","11","3","9"
"MI0000245","ASH TOWNSHIP","Community water system","Surface water purchased","Monroe","CARLETON","6,450","3","1","10"
"MI0000250","ASHLEY, VILLAGE OF","Community water system","Ground water","Gratiot","ASHLEY","526","8","11","15"
"MI0000260","ATHENS","Community water system","Ground water","Calhoun","-","1,024","6","7","11"
"MI0000285","AU GRES TOWNSHIP","Community water system","Surface water purchased","Arenac","-","66","2","0","13"
"MI0000280","AU GRES, CITY OF","Community water system","Surface water purchased","Arenac","AU GRES","889","5","1","19"
