PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
MN1860017,12 Hi Mobile Home Park,Community water system,Ground water,Wright,-,300,4,3,18
MN1680011,"AMG, Inc.",Community water system,Ground water,Roseau,-,350,5,1,20
MN1570005,Aaseby Court,Community water system,Ground water,Pennington,-,50,3,27,19
MN1540001,Ada,Community water system,Ground water,Norman,Ada,1709,10,6,19
MN1500001,Adams,Community water system,Ground water,Mower,Adams,800,7,0,18
MN1530001,Adrian,Community water system,Ground water,Nobles,Adrian,1211,10,5,20
MN1010001,Aitkin,Community water system,Ground water,Aitkin,Aitkin,2165,5,10,19
MN1290001,Akeley,Community water system,Ground water,Hubbard,Akeley,429,5,1,18
MN1730001,Albany,Community water system,Ground water,Stearns,Albany,2671,13,2,21
MN1240001,Albert Lea,Community water system,Ground water,Freeborn,Albert Lea,18016,9,1,17
MN1750001,Alberta,Community water system,Ground water purchased,Stevens,Alberta,143,5,0,19
MN1240004,Alden,Community water system,Ground water,Freeborn,Alden,661,4,1,22
MN1210001,Alexandria,Community water system,Ground water,Douglas,Alexandria,13340,15,5,19
MN1320001,Alpha,Community water system,Ground water,Jackson,Alpha,112,5,1,20
MN1850018,Altura,Community water system,Ground water,Winona,Altura,493,5,0,17
MN1450001,Alvarado,Community water system,Ground water purchased,Marshall,Alvarado,363,2,1,19
MN1070001,Amboy,Community water system,Ground water,Blue Earth,Amboy,534,4,7,20
MN1390002,Anchor Bay Park,Community water system,Ground water,Lake of the Woods,-,100,5,12,19
MN1020034,Andover,Community water system,Ground water,Anoka,Andover,19918,16,4,17
MN1860002,Annandale,Community water system,Ground water,Wright,Annandale,3334,6,2,19
MN1020001,Anoka,Community water system,Ground water,Anoka,Anoka,17995,14,5,19
MN1190001,Apple Valley,Community water system,Ground water,Dakota,Apple Valley,50300,24,0,20
MN1760001,Appleton,Community water system,Ground water,Swift,Appleton,1412,4,17,14
MN1410006,Arco,Community water system,Ground water purchased,Lincoln,Arco,74,2,0,17
MN1620001,Arden Hills,Community water system,Surface water purchased,Ramsey,Arden Hills,9780,2,13,19
MN1450002,Argyle,Community water system,Ground water,Marshall,Argyle,642,5,2,18
MN1720001,Arlington,Community water system,Ground water,Sibley,Arlington,2230,5,5,18
MN1260001,Ashby,Community water system,Ground water,Grant,Ashby,446,4,8,19
MN1580001,Askov,Community water system,Ground water,Pine,Askov,364,4,3,17
MN1340001,Atwater,Community water system,Ground water,Kandiyohi,Atwater,1133,5,4,20
MN1030001,Audubon,Community water system,Ground water,Becker,Audubon,519,8,1,16
MN1690002,Aurora,Community water system,Surface water,St. Louis,Aurora,1764,3,1,19
MN1500003,Austin Mobile Home Park,Community water system,Ground water,Mower,-,59,3,25,15
MN1500002,Austin Utilities,Community water system,Ground water,Mower,Austin,24854,20,0,18
MN1510001,Avoca,Community water system,Ground water,Murray,Avoca,142,6,3,19
MN1730002,Avon,Community water system,Ground water,Stearns,Avon,1454,7,1,17
MN1690003,Babbitt,Community water system,Ground water,St. Louis,Babbitt,1200,6,0,19
MN1110002,Backus,Community water system,Ground water,Cass,Backus,250,5,0,20
MN1680001,Badger,Community water system,Ground water,Roseau,Badger,369,4,8,20
MN1150001,Bagley,Community water system,Ground water,Clearwater,Bagley,1422,6,9,20
MN1420001,Balaton,Community water system,Ground water,Lyon,Balaton,639,7,2,19
MN1020014,Baldwin Lake Estates,Community water system,Ground water,Anoka,-,260,5,2,19
MN1020040,Bar None Ranch,Community water system,Ground water,Anoka,-,60,3,4,10
MN1140001,Barnesville,Community water system,Ground water,Clay,Barnesville,2635,7,6,19
MN1090001,Barnum,Community water system,Ground water,Carlton,Barnum,617,5,7,19
MN1260002,Barrett,Community water system,Ground water,Grant,Barrett,415,4,2,18
MN1570004,Basswood Mobile Home Park,Community water system,Ground water,Pennington,-,30,4,17,21
MN1560001,Battle Lake,Community water system,Ground water,Otter Tail,Battle Lake,903,9,3,19
MN1560004,Battle Lake Mobile Home Park,Community water system,Ground water,Otter Tail,-,31,5,10,17
MN1390001,Baudette,Community water system,Ground water,Lake of the Woods,Baudette,1075,4,5,18
MN1180027,Baxter,Community water system,Ground water,Crow Wing,Baxter,7642,12,2,15
MN1820036,Bay Lake Reserve Development,Community water system,Ground water,Washington,-,52,3,0,2
MN1820001,Bayport,Community water system,Ground water,Washington,Bayport,2463,8,4,20
