PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
MO5031436,10 4 WATER SYSTEM,Community water system,Ground water,Morgan,-,150,10,16,6
MO3190771,5 81 MOTEL & CAMPGROUND,Community water system,Ground water,Camden,-,75,6,9,6
MO6048200,A&H COUNTRY ESTATES,Community water system,Ground water,Jefferson,-,80,4,39,11
MO5048082,ACRES OF SHADE MHP,Community water system,Ground water,Greene,STAFFORD,125,5,48,13
MO2024000,ADAIR COUNTY PWSD 1,Community water system,Surface water purchased,Adair,KIRKSVILLE,7500,17,1,24
MO1010001,ADRIAN PWS,Community water system,Surface water,Bates,ADRIAN,1677,11,40,17
MO4010002,ADVANCE PWS,Community water system,Ground water,Stoddard,ADVANCE,1347,8,1,19
MO5172802,AGAPE BOARDING SCHOOL,Community water system,Ground water,Cedar,-,250,5,10,7
MO5031435,AIRPORT HOMEOWNERS ASSN INC,Community water system,Ground water,Barry,-,50,6,1,5
MO5010004,ALBA PWS,Community water system,Ground water,Jasper,ALBA,550,5,15,17
MO1010006,ALBANY PWS,Community water system,Ground water,Gentry,ALBANY,1650,15,6,17
MO6040116,ALLEN ACRES,Community water system,Ground water,Lincoln,-,70,6,6,5
MO1010009,ALMA PWS,Community water system,Surface water purchased,Lafayette,ALMA,500,5,6,9
MO3048125,ALTA VISTA MOBILE VILLA,Community water system,Ground water,Phelps,ROLLA,60,5,2,11
MO1010010,ALTAMONT PWS,Community water system,Ground water purchased,Daviess,ALTAMONT,168,4,17,9
MO4010011,ALTENBURG PWS,Community water system,Ground water,Perry,ALTENBURG,356,7,6,12
MO4010012,ALTON PWS,Community water system,Ground water,Oregon,ALTON,1100,10,10,13
MO1010013,AMAZONIA PWS,Community water system,Ground water purchased,Andrew,AMAZONIA,312,4,8,8
MO1010014,AMORET PWS,Community water system,Surface water purchased,Bates,AMORET,190,8,20,11
MO5010016,ANDERSON PWS,Community water system,Ground water,McDonald,ANDERSON,1961,22,4,17
MO1024004,ANDREW COUNTY PWSD 1,Community water system,Ground water purchased,Andrew,SAVANNAH,5538,16,3,10
MO1024005,ANDREW COUNTY PWSD 2,Community water system,Ground water purchased,Andrew,COSBY,3455,11,2,11
MO1024006,ANDREW COUNTY PWSD 3,Community water system,Ground water purchased,Andrew,FILLMORE,1780,5,24,9
MO1024007,ANDREW COUNTY PWSD 4,Community water system,Ground water purchased,Andrew,-,580,7,13,13
