"PWS ID","PWS Name","PWS Type","Primary Source","Counties Served","Cities Served","PopulationServed Count","Number of Facilities","Number of Violations","Number of Site Visits"
"MS0490001","51-55 WATER ASSOCIATION","Community water system","Ground water purchased","Montgomery","-","486","3","19","19"
"MS0610001","ACL WATER ASSOCIATION #1","Community water system","Ground water","Rankin","-","1,238","8","146","21"
"MS0610041","ACL WATER ASSOCIATION #2","Community water system","Ground water","Rankin","-","1,092","10","175","21"
"MS0260001","ACONA WATER ASSOCIATION #1","Community water system","Ground water","Holmes","-","1,642","9","139","23"
"MS0010009","ADAMS CO W/A #2-SOUTH","Community water system","Ground water","Adams","-","8,451","18","277","22"
"MS0010015","ADAMS CO W/A #4-KAISER LAKE","Community water system","Ground water","Adams","-","8,532","21","192","21"
"MS0530001","ADATON W/A #1-JOSEY CREEK","Community water system","Ground water","Oktibbeha","-","1,850","9","232","21"
"MS0440013","AIRBASE TRAILER PARK","Community water system","Ground water","Lowndes","-","124","19","273","17"
"MS0110013","ALCORN STATE UNIVERSITY","Community water system","Ground water","Claiborne","-","3,824","8","85","20"
"MS0020006","ALCORN W/A #1-INDIAN SPRINGS","Community water system","Ground water","Alcorn","-","6,993","11","132","23"
"MS0020001","ALCORN W/A #2-BIGGERSVILLE","Community water system","Ground water","Alcorn","-","1,666","5","73","22"
"MS0580001","ALGOMA WATER ASSOCIATION","Community water system","Ground water","Pontotoc","-","8,344","14","275","22"
"MS0730001","ALPINE WATER ASSOCIATION","Community water system","Ground water","Union","-","845","6","138","19"
"MS0420045","AMERICAS CATCH THE FARM","Community water system","Ground water","Leflore","-","185","6","91","13"
"MS0360002","ANCHOR WATER ASSOCIATION","Community water system","Ground water","Lafayette","-","2,000","9","194","20"
"MS0240203","APPLE VALLEY TRAILER PARK","Community water system","Ground water","Harrison","-","60","4","71","16"
"MS0690001","ARKABUTLA WATER ASSOCIATION","Community water system","Ground water","Tate","-","440","5","75","21"
"MS0560006","ARLINGTON W/A","Community water system","Ground water","Perry","-","520","4","106","20"
"MS0560014","ARLINGTON W/A-HINTONVILLE","Community water system","Ground water","Perry","-","598","4","85","18"
"MS0370001","ARNOLD LINE WATER ASSOCIATION","Community water system","Ground water","Lamar","-","6,441","13","196","21"
"MS0540001","ASL WATER ASSOCIATION","Community water system","Ground water","Panola","-","813","7","141","17"
"MS0090001","ATLANTA WATER SYSTEM, INC.","Community water system","Ground water","Chickasaw","-","700","10","163","18"
"MS0690009","BACK ACRES","Community water system","Ground water","Tate","-","443","4","74","18"
"MS0180001","BARRONTOWN W/A","Community water system","Ground water","Forrest","-","7,241","19","382","22"
"MS0470106","BCM WATER ASSOCIATION","Community water system","Ground water","Marshall","-","1,415","4","67","13"
"MS0450002","BEAR CREEK W/A -EAST","Community water system","Ground water","Madison","-","13,581","12","91","21"
"MS0450021","BEAR CREEK W/A-WEST","Community water system","Ground water","Madison","-","23,388","18","109","21"
"MS0210001","BEAT III W/A #1-SAND HILL","Community water system","Ground water","Greene","-","3,615","9","70","21"
"MS0210011","BEAT III W/A #3-JONATHAN","Community water system","Ground water","Greene","-","561","6","137","20"
"MS0310004","BEAVER MEADOW WATER ASSN.","Community water system","Ground water","Jasper","-","1,409","9","254","21"
"MS0310003","BEAVERDAM W/A-NORTH","Community water system","Ground water","Jasper","-","1,800","8","141","21"
"MS0170001","BELMONT WATER ASSOCIATION","Community water system","Ground water","DeSoto","-","2,136","8","75","20"
"MS0730024","BETHLEHEM WATER ASSOCIATION","Community water system","Ground water purchased","Union","-","775","3","4","19"
"MS0510001","BEULAH HUBBARD WATER ASSN","Community water system","Ground water","Newton","-","2,206","7","69","23"
"MS0200003","BEXLEY WATER ASSOCIATION","Community water system","Ground water","George","-","1,325","9","145","21"
"MS0450004","BIG BLACK W/A-CAMDEN","Community water system","Ground water","Madison","-","1,251","6","156","25"
"MS0450003","BIG BLACK WATER ASSOCIATION","Community water system","Ground water","Madison","-","1,230","6","148","25"
"MS0070002","BIG CREEK WATER ASSOCIATION","Community water system","Ground water","Calhoun","-","990","7","145","21"
"MS0600002","BIG FIELD WATER ASSOCIATION","Community water system","Ground water","Quitman","-","422","6","102","19"
"MS0590002","BIG V WATER ASSOCIATION","Community water system","Ground water","Prentiss","-","3,678","12","153","20"
"MS0670001","BIG YEAGER WATER ASSOCIATION","Community water system","Ground water","Sunflower","-","270","4","58","20"
"MS0370018","BILLS TRAILER PARK","Community water system","Ground water","Lamar","-","22","3","95","13"
"MS0810015","BILLYS CREEK RURAL W/A","Community water system","Ground water","Yalobusha","-","1,482","8","142","20"
"MS0600017","BIRDIE WATER ASSOCIATION","Community water system","Ground water","Quitman","-","216","4","58","17"
"MS0760076","BLACK BAYOU WATER ASSN.","Community water system","Ground water","Washington","-","4,496","21","164","16"
"MS0180021","BLACK CREEK RETREAT","Community water system","Ground water","Forrest","-","100","4","240","12"
"MS0080001","BLACK HAWK WATER ASSN #1","Community water system","Ground water","Carroll","-","325","7","145","21"
"MS0530002","BLACK JACK WATER ASSN #1","Community water system","Ground water","Oktibbeha","-","1,050","8","142","21"
"MS0050016","BLACKJACK DEVELOPMENT ASSN","Community water system","Ground water","Benton","-","562","5","163","17"
"MS0590003","BLACKLAND WATER ASSOCIATION","Community water system","Ground water","Prentiss","-","1,085","7","117","22"
"MS0790001","BLEAKHOUSE WATER ASSOCIATION","Community water system","Ground water purchased","Wilkinson","-","428","2","1","21"
"MS0790036","BLEAKHOUSE WATER ASSOCIATION #2","Community water system","Ground water purchased","Wilkinson","-","158","2","0","8"
"MS0680037","BLUE CANE, COWART & TIPPO W/A.","Community water system","Ground water","Tallahatchie","-","1,140","6","200","15"
"MS0420041","BLUE LAKE WATER ASSN. INC","Community water system","Ground water purchased","Leflore","-","280","3","8","13"
"MS0730002","BLUE SPRINGS W/A","Community water system","Ground water","Union","-","3,000","10","177","19"
"MS0300079","BLUFF CREEK MOBILE HOME PARK","Community water system","Ground water","Jackson","-","88","4","83","19"
"MS0640001","BOGGAN RIDGE W/A","Community water system","Ground water","Simpson","-","1,695","6","146","22"
"MS0640011","BOGGAN RIDGE W/A-PINE GROVE","Community water system","Ground water","Simpson","-","1,302","8","135","23"
"MS0430001","BOGUE CHITTO WATER ASSOCIATION","Community water system","Ground water","Lincoln","-","2,250","11","141","24"
"MS0800001","BOND WATER ASSOCIATION #1","Community water system","Ground water","Winston","-","1,243","9","70","22"
"MS0590004","BOONEVILLE WATER DEPT.","Community water system","Ground water","Prentiss","-","8,743","12","223","22"
"MS0640013","BOSWELL REGIONAL CENTER","Community water system","Ground water","Simpson","-","450","9","35","23"
"MS0060050","BOYLE-SKENE W/A #2","Community water system","Ground water","Bolivar","-","1,030","8","154","15"
"MS0060051","BOYLE-SKENE W/A#3","Community water system","Ground water","Bolivar","-","1,426","6","153","14"
"MS0060047","BOYLE-SKENE WATER ASSN","Community water system","Ground water","Bolivar","-","792","4","81","15"
"MS0060044","BOYLE-SKENE-BENOIT","Community water system","Ground water","Bolivar","-","422","7","32","17"
"MS0530004","BRADLEY WATER ASSOCIATION","Community water system","Ground water","Oktibbeha","-","457","8","94","21"
"MS0680032","BRAZIL-SUMNER WATER ASSN.","Community water system","Ground water purchased","Tallahatchie","-","390","3","8","16"
"MS0410002","BREWER WATER ASSOCIATION","Community water system","Surface water purchased","Lee","-","1,000","3","4","22"
"MS0010005","BROADMOOR UTILITIES, INC","Community water system","Ground water","Adams","-","1,267","9","75","23"
"MS0180014","BROOKLYN WATER ASSOCIATION","Community water system","Ground water","Forrest","-","1,729","8","181","21"
"MS0770001","BUCKATUNNA WATER ASSOCIATION","Community water system","Ground water","Wayne","-","4,363","17","432","22"
