"PWS ID","PWS Name","PWS Type","Primary Source","Counties Served","Cities Served","PopulationServed Count","Number of Facilities","Number of Violations","Number of Site Visits"
"MT0000829","2727 WEST CENTRAL DUPLEXES","Community water system","Ground water","Missoula","MISSOULA","35","3","78","9"
"MT0000003","ABSAROKEE WATER AND SEWER DIST","Community water system","Ground water","Stillwater","ABSAROKEE","1,100","18","133","5"
"MT0000015","ALBERTON  TOWN OF","Community water system","Ground water","Mineral","ALBERTON","495","5","8","6"
"MT0003552","ALDINGER ACRES SUBDIVISION","Community water system","Ground water","Yellowstone","BILLINGS","100","5","84","5"
"MT0000100","ALPINE MOBILE MANOR","Community water system","Ground water","Flathead","KALISPELL","45","3","3","7"
"MT0003229","ALPINE VILLAGE WUA","Community water system","Ground water","Flathead","WHITEFISH","144","4","50","9"
"MT0003710","AMITY SQUARE WATER SYSTEM","Community water system","Ground water","Missoula","MISSOULA","50","5","72","5"
"MT0062254","ANACONDA CCC","Community water system","Surface water","Deer Lodge","ANACONDA","290","6","41","5"
"MT0000016","ANACONDA WATER DEPARTMENT","Community water system","Ground water","Deer Lodge","ANACONDA","6,750","19","47","6"
"MT0004468","ANDESITE RIDGE WATER SYSTEM","Community water system","Ground water purchased","Madison","BIG SKY","450","7","9","2"
"MT0000582","ANGEL ISLAND SUBDIVISION","Community water system","Ground water","Lincoln","TROY","150","8","11","7"
"MT0003203","ANTELOPE COUNTY WATER AND SEWER","Community water system","Surface water purchased","Sheridan","ANTELOPE","59","8","26","6"
"MT0003003","ANTIGONE ACRES HOA","Community water system","Ground water","Ravalli","HAMILTON","85","10","34","8"
"MT0004202","ANTLER RIDGE HOMEOWNERS ASSOCIATION","Community water system","Ground water","Gallatin","BIG SKY","50","6","228","3"
"MT0004144","APPLEGATE VILLAGE","Community water system","Ground water","Lewis and Clark","HELENA","85","5","67","5"
"MT0004950","AQUA MAN LLC","Community water system","Surface water purchased","Yellowstone","BILLINGS","25","2","4","1"
"MT0004507","ARROW CREEK TRAILER COURT","Community water system","Ground water","Yellowstone","BILLINGS","65","9","49","4"
"MT0000458","ASHLAND WATER AND SEWER DIST","Community water system","Ground water","Rosebud","ASHLAND","400","8","25","6"
"MT0004543","ASHLEY HILLS HOA","Community water system","Ground water","Flathead","MARION","63","6","24","2"
"MT0004367","ASPEN KNOLL","Community water system","Ground water","Flathead","KALISPELL","75","5","68","5"
"MT0004802","AVALON SUBDIVISION","Community water system","Ground water","Park","EMIGRANT","135","5","58","3"
"MT0000300","AVISTA UTILITIES NOXON RAPIDS DAM","Community water system","Ground water","Sanders","NOXON","43","5","7","5"
"MT0000413","AYERS HUTTERITE COLONY","Community water system","Ground water","Fergus","GRASS RANGE","46","7","28","9"
"MT0004754","BACK ROADS H2O SERVICE","Community water system","Surface water purchased","Yellowstone","LAUREL","25","2","4","3"
"MT0003196","BAHNY BRAE SUBDIVISION","Community water system","Ground water","Lewis and Clark","EAST HELENA","35","3","11","7"
"MT0000020","BAINVILLE  TOWN OF","Community water system","Surface water purchased","Roosevelt","BAINVILLE","407","8","138","5"
"MT0000374","BAIR CLARK PROPERTIES, LLC","Community water system","Ground water","Missoula","MISSOULA","180","8","243","9"
"MT0000021","BAKER  CITY OF","Community water system","Ground water","Fallon","BAKER","1,948","21","24","4"
"MT0003736","BARNABY LAKE HOA","Community water system","Ground water","Lincoln","EUREKA","75","6","78","5"
"MT0003183","BARNETT WATER USERS  SYSTEM","Community water system","Ground water","Lewis and Clark","HELENA","70","7","99","5"
"MT0000014","BASIN COUNTY WATER AND SEWER DIST","Community water system","Ground water","Jefferson","BASIN","250","8","183","4"
"MT0003323","BAXTER CREEK NO 2 HOA","Community water system","Ground water","Gallatin","BOZEMAN","450","7","43","7"
"MT0000596","BEACON TRAILER COURT  HELENA","Community water system","Ground water","Lewis and Clark","HELENA","55","6","65","7"
"MT0000063","BEARCREEK MUNICIPAL WATER SYS","Community water system","Ground water","Carbon","RED LODGE","200","15","133","5"
"MT0000126","BEARCREEK VILLAGE  BIGFORK","Community water system","Ground water","Flathead","BIGFORK - LAKE CO","100","6","4","6"
"MT0002590","BEAVERHEAD JACKSON WATER AND SEWER DIST","Community water system","Ground water","Beaverhead","JACKSON","48","2","196","4"
"MT0004891","BEE HIVE HOMES MSLA UNAPPROVED","Community water system","Ground water","Missoula","MISSOULA","106","10","230","1"
"MT0000460","BELFRY CARBON CO WATER AND SEWER DIST","Community water system","Ground water","Carbon","BELFRY","205","5","9","6"
"MT0000136","BELGRADE  CITY OF","Community water system","Ground water","Gallatin","BELGRADE","7,000","10","120","5"
"MT0002696","BELGRADE TRAILER COURT","Community water system","Ground water","Gallatin","BELGRADE","50","4","63","9"
"MT0004899","BELGRADE VILLAGE MHP","Community water system","Ground water purchased","Gallatin","BELGRADE","100","2","2","2"
"MT0000138","BELT  TOWN OF","Community water system","Ground water","Cascade","BELT","600","6","34","4"
"MT0004261","BIG BEND RANCH SUBDIVISION","Community water system","Ground water","Cascade","GREAT FALLS","100","6","75","4"
"MT0000060","BIG MOUNTAIN WATER COMPANY","Community water system","Ground water","Flathead","WHITEFISH","2,435","9","142","5"
"MT0000450","BIG PINES TRAILER COURT","Community water system","Ground water","Missoula","MISSOULA","78","8","7","9"
"MT0000150","BIG SANDY  TOWN OF","Community water system","Ground water","Chouteau","BIG SANDY","608","13","23","4"
"MT0001647","BIG SKY COLONY  CUT BANK","Community water system","Ground water","Glacier","CUT BANK","107","7","43","6"
"MT0002385","BIG SKY COUNTY WATER AND SEWER DIST 363","Community water system","Ground water","Madison","BIG SKY","4,132","50","30","7"
