"PWS ID","PWS Name","PWS Type","Primary Source","Counties Served","Cities Served","PopulationServed Count","Number of Facilities","Number of Violations","Number of Site Visits"
"NC0201204","2000 PARK PLACE","Community water system","Ground water","Alamance","BURLINGTON","38","4","15","17"
"NC0347102","401 MOBILE HOME PARK","Community water system","Ground water","Hoke","RAEFORD","90","4","57","44"
"NC0392107","70 EAST MOBILE ACRES","Community water system","Ground water","Wake","GARNER","229","7","29","16"
"NC0392222","A COUNTRY PLACE","Community water system","Ground water","Wake","WAKE FOREST","91","10","8","16"
"NC0363020","ABERDEEN, TOWN OF","Community water system","Ground water","Moore","ABERDEEN","9,935","44","22","133"
"NC0234191","ABINGTON S/D","Community water system","Ground water","Forsyth","KERNERSVILLE","1,506","19","8","54"
"NC1045041","ACONY BELL COMMUNITY","Community water system","Ground water","Henderson","HENDERSONVILLE","25","3","0","4"
"NC0392101","ACRES OF SPACE MHP","Community water system","Ground water","Wake","KNIGHTDALE","332","10","128","24"
"NC0351120","ADAMS MHP","Community water system","Ground water","Johnston","MIDDLESEX","80","6","347","31"
"NC0446010","AHOSKIE, TOWN OF","Community water system","Ground water","Hertford","AHOSKIE","5,479","25","34","62"
"NC0136102","ALAN ACRES","Community water system","Ground water","Gaston","GASTONIA","356","6","39","24"
"NC0351194","ALBANY ACRES S/D","Community water system","Ground water","Johnston","CLAYTON","81","4","1","10"
"NC0184010","ALBEMARLE, CITY OF","Community water system","Surface water","Stanly","ALBEMARLE","17,379","7","22","289"
"NC0102020","ALEXANDER CO WTR DIST","Community water system","Surface water purchased","Alexander","TAYLORSVILLE","12,587","6","4","142"
"NC0392102","ALL STAR MHP","Community water system","Ground water","Wake","RALEIGH","530","14","106","24"
"NC0136103","ALLEN MHP","Community water system","Ground water","Gaston","CHERRYVILLE","64","4","36","29"
"NC0286144","ALLEN WOODS VILLAGE","Community water system","Ground water","Surry","ELKIN","81","6","56","22"
"NC0276207","ALLENDALE HEIGHTS","Community water system","Ground water","Randolph","SOPHIA","78","5","19","36"
"NC0392323","ALTICE ESTATES S/D","Community water system","Ground water","Wake","RALEIGH","320","9","4","17"
"NC0392236","AMBER ACRES","Community water system","Ground water","Wake","KNIGHTDALE","239","7","38","17"
"NC0392346","AMBER ACRES NORTH S/D","Community water system","Ground water","Wake","KNIGHTDALE","752","12","47","22"
"NC4392182","AMBER RIDGE S/D","Community water system","Ground water","Wake","KNIGHTDALE","742","10","43","16"
"NC0392095","AMHERST S/D","Community water system","Ground water","Wake","FUQUAY-VARINA","325","6","22","18"
"NC0136339","AMY ACRES S/D","Community water system","Ground water","Gaston","GASTONIA","483","9","111","33"
"NC0120020","ANDREWS, TOWN OF","Community water system","Surface water","Cherokee","ANDREWS","3,365","9","50","124"
"NC0343015","ANGIER, TOWN OF","Community water system","Surface water purchased","Harnett","ANGIER","7,612","5","11","59"
"NC0304010","ANSON COUNTY WATER SYSTEM","Community water system","Surface water","Anson","LILESVILLE","13,380","9","105","149"
"NC0304012","ANSONVILLE WATER SYSTEM","Community water system","Surface water purchased","Anson","ANSONVILLE","1,262","4","55","53"
"NC0392045","APEX, TOWN OF","Community water system","Surface water purchased","Wake","APEX","50,394","9","25","46"
"NC0195101","APPALACHIAN STATE UNIV WTP","Community water system","Surface water","Watauga","BOONE","11,150","10","63","83"
"NC0234179","APPLEGATE WATER SYSTEM","Community water system","Ground water","Forsyth","KERNERSVILLE","429","13","107","38"
"NC0440025","ARBA WATER CORPORATION","Community water system","Surface water purchased","Greene","SNOW HILL","203","4","5","33"
"NC0368108","ARBOR HILL MHP","Community water system","Ground water","Orange","DURHAM","90","4","161","29"
"NC3041039","ARBOR RUN/CHARLES PLACE S/D","Community water system","Ground water","Guilford","OAK RIDGE","582","10","2","23"
"NC0276030","ARCHDALE, CITY OF","Community water system","Surface water purchased","Randolph","ARCHDALE","12,600","7","33","47"
"NC0136252","ARCHDALE/TRYON MHP","Community water system","Ground water","Gaston","CHERRYVILLE","74","6","58","43"
"NC3041054","ARMFIELD S/D PHASE IA","Community water system","Ground water","Guilford","SUMMERFIELD","132","6","1","19"
"NC3041055","ARMFIELD S/D PHASE IB","Community water system","Ground water","Guilford","SUMMERFIELD","86","7","0","15"
"NC0392374","ARROW SPRINGS","Community water system","Ground water","Wake","RALEIGH","53","4","3","16"
"NC3076008","ASHEBORO COUNTRY CLUB ESTATES","Community water system","Ground water","Randolph","ASHEBORO","26","4","400","7"
"NC0276010","ASHEBORO, CITY OF","Community water system","Surface water","Randolph","ASHEBORO","25,761","15","1","79"
"NC0136104","ASHEBROOK PARK","Community water system","Ground water","Gaston","GASTONIA","239","8","13","25"
"NC4092081","ASHEBROOK S/D","Community water system","Ground water","Wake","-","48","4","0","7"
"NC0276101","ASHEBROOK WOODS","Community water system","Ground water","Randolph","ARCHDALE","96","7","21","30"
"NC0111010","ASHEVILLE CITY OF","Community water system","Surface water","Buncombe","ASHEVILLE","124,300","13","4","303"
"NC0392341","ASHLEY HILLS NORTH S/D","Community water system","Ground water","Wake","KNIGHTDALE","602","10","48","20"
"NC0392318","ASHLEY HILLS S/D","Community water system","Ground water","Wake","KNIGHTDALE","436","15","44","19"
"NC0149191","ASHLEY WOODS S/D","Community water system","Ground water","Iredell","MOORESVILLE","97","4","1","19"
"NC0416035","ATLANTIC BEACH, TOWN OF","Community water system","Ground water","Carteret","ATLANTIC BEACH","6,380","13","9","88"
"NC0416160","ATLANTIC MHP","Community water system","Ground water","Carteret","NEWPORT","113","6","28","29"
"NC0416166","ATLANTIC MHP II","Community water system","Ground water","Carteret","NEWPORT","106","7","23","36"
"NC0416192","ATLANTIC VILLAGE MHP","Community water system","Ground water","Carteret","NEWPORT","175","6","18","30"
"NC0392344","AUBURN ESTATES","Community water system","Ground water","Wake","RALEIGH","98","4","42","15"
"NC4392159","AUBURN HILLS S/D","Community water system","Ground water","Wake","KNIGHTDALE","92","4","26","10"
"NC0241202","AUBURNDALE S/D","Community water system","Ground water","Guilford","SUMMERFIELD","53","4","5","18"
"NC0408015","AULANDER, TOWN OF","Community water system","Ground water","Bertie","AULANDER","1,438","7","8","47"
"NC0319431","AULDERN ACADEMY","Community water system","Ground water","Chatham","SILER CITY","75","4","26","19"
"NC0407020","AURORA WATER SYSTEM","Community water system","Ground water","Beaufort","AURORA","502","7","40","65"
"NC0382045","AUTRYVILLE, TOWN OF","Community water system","Ground water purchased","Sampson","AUTRYVILLE","472","5","4","42"
"NC0136294","AUTUMN ACRES S/D","Community water system","Ground water","Gaston","GASTONIA","84","7","9","27"
"NC0241103","AUTUMN FOREST MHP","Community water system","Ground water","Guilford","BROWN SUMMIT","404","15","65","52"
"NC0111134","AVALON ACRES MHP","Community water system","Ground water","Buncombe","FAIRVIEW","65","5","292","52"
"NC4092107","AVOCET S/D","Community water system","Ground water","Wake","HOLLY SPRINGS","287","12","0","21"
"NC0474025","AYDEN TOWN OF","Community water system","Surface water purchased","Pitt","AYDEN","5,100","12","6","85"
"NC0136286","AZALEA HILLS MHP","Community water system","Ground water","Gaston","GASTONIA","80","4","35","38"
"NC6027009","BACKWOODS-SADDLEBROOK COMM WS","Community water system","Ground water","Currituck","MOYOCK","113","7","6","10"
"NC0362120","BADIN SHORES RESORT","Community water system","Surface water purchased","Montgomery","NEW LONDON","2,743","2","46","37"
"NC0160203","BAHIA BAY S/D","Community water system","Ground water","Mecklenburg","CORNELIUS","350","10","17","31"
"NC4035019","BAILEY FARMS SUBDIVISION","Community water system","Ground water","Franklin","LOUISBURG","25","4","1","3"
"NC0286134","BAILEY MHP  NO 1","Community water system","Ground water","Surry","PILOT MOUNTAIN","94","4","13","30"
"NC0464035","BAILEY, TOWN OF","Community water system","Ground water","Nash","BAILEY","568","9","61","35"
"NC4392192","BAILEY`S LANDING S/D","Community water system","Ground water","Wake","RALEIGH","114","8","0","13"
"NC0161015","BAKERSVILLE, TOWN OF","Community water system","Ground water","Mitchell","BAKERSVILLE","725","11","67","85"
"NC3041034","BALLARD FARMS S/D","Community water system","Ground water","Guilford","OAK RIDGE","125","4","2","10"
"NC0416101","BALLOU MHP","Community water system","Ground water","Carteret","MOREHEAD CITY","95","4","45","28"
"NC0150102","BALLOUGH HILLS","Community water system","Ground water","Jackson","BALSAM","132","6","33","22"
"NC0106015","BANNER ELK, TOWN OF","Community water system","Ground water","Avery","BANNER ELK","1,407","13","57","91"
"NC0286101","BANNERTOWN HILLS S/D","Community water system","Ground water","Surry","MT AIRY","71","7","66","34"
"NC0392211","BARCLAY DOWNS S/D","Community water system","Ground water","Wake","KNIGHTDALE","314","7","2","15"
"NC0180501","BARGER PARK","Community water system","Ground water","Rowan","CHINA GROVE","58","3","18","49"
"NC4092066","BARRINGTON HILLS S/D","Community water system","Ground water","Wake","GARNER","101","7","0","9"
"NC0464101","BASS MH COURT","Community water system","Ground water","Nash","NASHVILLE","97","4","137","21"
"NC0407030","BATH WATER SYSTEM","Community water system","Ground water","Beaufort","BATH","290","7","10","60"
"NC0114025","BATON WATER CORPORATION","Community water system","Surface water purchased","Caldwell","GRANITE FALLS","7,025","6","0","64"
"NC4392109","BAY LAUREL S/D","Community water system","Ground water","Wake","WAKE FOREST","56","4","1","14"
"NC0118118","BAY POINTE S/D","Community water system","Ground water","Catawba","SHERILLS FORD","84","4","6","20"
"NC0136364","BAYBERRY S/D","Community water system","Ground water","Gaston","GASTONIA","66","4","1","23"
"NC0392373","BAYLEAF MASTER","Community water system","Ground water","Wake","RALEIGH","15,565","292","93","112"
"NC0392218","BAYWOOD FOREST S/D","Community water system","Ground water","Wake","KNIGHTDALE","533","10","103","15"
"NC3041086","BEACON HILL S/D","Community water system","Ground water","Guilford","-","91","4","0","8"
"NC0136389","BEACON HILLS SD","Community water system","Ground water","Gaston","GASTONIA","109","4","5","31"
"NC0149186","BEACON POINTE S/D","Community water system","Ground water","Iredell","MOORESVILLE","117","4","41","17"
"NC0156129","BEAR DEN ACRES","Community water system","Ground water","McDowell","SPRUCE PINE","120","6","3","11"
"NC1050057","BEAR LAKE RESERVE 1B","Community water system","Ground water","Jackson","-","94","11","8","15"
"NC1050034","BEAR LAKE RESERVE GOLDEN FARMS","Community water system","Ground water","Jackson","CULLOWHEE","46","4","9","13"
"NC0120103","BEAR PAW RESORT","Community water system","Ground water","Cherokee","MURPHY","840","13","18","27"
"NC0145178","BEAR WALLOW VALLEY MHP","Community water system","Ground water","Henderson","EDNEYVILLE","124","4","12","18"
"NC0276158","BEARD ACRES","Community water system","Surface water purchased","Randolph","SOPHIA","140","2","83","40"
"NC0407035","BEAUFORT CO NORTHSIDE REGIONAL WATER","Community water system","Ground water purchased","Beaufort","WASHINGTON","22,428","18","5","81"
"NC0407040","BEAUFORT CO SOUTHSIDE","Community water system","Ground water","Beaufort","EDWARD","9,203","19","46","86"
"NC0416010","BEAUFORT, TOWN OF","Community water system","Ground water","Carteret","BEAUFORT","4,539","13","10","99"
"NC0195104","BEECH MOUNTAIN, TOWN OF","Community water system","Surface water","Watauga","BEECH MOUNTAIN","2,418","16","29","61"
"NC0136106","BEECHBROOK S/D","Community water system","Ground water","Gaston","MCADENVILLE","97","6","34","29"
"NC0319110","BEECHWOOD COVE/POLKS LANDING","Community water system","Surface water purchased","Chatham","CHAPEL HILL","390","7","61","30"
"NC3079023","BELEWS LANDING S/D","Community water system","Ground water","Rockingham","-","206","6","0","15"
"NC0407015","BELHAVEN WATER SYSTEM","Community water system","Ground water","Beaufort","BELHAVEN","1,960","10","18","90"
"NC0474045","BELL ARTHUR WATER CORP","Community water system","Surface water purchased","Pitt","BELLARTHUR","10,310","20","34","56"
"NC4092128","BELLA VISTA S/D","Community water system","Ground water","Wake","RALEIGH","25","6","0","3"
