"PWS ID","PWS Name","PWS Type","Primary Source","Counties Served","Cities Served","PopulationServed Count","Number of Facilities","Number of Violations","Number of Site Visits"
"ND3900001","ABERCROMBIE CITY OF","Community water system","Ground water","Richland","ABERCROMBIE","263","7","40","16"
"ND1801056","AGASSIZ WATER USERS DISTRICT","Community water system","Ground water","Grand Forks","-","3,438","12","3","17"
"ND2700006","ALEXANDER CITY OF","Community water system","Ground water","McKenzie","ALEXANDER","1,335","9","3","16"
"ND0501057","ALL SEASONS WD-SYSTEM I","Community water system","Ground water","Bottineau","-","890","11","0","20"
"ND0501127","ALL SEASONS WD-SYSTEM III","Community water system","Ground water purchased","Bottineau","-","790","14","3","19"
"ND4001153","ALL SEASONS WD-SYSTEM IV","Community water system","Ground water","Rolette","-","670","11","0","18"
"ND3501476","ALL SEASONS WD-SYSTEM V","Community water system","Ground water purchased","Pierce","-","1,075","3","0","6"
"ND3000012","ALMONT CITY OF","Community water system","Surface water purchased","Morton","ALMONT","122","8","85","15"
"ND0900017","AMENIA CITY OF","Community water system","Ground water purchased","Cass","AMENIA","94","4","5","20"
"ND3200023","ANETA CITY OF","Community water system","Ground water purchased","Nelson","ANETA","222","6","7","19"
"ND0800648","APPLE VALLEY COOP","Community water system","Purchased ground water under influence of surface water source","Burleigh","-","200","9","7","16"
"ND0900030","ARGUSVILLE CITY OF","Community water system","Ground water purchased","Cass","ARGUSVILLE","475","6","3","14"
"ND2701606","ARNEGARD DIAMOND ESTATES","Community water system","Ground water","McKenzie","-","32","11","14","3"
"ND0900035","ARTHUR CITY OF","Community water system","Ground water purchased","Cass","ARTHUR","337","10","4","18"
"ND1800036","ARVILLA WATER USERS ASSOCIATION","Community water system","Ground water purchased","Grand Forks","ARVILLA","180","3","1","17"
"ND2600038","ASHLEY CITY OF","Community water system","Ground water","McIntosh","ASHLEY","749","7","1","17"
"ND2701003","BADLANDS DEVELOPMENT LONG X TC","Community water system","Ground water","McKenzie","-","52","7","19","10"
"ND0201058","BARNES RURAL WATER DISTRICT","Community water system","Ground water","Barnes","VALLEY CITY","4,938","10","0","19"
"ND3900055","BARNEY CITY OF","Community water system","Ground water purchased","Richland","BARNEY","52","3","12","17"
"ND1700059","BEACH CITY OF","Community water system","Surface water purchased","Golden Valley","BEACH","1,019","13","7","18"
"ND4500065","BELFIELD CITY OF","Community water system","Surface water purchased","Stark","BELFIELD","1,013","18","1","17"
"ND2800069","BENEDICT CITY OF","Community water system","Ground water purchased","McLean","BENEDICT","66","7","22","16"
"ND2301216","BERLIN CITY OF","Community water system","Ground water purchased","LaMoure","BERLIN","34","6","5","12"
"ND5100072","BERTHOLD CITY OF","Community water system","Ground water purchased","Ward","BERTHOLD","454","8","28","16"
"ND2900074","BEULAH CITY OF","Community water system","Ground water","Mercer","BEULAH","3,304","16","4","22"
"ND2000077","BINFORD CITY OF","Community water system","Ground water purchased","Griggs","BINFORD","183","6","24","17"
"ND4800078","BISBEE CITY OF","Community water system","Ground water purchased","Towner","BISBEE","126","6","28","18"
"ND0800080","BISMARCK CITY OF","Community water system","Groundwater under influence of surface water","Burleigh","BISMARCK","72,417","8","0","30"
"ND0500099","BOTTINEAU CITY OF","Community water system","Ground water","Bottineau","BOTTINEAU","2,211","18","2","21"
"ND0700114","BOWBELLS CITY OF","Community water system","Ground water purchased","Burke","BOWBELLS","336","17","10","15"
"ND5200118","BOWDON CITY OF","Community water system","Ground water purchased","Wells","BOWDON","131","6","36","21"
"ND0600119","BOWMAN CITY OF","Community water system","Ground water","Bowman","BOWMAN","1,650","19","1","16"
"ND0901184","BROOKTREE WELLS INC","Community water system","Ground water","Cass","-","45","5","13","12"
"ND0900134","BUFFALO CITY OF","Community water system","Ground water purchased","Cass","BUFFALO","188","3","9","18"
"ND5100138","BURLINGTON CITY OF","Community water system","Ground water","Ward","BURLINGTON","1,060","11","19","16"
"ND4800152","CANDO CITY OF","Community water system","Ground water purchased","Towner","CANDO","1,115","10","4","23"
"ND1600159","CARRINGTON CITY OF","Community water system","Ground water","Foster","CARRINGTON","2,065","8","2","17"
"ND1900162","CARSON CITY OF","Community water system","Surface water purchased","Grant","CARSON","293","9","4","22"
"ND0901483","CASS RURAL WATER DISTRICT FARGO","Community water system","Surface water purchased","Cass","-","4,242","3","0","5"
"ND0901060","CASS RURAL WATER DISTRICT-PHASE I","Community water system","Ground water","Cass","-","3,658","13","1","17"
"ND0901124","CASS RURAL WATER DISTRICT-PHASE II","Community water system","Ground water","Cass","-","1,700","13","0","17"
"ND0901131","CASS RURAL WATER DISTRICT-PHASE III","Community water system","Ground water","Cass","-","1,682","8","0","17"
"ND0900166","CASSELTON CITY OF","Community water system","Ground water purchased","Cass","CASSELTON","2,513","4","3","21"
"ND5200169","CATHAY CITY OF","Community water system","Ground water","Wells","CATHAY","43","6","29","21"
"ND3400170","CAVALIER CITY OF","Community water system","Ground water purchased","Pembina","CAVALIER","1,302","4","5","13"
"ND3300174","CENTER NORTH SYSTEM","Community water system","Surface water purchased","Oliver","CENTER","434","9","2","16"
"ND3300175","CENTER SOUTH SYSTEM","Community water system","Surface water purchased","Oliver","CENTER","244","6","1","16"
"ND5201309","CENTRAL PLAINS WATER DISTRICT","Community water system","Ground water","Wells","-","3,504","12","6","20"
"ND3900183","CHRISTINE CITY OF","Community water system","Ground water purchased","Richland","CHRISTINE","156","7","7","14"
"ND4700188","CLEVELAND CITY OF","Community water system","Ground water purchased","Stutsman","CLEVELAND","83","6","9","19"
"ND2800194","COLEHARBOR CITY OF","Community water system","Ground water purchased","McLean","COLEHARBOR","79","3","8","16"
"ND3900196","COLFAX CITY OF","Community water system","Ground water purchased","Richland","COLFAX","121","6","12","17"
"ND0700198","COLUMBUS CITY OF","Community water system","Surface water purchased","Burke","COLUMBUS","133","7","14","13"
"ND2000203","COOPERSTOWN CITY OF","Community water system","Ground water","Griggs","COOPERSTOWN","984","7","3","17"
"ND5100663","COUNTRY ACRES MHP","Community water system","Ground water","Ward","-","34","7","52","13"
"ND0901449","COUNTRY ACRES WATER CO","Community water system","Ground water","Cass","-","50","3","8","7"
"ND0800144","COUNTRY CLUB CO-OP","Community water system","Purchased ground water under influence of surface water source","Burleigh","-","162","7","0","13"
"ND3600208","CRARY CITY OF","Community water system","Ground water purchased","Ramsey","CRARY","142","6","83","17"
"ND1200211","CROSBY CITY OF","Community water system","Surface water purchased","Divide","CROSBY","1,406","11","0","15"
"ND3000597","CROWN BUTTE COOP","Community water system","Surface water purchased","Morton","-","320","12","13","17"
"ND0800096","DAKOTA ADVENTIST ACADEMY","Community water system","Purchased ground water under influence of surface water source","Burleigh","-","80","10","19","18"
"ND2001061","DAKOTA RURAL WATER DISTRICT NORTH","Community water system","Ground water","Griggs","SHARON","1,070","7","0","15"
"ND2001121","DAKOTA RURAL WATER DISTRICT SOUTH","Community water system","Ground water","Griggs","-","1,135","8","1","16"
"ND0900217","DAVENPORT CITY OF","Community water system","Ground water purchased","Cass","DAVENPORT","252","6","8","16"
"ND0200226","DAZEY CITY OF","Community water system","Ground water purchased","Barnes","DAZEY","104","6","20","17"
"ND3600231","DEVILS LAKE CITY OF","Community water system","Ground water","Ramsey","DEVILS LAKE","7,141","13","6","27"
"ND4500242","DICKINSON CITY OF","Community water system","Surface water purchased","Stark","DICKINSON","22,993","8","11","23"
"ND1300259","DODGE CITY OF","Community water system","Surface water purchased","Dunn","DODGE","87","7","9","19"
"ND2500266","DRAKE CITY OF","Community water system","Ground water","McHenry","DRAKE","275","7","1","22"
"ND3400269","DRAYTON CITY OF","Community water system","Surface water","Pembina","DRAYTON","824","6","11","28"
"ND1300276","DUNN CENTER CITY OF","Community water system","Surface water purchased","Dunn","DUNN CENTER","146","9","9","16"
"ND4000277","DUNSEITH CITY OF","Community water system","Ground water","Rolette","DUNSEITH","773","15","9","21"
"ND1801062","EAST CENTRAL REGIONAL WD-GF","Community water system","Ground water","Grand Forks","-","5,995","21","0","17"
"ND4901071","EAST CENTRAL REGIONAL WD-TRAILL","Community water system","Ground water","Traill","HILLSBORO","2,800","36","2","18"
"ND2300291","EDGELEY CITY OF","Community water system","Ground water purchased","LaMoure","EDGELEY","563","7","7","17"
"ND3600298","EDMORE CITY OF","Community water system","Ground water purchased","Ramsey","EDMORE","182","3","1","10"
"ND1900303","ELGIN CITY OF","Community water system","Surface water purchased","Grant","ELGIN","642","11","5","19"
"ND1100306","ELLENDALE CITY OF","Community water system","Ground water purchased","Dickey","ELLENDALE","1,394","7","4","17"
"ND1800311","EMERADO CITY OF","Community water system","Ground water purchased","Grand Forks","EMERADO","414","3","5","18"
"ND3700314","ENDERLIN CITY OF","Community water system","Ground water","Ransom","ENDERLIN","886","11","3","18"
"ND5301763","EPPING MEADOWS","Community water system","Surface water purchased","Williams","-","48","2","0","1"
"ND3900333","FAIRMOUNT CITY OF","Community water system","Ground water","Richland","FAIRMOUNT","367","9","10","20"
"ND2300544","FAIRVIEW COLONY","Community water system","Ground water","LaMoure","-","100","9","25","4"
"ND0900336","FARGO CITY OF","Community water system","Surface water","Cass","FARGO","120,762","8","8","25"
"ND5301764","FENDEE ESTATES","Community water system","Surface water purchased","Williams","-","30","2","0","1"
"ND5200338","FESSENDEN CITY OF","Community water system","Ground water purchased","Wells","FESSENDEN","479","3","2","16"
"ND4600341","FINLEY CITY OF","Community water system","Ground water purchased","Steele","FINLEY","445","5","1","18"
"ND3000342","FLASHER CITY OF","Community water system","Surface water purchased","Morton","FLASHER","232","10","6","19"
"ND0700344","FLAXTON CITY OF","Community water system","Ground water","Burke","FLAXTON","66","6","19","15"
"ND1100346","FORBES CITY OF","Community water system","Surface water purchased","Dickey","FORBES","53","3","44","19"
"ND1801456","FOREST RIVER COLONY","Community water system","Ground water","Grand Forks","-","100","7","23","7"
"ND4100357","FORMAN CITY OF","Community water system","Ground water","Sargent","FORMAN","504","9","3","16"
