PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
NE3120574,133 ESTATES,Community water system,Ground water,Washington,BLAIR,60,4,31,17
NE3120018,1733 ESTATES ASSOCIATES,Community water system,Ground water,Buffalo,KEARNEY,90,7,5,13
NE3102305,"ABIE, VILLAGE OF",Community water system,Ground water,Butler,ABIE,70,5,2,6
NE3106712,"ADAMS, VILLAGE OF",Community water system,Ground water,Gage,ADAMS,572,10,160,20
NE3101702,"AINSWORTH, CITY OF",Community water system,Ground water,Brown,AINSWORTH,1728,10,19,30
NE3101102,"ALBION, CITY OF",Community water system,Ground water,Boone,ALBION,1650,14,16,82
NE3107909,"ALDA, VILLAGE OF",Community water system,Ground water purchased,Hall,ALDA,652,5,35,17
NE3116910,"ALEXANDRIA, VILLAGE OF",Community water system,Ground water,Thayer,ALEXANDRIA,176,9,19,10
NE3105101,"ALLEN, VILLAGE OF",Community water system,Ground water,Dixon,ALLEN,397,5,9,23
NE3101302,"ALLIANCE, CITY OF",Community water system,Ground water,Box Butte,ALLIANCE,8500,37,24,37
NE3108307,"ALMA, CITY OF",Community water system,Ground water,Harlan,ALMA,1133,12,12,34
NE3102508,"ALVO, VILLAGE OF",Community water system,Ground water,Cass,ALVO,140,5,35,11
NE3120041,"AMHERST, VILLAGE OF",Community water system,Ground water,Buffalo,AMHERST,295,4,9,18
NE3104103,"ANSELMO, VILLAGE OF",Community water system,Ground water,Custer,ANSELMO,151,13,25,24
NE3104104,"ANSLEY, VILLAGE OF",Community water system,Ground water,Custer,ANSLEY,450,10,13,10
NE3106506,"ARAPAHOE, CITY OF",Community water system,Ground water,Furnas,ARAPAHOE,1026,17,18,24
NE3117503,"ARCADIA, VILLAGE OF",Community water system,Ground water,Valley,ARCADIA,311,4,12,10
NE3117901,"ARLINGTON, VILLAGE OF",Community water system,Ground water,Washington,ARLINGTON,1243,11,2,14
NE3104102,"ARNOLD, VILLAGE OF",Community water system,Ground water,Custer,ARNOLD,597,6,3,14
NE3115506,"ASHLAND, CITY OF",Community water system,Ground water,Saunders,ASHLAND,2453,14,9,19
NE3116301,"ASHTON, VILLAGE OF",Community water system,Ground water,Sherman,ASHTON,196,6,19,20
NE3108905,"ATKINSON, CITY OF",Community water system,Ground water,Holt,ATKINSON,1258,9,17,41
NE3113706,"ATLANTA, VILLAGE OF",Community water system,Ground water,Phelps,ATLANTA,131,6,7,34
NE3112703,"AUBURN, CITY OF",Community water system,Groundwater under influence of surface water,Nemaha,AUBURN,3460,19,0,23
NE3108101,"AURORA, CITY OF",Community water system,Ground water,Hamilton,AURORA,4479,9,8,16
NE3102507,"AVOCA, VILLAGE OF",Community water system,Ground water purchased,Cass,AVOCA,254,2,9,10
NE3109902,"AXTELL, VILLAGE OF",Community water system,Ground water,Kearney,AXTELL,840,11,34,24
NE3103901,"BANCROFT, VILLAGE OF",Community water system,Ground water,Cuming,BANCROFT,495,8,17,36
NE3120604,"BARNESTON, VILLAGE OF",Community water system,Ground water purchased,Gage,BARNESTON,122,4,10,6
NE3118501,"BARTLETT, VILLAGE OF",Community water system,Ground water,Wheeler,BARTLETT,105,4,9,7
NE3114502,"BARTLEY, VILLAGE OF",Community water system,Ground water purchased,Red Willow,BARTLEY,355,7,9,20
NE3114902,"BASSETT, CITY OF",Community water system,Ground water,Rock,BASSETT,619,9,9,18
NE3111915,"BATTLE CREEK, CITY OF",Community water system,Ground water,Madison,BATTLE CREEK,1207,12,15,21
NE3102309,BAY MEADOWS TRAILER COURT,Community water system,Ground water,Butler,-,55,6,8,5
NE3112302,"BAYARD, CITY OF",Community water system,Ground water,Morrill,BAYARD,1171,12,59,27
NE3106703,BEATRICE STATE DEVELOPMENT CENTER,Community water system,Ground water purchased,Gage,BEATRICE,120,5,6,5
NE3106705,"BEATRICE, CITY OF",Community water system,Ground water,Gage,BEATRICE,12496,31,16,12
NE3106505,"BEAVER CITY, CITY OF",Community water system,Ground water,Furnas,BEAVER CITY,604,11,3,18
NE3115911,"BEAVER CROSSING, VILLAGE OF",Community water system,Ground water,Seward,BEAVER CROSSING,457,11,18,13
NE3102502,BEAVER LAKE ASSOCIATION INC,Community water system,Surface water,Cass,PLATTSMOUTH,2860,16,1,29
NE3115910,"BEE, VILLAGE OF",Community water system,Ground water,Seward,BEE,190,5,45,11
NE3103902,"BEEMER, VILLAGE OF",Community water system,Ground water,Cuming,BEEMER,600,11,10,16
NE3102707,"BELDEN, VILLAGE OF",Community water system,Ground water purchased,Cedar,BELDEN,130,5,78,13
NE3112501,"BELGRADE, VILLAGE OF",Community water system,Ground water,Nance,BELGRADE,137,4,18,24
NE3102306,"BELLWOOD, VILLAGE OF",Community water system,Ground water,Butler,BELLWOOD,435,8,30,26
NE3116909,"BELVIDERE, VILLAGE OF",Community water system,Ground water,Thayer,BELVIDERE,35,4,20,11
NE3118703,"BENEDICT, VILLAGE OF",Community water system,Ground water,York,BENEDICT,234,8,14,12
