"PWS ID","PWS Name","PWS Type","Primary Source","Counties Served","Cities Served","PopulationServed Count","Number of Facilities","Number of Violations","Number of Site Visits"
"NH2342010","175 ESTATES","Community water system","Ground water","Grafton","THORNTON","110","5","7","9"
"NH0732040","18 HUGHES LN/EFFINGHAM","Community water system","Ground water","Carroll","EFFINGHAM","60","5","18","5"
"NH2052040","183 SOLRAC 5","Community water system","Ground water","Rockingham","SALEM","50","5","33","5"
"NH0823010","20 JAFFREY RD","Community water system","Ground water","Cheshire","FITZWILLIAM","32","16","185","4"
"NH1932130","26 CHANDLER AVE CONDOS","Community water system","Ground water","Rockingham","PLAISTOW","33","4","17","9"
"NH0202010","ABENAKI WATER /LAKELAND","Community water system","Ground water","Belknap","BELMONT","395","5","26","14"
"NH0262020","ABENAKI WATER/WHITE ROCK WATER","Community water system","Ground water","Merrimack","BOW","238","4","15","11"
"NH2232150","ABERDEEN/WEST","Community water system","Ground water","Rockingham","STRATHAM","46","6","8","6"
"NH2053020","ACKERMAN RETIREMENT PARK","Community water system","Ground water","Rockingham","SALEM","350","4","138","5"
"NH2003020","ACORN TERRACE","Community water system","Ground water","Strafford","ROCHESTER","205","7","48","27"
"NH0061010","ALTON WATER WORKS","Community water system","Ground water","Belknap","ALTON","1,750","6","112","9"
"NH2003070","AMAZON PARK","Community water system","Ground water","Strafford","ROCHESTER","120","4","41","16"
"NH0081010","ANDOVER VILLAGE DIST","Community water system","Surface water","Merrimack","ANDOVER","650","2","70","6"
"NH0613010","ANNIE OAKLEY MHP","Community water system","Ground water","Rockingham","DERRY","127","1","4","5"
"NH1272020","ANNS LANDING","Community water system","Ground water","Rockingham","KINGSTON","63","2","2","5"
"NH0091010","ANTRIM SEWER AND WATER DEPT","Community water system","Ground water","Hillsborough","ANTRIM","920","3","11","6"
"NH1712010","APPLETON GARDENS","Community water system","Ground water","Hillsborough","NEW IPSWICH","57","2","28","4"
"NH1051010","AQUARION WATER/NH","Community water system","Ground water","Rockingham","HAMPTON","34,000","41","7","11"
"NH0101010","ASHLAND WATER DEPT","Community water system","Ground water","Grafton","ASHLAND","1,500","4","39","4"
"NH1562020","ASHLEY COMMONS","Community water system","Ground water purchased","Hillsborough","MILFORD","73","3","2","3"
"NH2302010","ASHUELOT RIVER APTS","Community water system","Ground water","Cheshire","SWANZEY","100","1","5","5"
"NH0112100","ATKINSON WOODS","Community water system","Ground water","Rockingham","ATKINSON","140","3","23","6"
"NH2052070","AUTUMN WOODS","Community water system","Ground water","Rockingham","SALEM","180","5","4","4"
"NH0612220","AUTUMN WOODS","Community water system","Ground water","Rockingham","DERRY","73","3","1","6"
"NH1562030","BADGER HILL","Community water system","Ground water","Hillsborough","MILFORD","265","6","1","5"
"NH2232060","BALMORAL CONDOS","Community water system","Ground water","Rockingham","STRATHAM","105","4","40","5"
