PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
NJ0506013,A AND J MOBILE HOME PARK,Community water system,Ground water,Cape May,MIDDLE TWP.-0506,86,4,39,11
NJ1330002,ABERDEEN - CLIFFWOOD/CLIFFWOOD BEACH,Community water system,Surface water purchased,Monmouth,ABERDEEN TWP-1330,6775,13,58,12
NJ1330004,ABERDEEN - FRENEAU,Community water system,Surface water purchased,Monmouth,ABERDEEN TWP-1330,286,3,25,9
NJ1330003,ABERDEEN- HIGH SCHOOL/OAKSHADE AREA,Community water system,Surface water purchased,Monmouth,ABERDEEN TWP-1330,1992,3,30,9
NJ0307002,ALBERT C WAGNER YOUTH CO,Community water system,Ground water,Burlington,CHESTERFIELD TWP.-0307,2500,8,30,19
NJ1511011,ALL SEASONS MOBILE HOME PARK,Community water system,Ground water,Ocean,JACKSON TWP.-1511,64,6,147,12
NJ2101001,ALLAMUCHY TWP WATER & SEWER,Community water system,Ground water,Warren,ALLAMUCHY TWP.-2101,4573,5,15,14
NJ0201001,ALLENDALE WATER DEPT,Community water system,Surface water purchased,Bergen,ALLENDALE BORO-0201,6702,18,267,14
NJ1302001,ALLENTOWN WATER DEPT,Community water system,Ground water,Monmouth,ALLENTOWN BORO-1302,2000,5,9,12
NJ0335001,"ALLENWOOD ESTATES, LLC",Community water system,Ground water,Burlington,TABERNACLE TWP.-0335,135,5,7,12
NJ2102001,ALPHA MUNICIPAL WATER WORKS,Community water system,Ground water,Warren,ALPHA BORO-2102,2530,8,321,17
NJ0105002,ALPINE VILLAGE,Community water system,Ground water,Atlantic,BUENA VISTA TWP-0105,70,6,3,9
NJ0436001,ANCORA PSYCHIATRIC HOSPI,Community water system,Surface water purchased,Camden,WINSLOW TWP.-0436,2506,7,9,13
NJ1901001,ANDOVER BORO WATER DEPT,Community water system,Ground water,Sussex,ANDOVER BORO-1901,783,5,15,15
NJ1902009,ANDOVER INTERMEDIATE CARE CNTR,Community water system,Ground water,Sussex,ANDOVER TWP.-1902,543,4,151,14
NJ1902008,ANDOVER NURSING HOME,Community water system,Ground water,Sussex,ANDOVER TWP.-1902,250,4,131,14
NJ1902004,ANDOVER WATER CORP,Community water system,Ground water,Sussex,ANDOVER TWP.-1902,82,4,145,15
NJ1319003,ANGLE INN MOTOR COURT,Community water system,Ground water,Monmouth,HOWELL TWP.-1319,354,5,54,17
NJ1907002,AQUA NJ - BEAR BROOK,Community water system,Ground water,Sussex,FREDON TWP.-1907,130,5,3,15
NJ0415002,AQUA NJ - BLACKWOOD,Community water system,Surface water purchased,Camden,GLOUCESTER TWP.-0415,44396,28,51,13
NJ2110001,AQUA NJ - BRAINARDS,Community water system,Ground water,Warren,HARMONY TWP.-2110,135,4,21,13
NJ1019001,AQUA NJ - BUNNVALE,Community water system,Ground water,Hunterdon,LEBANON TWP.-1019,252,15,556,16
NJ1004001,AQUA NJ - CALIFON,Community water system,Ground water,Hunterdon,CALIFON BORO-1004,1553,8,2,15
NJ0326001,AQUA NJ - CALIFORNIA VILLAGE,Community water system,Ground water,Burlington,NORTH HANOVER TWP.-0326,300,8,4,11
NJ1505002,AQUA NJ - EASTERN DIVISION,Community water system,Ground water,Ocean,BERKELEY TWP.-1505,12000,7,30,13
NJ1015004,AQUA NJ - FOX HILL,Community water system,Ground water,Hunterdon,HOLLAND TWP.-1015,172,6,1,12
NJ1103001,AQUA NJ - HAMILTON SQUARE,Community water system,Surface water purchased,Mercer,HAMILTON TWP.-1103,39128,17,30,13
NJ0326004,AQUA NJ - HANOVER MOBILE VILLAGE,Community water system,Ground water,Burlington,NORTH HANOVER TWP.-0326,285,8,11,11
NJ2110003,AQUA NJ - HARKERS HOLLOW,Community water system,Ground water,Warren,HARMONY TWP.-2110,40,6,29,12
NJ1107002,AQUA NJ - LAWRENCE,Community water system,Groundwater under influence of surface water,Mercer,LAWRENCE TWP.-1107,8655,14,180,18
NJ2119001,AQUA NJ - PHILLIPSBURG,Community water system,Groundwater under influence of surface water,Warren,PHILLIPSBURG TOWN-2119,26812,11,3,14
NJ1015003,AQUA NJ - RIEGEL RIDGE,Community water system,Ground water,Hunterdon,HOLLAND TWP.-1015,621,6,1,14
NJ2120001,AQUA NJ - RIEGELSVILLE,Community water system,Ground water purchased,Warren,POHATCONG TWP.-2120,62,6,2,14
NJ0108005,AQUA NJ - SEAVIEW HARBOR,Community water system,Ground water,Atlantic,EGG HARBOR TWP-0108,300,6,8,12
NJ0326008,AQUA NJ - SPARTAN VILLAGE,Community water system,Ground water,Burlington,NORTH HANOVER TWP.-0326,471,6,171,18
NJ1911004,AQUA NJ - SUMMIT LAKE,Community water system,Ground water,Sussex,HARDYSTON TWP.-1911,177,4,24,15
NJ1908001,AQUA NJ - TRANQUILITY SPRINGS,Community water system,Groundwater under influence of surface water,Sussex,GREEN TWP.-1908,599,6,7,14
NJ1922008,AQUA NJ - VERNON,Community water system,Ground water,Sussex,VERNON TWP.-1922,515,19,49,19
NJ1911001,AQUA NJ - WALLKILL,Community water system,Ground water,Sussex,HARDYSTON TWP.-1911,1050,10,178,16
NJ2120002,AQUA NJ - WARREN GLEN,Community water system,Ground water,Warren,POHATCONG TWP.-2120,220,10,2,14
NJ0824001,AQUA NJ - WOOLWICH,Community water system,Surface water purchased,Gloucester,WOOLWICH TWP.-0824,6206,10,7,11
NJ1904009,AQUA NJ BYRAM,Community water system,Ground water,Sussex,BYRAM TWP.-1904,400,6,237,13
NJ1438001,AQUA NJ CLIFFSIDE PARK,Community water system,Ground water,Morris,WASHINGTON TWP.-1438,80,9,79,18
NJ1518345,ARISTACARE AT MANCHESTER,Community water system,Ground water,Ocean,MANCHESTER TWP.-1518,475,5,10,5
NJ1902005,ASCOT PARK APTS,Community water system,Ground water,Sussex,ANDOVER TWP.-1902,125,5,23,15
NJ0102001,ATLANTIC CITY MUA,Community water system,Surface water,Atlantic,ATLANTIC CITY-0102,152415,26,41,16
