PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
NM3500221,ABIQUIU MDWCA,Community water system,Ground water,Rio Arriba,ABIQUIU,420,5,129,16
NM3503926,AGUA FRIA WATER ASSOCIATION,Community water system,Ground water,Santa Fe,SANTA FE,650,11,27,12
NM3515918,AGUA NEGRA MDWCA,Community water system,Ground water,Mora,HOLMAN,200,6,76,14
NM3545618,AGUA PURA MDWCA,Community water system,Ground water,Mora,CHACON,123,7,81,21
NM3502421,AGUA SANA WUA,Community water system,Ground water,Rio Arriba,HERNANDEZ,1275,5,102,7
NM3539307,ALAMEDA ACRES MHP,Community water system,Ground water,Dona Ana,LAS CRUCES,285,7,11,14
NM3568919,ALAMO HEIGHTS WUA,Community water system,Ground water,Otero,ALAMOGORDO,50,8,33,17
NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,Community water system,Surface water,Otero,ALAMOGORDO,38500,108,5,53
NM3510701,ALBUQUERQUE WATER SYSTEM,Community water system,Surface water,Bernalillo,ALBUQUERQUE,601983,279,1,16
NM3535021,ALCALDE MDWCA,Community water system,Ground water,Rio Arriba,ALCALDE,1500,11,47,16
NM3535123,ALGODONES WUA,Community water system,Ground water,Sandoval,ALGODONES,411,8,74,19
NM3558014,ALPINE VILLAGE W AND SD,Community water system,Ground water,Lincoln,RUIDOSO,120,12,24,16
NM3536907,ALTO DE LAS FLORES MDWCA,Community water system,Ground water,Dona Ana,SAN MIGUEL,800,9,6,16
NM3558514,ALTO LAKES WATER AND SANITATION DISTRICT,Community water system,Ground water,Lincoln,ALTO,1603,22,56,23
NM3530414,ALTO MOUNTAIN VILLAGE,Community water system,Ground water,Lincoln,ALTO,172,11,74,26
NM3513414,ALTO NORTH WATER COOP,Community water system,Ground water,Lincoln,ALTO,200,5,32,17
NM3501523,ANASAZI TRAILS WATER CO-OP,Community water system,Ground water,Sandoval,PLACITAS,75,7,26,4
NM3504121,ANCONES MDWWCA,Community water system,Ground water,Rio Arriba,LA MADERA,45,4,18,2
NM3531904,ANGEL FIRE SERVICES - VILLAGE OF ANGEL F,Community water system,Ground water,Colfax,ANGEL FIRE,6045,37,16,14
NM3526804,ANGEL NEST APARTMENTS,Community water system,Ground water,Colfax,ANGEL FIRE,60,6,27,9
NM3511207,ANTHONY W&SD,Community water system,Ground water,Dona Ana,ANTHONY,7904,21,63,18
NM3502621,APODACA MDWCA,Community water system,Ground water,Rio Arriba,DIXON,129,5,12,14
NM3511524,APPLE ORCHARD MDWCA,Community water system,Surface water purchased,San Juan,BLOOMFIELD,460,11,142,20
NM3523102,ARAGON MDWCA,Community water system,Ground water,Catron,ARAGON,33,7,21,16
NM3523009,ARENAS VALLEY MDWCA,Community water system,Ground water purchased,Grant,ARENAS VALLEY,1146,3,9,15
NM3505529,ARROYO SECO MDWCA,Community water system,Ground water,Taos,ARROYO SECO,546,8,45,24
NM3520308,ARTESIA MUNICIPAL WATER SYSTEM,Community water system,Ground water,Eddy,ARTESIA,14000,22,37,29
NM3530608,ARTESIA RURAL WATER COOPERATIVE,Community water system,Ground water,Eddy,ARTESIA,2009,19,3,16
NM3569826,ASI LA MAR TRAILER PARK,Community water system,Ground water,Santa Fe,SANTA FE,61,8,8,15
NM3509824,AZTEC DOMESTIC WATER SYSTEM,Community water system,Surface water,San Juan,AZTEC,5960,25,20,16
NM3548801,BAKERS MOBILE HOME PARK,Community water system,Ground water,Bernalillo,ALBUQUERQUE,200,3,14,12
NM3547501,BARCELONA MOBILE HOME PARK,Community water system,Ground water,Bernalillo,ALBUQUERQUE,350,11,50,15
NM3500321,BARRANCO MDWCA,Community water system,Ground water,Rio Arriba,ABIQUIU,97,6,146,16
NM3522109,BAYARD MUNICIPAL WATER SYSTEM,Community water system,Ground water,Grant,BAYARD,2591,19,3,17
NM3500101,BEARCAT HOMEOWNERS ASSOCIATION,Community water system,Ground water,Bernalillo,TIJERAS,60,5,58,9
NM3524932,BELEN WATER SYSTEM,Community water system,Ground water,Valencia,BELEN,9856,27,88,17
NM3508923,BERNALILLO WATER SYSTEM,Community water system,Ground water,Sandoval,BERNALILLO,9200,19,29,20
NM3552903,BERRENDO COOPERATIVE WUA,Community water system,Ground water,Chaves,ROSWELL,3999,22,8,19
NM3526033,BIBO MUTUAL DOMESTIC WATER ASSOC,Community water system,Ground water,Cibola,BIBO,215,7,57,16
NM3573725,BIG MESA WATER MDWCA,Community water system,Surface water,San Miguel,CONCHAS DAM,265,5,89,36
NM3531524,BLANCO MDWCA,Community water system,Surface water purchased,San Juan,BLANCO,1140,12,94,15
NM3532517,BLOCK A WELL CO-OP,Community water system,Ground water,McKinley,GALLUP,30,7,49,11
NM3510124,BLOOMFIELD WATER SUPPLY SYSTEM,Community water system,Surface water,San Juan,BLOOMFIELD,7090,21,60,18
NM3510333,BLUEWATER ACRES WUA,Community water system,Ground water,Cibola,THOREAU,307,10,15,14
NM3510117,BLUEWATER LAKE MDWCA,Community water system,Ground water,McKinley,BLUEWATER,135,6,9,14
NM3525033,BLUEWATER WATER AND SANITATION DISTRICT,Community water system,Ground water,Cibola,BLUEWATER,450,6,56,17
NM3500129,BMG TRAILER PARK,Community water system,Ground water,Taos,RANCHOS DE TAOS,30,4,35,7
NM3513419,BOLES ACRES WATER SYSTEM,Community water system,Ground water,Otero,ALAMOGORDO,718,12,14,33
NM3533914,BONITA PARK NAZARENE CONFERENCE CENTER,Community water system,Ground water,Lincoln,CAPITAN,435,16,5,23
NM3510732,BOSQUE FARMS WATER SUPPLY SYSTEM,Community water system,Ground water,Valencia,BOSQUE FARMS,4168,9,8,10
NM3509232,BOSQUE GARDENS MDWCA,Community water system,Ground water,Valencia,PERALTA,130,14,47,9
NM3502826,BUCKMAN REGIONAL WATER TREATMENT PLANT,Community water system,Surface water,Santa Fe,SANTA FE,0,8,0,3
NM3515418,BUENA VISTA MDWCA,Community water system,Ground water,Mora,BUENA VISTA,216,4,54,14
NM3591309,BURRO MOUNTAIN HOMESTEAD,Community water system,Ground water,Grant,SILVER CITY,25,28,8,8
NM3510027,CABALLO LAKE MDWA,Community water system,Ground water,Sierra,CABALLO,147,4,74,16
NM3502507,CAMINO REAL REGIONAL UTILITY AUTHORITY,Community water system,Ground water,Dona Ana,SUNLAND PARK,21000,50,137,1
NM3504026,CANADA DE LOS ALAMOS MDWCA,Community water system,Ground water,Santa Fe,SANTA FE,54,7,86,17
NM3500521,CANJILON WATER SYSTEM,Community water system,Ground water,Rio Arriba,CANJILON,469,9,24,15
NM3567905,CANNON AIR FORCE BASE WATER SYSTEM,Community water system,Ground water,Curry,CANNON AFB,7832,32,13,24
NM3535223,CANON MDWCA,Community water system,Ground water,Sandoval,CANON,320,7,51,15
NM3505629,CANON MDWCA,Community water system,Groundwater under influence of surface water,Taos,CANON,200,10,39,16
NM3500421,CANON PLAZA MDWCA,Community water system,Ground water,Rio Arriba,VALLECITOS,60,3,86,15
NM3510026,CANONCITO AT APACHE CANYON,Community water system,Ground water,Santa Fe,SANTA FE,250,7,83,12
NM3500621,CANONES MDWCA,Community water system,Ground water,Rio Arriba,CANONES,97,5,66,14
