"PWS ID","PWS Name","PWS Type","Primary Source","Counties Served","Cities Served","PopulationServed Count","Number of Facilities","Number of Violations","Number of Site Visits"
"NV0000005","ALAMO SEWER AND WATER GID","Community water system","Ground water","Lincoln","ALAMO","900","10","61","8"
"NV0002558","AMARGOSA WATER COMPANY","Community water system","Ground water","Nye","-","54","8","122","5"
"NV0005033","ANCHOR IN MHP","Community water system","Ground water","Nye","-","36","3","4","5"
"NV0000191","ARROWHEAD MHP","Community water system","Ground water","Washoe","-","65","7","72","9"
"NV0000863","BAKER WATER AND SEWER GID","Community water system","Ground water","White Pine","BAKER","85","6","24","3"
"NV0000009","BEATTY WATER AND SANITATION DISTRICT","Community water system","Ground water","Nye","BEATTY","1,024","16","23","9"
"NV0000147","BERMUDA PALMS MANAGEMENT LLC","Community water system","Ground water","Clark","-","60","14","66","7"
"NV0004092","BIG BEND WATER DISTRICT","Community water system","Surface water","Clark","LAUGHLIN","8,800","20","6","15"
"NV0000362","BIG FIVE PARK","Community water system","Ground water","Nye","-","65","6","14","8"
"NV0000369","BIG VALLEY MHP","Community water system","Ground water","Nye","-","50","7","18","8"
"NV0000092","BLUE DIAMOND WATER CO OP INC","Community water system","Ground water","Clark","-","85","3","168","6"
"NV0000010","BLUE DIAMOND WATER COMPANY","Community water system","Ground water purchased","Clark","BLUE DIAMOND","527","14","19","5"
"NV0000011","BOULDER CITY","Community water system","Surface water purchased","Clark","BOULDER CITY","15,000","11","5","7"
"NV0002538","C VALLEY MHP","Community water system","Ground water","Nye","-","54","11","81","6"
"NV0000013","CALIENTE PUBLIC UTILITIES","Community water system","Ground water","Lincoln","CALIENTE","1,100","10","22","9"
"NV0000408","CALVADA MEADOWS  GBWC","Community water system","Ground water","Nye","-","77","4","0","3"
"NV0005056","CANYON GID","Community water system","Ground water","Storey","-","1,310","8","11","7"
"NV0000014","CARLIN UTILITIES","Community water system","Ground water","Elko","CARLIN","2,500","11","3","9"
"NV0000015","CARSON CITY PUBLIC WORKS","Community water system","Surface water","-","CARSON CITY","56,000","149","90","20"
"NV0003068","CARSON RIVER ESTATES","Community water system","Ground water","Churchill","-","90","41","251","8"
"NV0000218","CARVERS SMOKEY VALLEY RV AND MHP","Community water system","Ground water","Nye","-","250","6","61","9"
"NV0000259","CAVE ROCK SKYLAND","Community water system","Surface water","Douglas","SKYLAND","1,267","15","13","16"
"NV0002554","CHIPMUNK RETREAT","Community water system","Ground water","Nye","-","44","3","3","4"
"NV0004000","COLD CREEK CANYON HOMEOWNERS","Community water system","Ground water","Clark","COLD CREEK","180","5","12","5"
"NV0005057","COLD CREEK MHP","Community water system","Ground water","White Pine","-","35","5","32","5"
"NV0000277","CONESTOGA MHP","Community water system","Ground water","Washoe","-","120","4","13","7"
"NV0000017","COTTONWOOD MHP","Community water system","Ground water","-","-","250","10","27","7"
"NV0005032","COUNTRY VIEW ESTATES GBWC","Community water system","Ground water","Nye","-","1,292","9","40","4"
"NV0000043","CRESCENT VALLEY WATER SYSTEM","Community water system","Ground water","Eureka","-","340","13","19","10"
"NV0000193","CRYSTAL TP","Community water system","Ground water","Washoe","-","80","47","71","9"
"NV0000032","DAYTON VALLEY WATER SYSTEM","Community water system","Ground water","Lyon","DAYTON, MOUNDHOUSE","15,005","60","2","8"
"NV0000831","DESERT MIRAGE HOMEOWNERS ASSOCIATION","Community water system","Ground water","Nye","-","230","17","8","4"
"NV0000149","DESERT PARADISE MHP","Community water system","Ground water","Clark","-","70","5","136","12"
"NV0000300","DESERT UTILITIES","Community water system","Ground water","Nye","-","1,086","13","86","8"
"NV0002574","DEVILS GATE GID DISTRICT 1","Community water system","Ground water","Eureka","-","65","8","4","5"
"NV0002573","DEVILS GATE WATER SYSTEM GID 2","Community water system","Ground water purchased","Eureka","-","70","12","13","4"
"NV0000809","DUTCHMAN ACRES","Community water system","Ground water","Pershing","-","121","5","72","6"
"NV0002216","EAST VALLEY WATER SYSTEM","Community water system","Ground water purchased","Douglas","-","4,030","20","19","10"
"NV0000106","EASTLAND HEIGHTS WATER ASSOCIATION","Community water system","Ground water","Clark","-","400","7","2","6"
"NV0000271","ELK POINT COUNTRY CLUB","Community water system","Ground water","Douglas","-","325","11","98","8"
"NV0000272","ELKO CITY OF","Community water system","Ground water","Elko","ELKO","18,000","50","26","16"
"NV0002075","ELKO RV PARK AT RYNDON","Community water system","Ground water","Elko","-","357","9","22","9"
"NV0005071","ELY MAXIMUM SECURITY PRISON  NDOC","Community water system","Ground water","White Pine","-","1,099","4","75","4"
"NV0000038","ELY MUNICIPAL WATER DEPARTMENT","Community water system","Ground water","White Pine","ELY","5,000","25","89","9"
"NV0000042","EMPIRE MINING COMPANY","Community water system","Ground water","Washoe","EMPIRE","350","10","76","6"
"NV0000109","EQUESTRIAN ESTATES CO OP WATER ASSOC","Community water system","Ground water","Clark","-","108","43","39","5"
"NV0002552","ESCAPEE CO OP OF NEVADA","Community water system","Ground water","Nye","-","200","8","24","4"
"NV0000044","EUREKA WATER ASSOCIATION","Community water system","Ground water","Eureka","EUREKA","450","24","12","8"
"NV0002540","FAIRGROUNDS/SUNRISE ESTATES","Community water system","Ground water","Douglas","-","911","8","31","4"
"NV0000045","FALLON CITY OF","Community water system","Ground water","Churchill","FALLON","8,500","15","69","11"
"NV0000350","FALLON NAVAL AIR STATION","Community water system","Ground water","Churchill","FALLON NAVAL AIR STATION","3,000","12","32","9"
"NV0000062","FERNLEY PUBLIC WORKS","Community water system","Ground water","Lyon","FERNLEY","18,000","25","163","12"
"NV0000200","FOOTHILL TRAILER PARK","Community water system","Ground water","Washoe","-","35","6","15","6"
