PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
OH5500312,A AND R RECK MOBILE HOME PARK,Community water system,Ground water,Miami,-,45,9,130,13
OH1900812,A AND R UNION CITY PARK MHP PWS,Community water system,Ground water,Darke,-,85,6,25,15
OH3300012,ADA VILLAGE,Community water system,Ground water,Hardin,-,5952,13,5,30
OH0100012,ADAMS COUNTY REGIONAL WD PWS,Community water system,Ground water,Adams,-,21507,39,4,32
OH3100012,ADDYSTON VILLAGE PWS,Community water system,Ground water,Hamilton,-,900,6,63,14
OH4100003,ADENA VILLAGE PWS,Community water system,Ground water purchased,Jefferson,-,820,9,7,26
OH7700011,AKRON CITY PWS,Community water system,Surface water,Summit,-,280000,48,56,51
OH0500003,ALBANY VILLAGE PWS,Community water system,Ground water purchased,Athens,-,828,6,1,30
OH7700212,ALEXANDERS MOBILE HOME PARK,Community water system,Ground water,Summit,-,112,6,149,18
OH4504203,ALEXANDRIA VILLAGE PWS,Community water system,Ground water purchased,Licking,-,479,6,2,12
OH3300112,ALGER VILLAGE,Community water system,Ground water,Hardin,-,860,14,54,17
OH6700812,ALL SEASONS MHP,Community water system,Ground water,Portage,-,483,12,24,21
OH7600011,ALLIANCE CITY PWS,Community water system,Surface water,Stark,-,22232,6,33,35
OH7602212,ALTERCARE OF HARTVILLE,Community water system,Ground water,Stark,-,167,6,54,14
OH7005312,ALTMAN HTS COMM WATER ASSOCIATION,Community water system,Ground water,Richland,-,195,8,15,16
OH2300012,AMANDA VILLAGE PWS,Community water system,Ground water,Fairfield,-,737,12,44,17
OH0500112,AMESVILLE PUBLIC WATER SYSTEM,Community water system,Ground water,Athens,-,255,7,1,41
OH4700003,AMHERST CITY PWS,Community water system,Surface water purchased,Lorain,-,11797,10,2,12
OH0400012,ANDOVER VILLAGE PWS,Community water system,Ground water,Ashtabula,-,1250,10,21,14
OH0400212,ANDOVER-CAMPLANDS WATER,Community water system,Ground water,Ashtabula,-,6009,7,100,15
OH7500012,ANNA,Community water system,Ground water,Shelby,-,1567,9,18,14
OH1900012,ANSONIA VILLAGE PWS,Community water system,Ground water,Darke,-,1174,14,7,14
OH6300012,ANTWERP VILLAGE,Community water system,Ground water,Paulding,-,1689,11,16,15
OH7200012,APOLLO MOBILE HOME PARK,Community water system,Ground water,Sandusky,-,35,5,111,16
OH8500112,APPLE CREEK VILLAGE PWS,Community water system,Ground water,Wayne,-,1190,10,19,19
OH0400711,AQUA OHIO - ASHTABULA,Community water system,Surface water,Ashtabula,-,39838,15,7,36
