PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
OK3006003,51 EAST WATER,Community water system,Surface water purchased,Payne,-,2250,4,12,11
OK5005548,ABES RV PARK,Community water system,Ground water,Oklahoma,-,175,4,321,58
OK2000707,ACHILLE,Community water system,Ground water,Bryan,-,506,7,27,76
OK2005543,ACORN ACRES MHP,Community water system,Ground water,Oklahoma,-,120,3,34,36
OK2006201,ADA,Community water system,Ground water,Pontotoc,-,22600,7,10,49
OK1021613,ADAIR,Community water system,Surface water purchased,Mayes,-,704,8,49,103
OK3000104,ADAIR CO RWD #1 (CHERRY TREE),Community water system,Surface water purchased,Adair,-,2000,14,22,23
OK3000105,ADAIR CO RWD #2,Community water system,Surface water purchased,Adair,-,1675,13,9,24
OK3000106,ADAIR CO RWD #3,Community water system,Surface water purchased,Adair,-,2598,10,22,19
OK3000107,ADAIR CO RWD #4,Community water system,Surface water purchased,Adair,-,1025,6,20,24
OK1021770,ADAIR CO RWD #5,Community water system,Surface water,Adair,-,675,15,145,76
OK2000145,ADAIR CO RWS & SWMD #6,Community water system,Ground water,Adair,-,27,17,57,30
OK3006112,ADAMSON RWD #8,Community water system,Surface water purchased,Pittsburg,-,4306,11,29,25
OK3004711,ADKINS HILL VILLAGE,Community water system,Ground water purchased,McClain,-,150,2,5,11
OK1021696,AFTON PWA,Community water system,Surface water,Ottawa,-,1428,8,68,101
OK2002603,ALEX,Community water system,Ground water,Grady,-,635,12,15,50
OK2000202,ALFALFA CO RWS & SWMD #1,Community water system,Ground water,Alfalfa,-,550,6,35,16
OK2000201,ALFALFA CO RWS & SWMD #1 NORTH,Community water system,Ground water,Alfalfa,-,600,7,7,28
OK2000206,ALINE,Community water system,Ground water,Alfalfa,-,214,11,82,34
OK2006202,ALLEN PWA,Community water system,Ground water,Pontotoc,-,937,11,4,37
OK3005518,ALPINE MHP,Community water system,Surface water purchased,Oklahoma,-,65,2,6,19
OK1011501,ALTUS,Community water system,Surface water,Jackson,-,21477,26,123,82
OK3003303,ALTUS AFB,Community water system,Surface water purchased,Jackson,-,4249,2,41,15
OK2007603,ALVA,Community water system,Ground water,Woods,-,5208,56,13,38
OK2004403,AMES,Community water system,Ground water,Major,-,199,11,12,45
OK1010806,ANADARKO PUBLIC WORKS AUTHORITY,Community water system,Surface water,Caddo,-,6804,10,66,85
OK3005540,ANCHOR INN MHP,Community water system,Surface water purchased,Oklahoma,-,213,2,6,18
OK3005538,ANN ARBOR ESTATES,Community water system,Surface water purchased,Oklahoma,-,228,2,26,19
OK1010302,ANTLERS,Community water system,Surface water,Pushmataha,-,2547,8,77,84
OK2000806,APACHE,Community water system,Ground water,Caddo,-,1521,13,50,40
OK3002004,ARAPAHO,Community water system,Surface water purchased,Custer,-,748,6,7,27
OK1010814,ARDMORE,Community water system,Surface water,Carter,-,24283,13,41,82
OK3001005,ARDMORE AIR PARK,Community water system,Surface water purchased,Carter,-,159,2,31,11
OK3004013,ARKOMA,Community water system,Surface water purchased,Le Flore,-,2180,6,17,30
OK2002305,ARNETT,Community water system,Ground water,Ellis,-,496,10,47,40
OK3006311,ASHER UTIL DEV AUTH,Community water system,Surface water purchased,Pottawatomie,-,375,3,42,20
OK1010401,ATOKA,Community water system,Surface water,Atoka,-,2988,14,90,89
OK3000305,ATOKA CO. RWD #1 (WARDVILLE),Community water system,Surface water purchased,Atoka,-,125,2,46,34
OK3000306,ATOKA CO. RWD #2,Community water system,Surface water purchased,Atoka,-,500,6,15,15
