PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
OR4101184,62ND COURT MUTUAL WATER CO,Community water system,Ground water,Marion,-,50,3,66,5
OR4195342,A RIVER RUNS THROUGH,Community water system,Ground water,Jackson,-,28,5,27,3
OR4100003,ADAIR VILLAGE WATER SYSTEM,Community water system,Surface water,Benton,-,875,5,162,10
OR4100001,"ADAMS WATER DEPT, CITY OF",Community water system,Ground water,Umatilla,-,370,7,17,6
OR4100002,"ADRIAN, CITY OF",Community water system,Ground water,Malheur,-,180,11,130,4
OR4101439,AGATE WATER SYSTEM,Community water system,Ground water,Deschutes,-,2925,18,14,5
OR4100004,ALBANY TRAILER COURT,Community water system,Ground water,Linn,-,100,5,81,7
OR4100012,"ALBANY, CITY OF",Community water system,Surface water,Linn,-,56100,9,42,15
OR4100630,ALDER CREEK BARLOW WATER DIST,Community water system,Surface water purchased,Clackamas,-,310,3,17,6
OR4100304,ALDERWOOD WATER DEV CO,Community water system,Surface water,Lane,-,35,5,112,12
OR4101013,ALDRIDGE DITCH CO WS,Community water system,Ground water purchased,Hood River,-,67,4,32,4
OR4101352,ALPINE CREST IMPROVEMENT DIST,Community water system,Ground water,Marion,-,91,5,129,4
OR4100978,ALSEA COUNTY SERVICE DISTRICT,Community water system,Ground water,Benton,-,202,6,30,3
OR4100013,AMIGO VILLA WATER SERVICE INC,Community water system,Ground water,Linn,-,100,5,16,5
OR4100041,"AMITY, CITY OF",Community water system,Surface water,Yamhill,-,1620,17,204,11
OR4101483,ANGLERS COVE/SCHWC,Community water system,Surface water,Jackson,-,80,6,10,10
OR4100042,"ANTELOPE, CITY OF",Community water system,Ground water,Wasco,-,46,8,131,7
OR4100043,APPLEGATE MOBILE PARK,Community water system,Ground water,Jackson,-,70,5,26,7
OR4100840,APPLEWOOD MOBILE HOME PARK,Community water system,Ground water,Lane,-,100,5,21,6
OR4100802,ARCH CAPE WATER DISTRICT,Community water system,Surface water,Clatsop,-,150,6,181,9
OR4100046,ARLINGTON CITY WATER SUPPLY,Community water system,Ground water,Gilliam,-,610,13,13,5
OR4100992,ARNEYS FOREST VIEW MHP,Community water system,Ground water,Lane,-,50,6,44,5
OR4100770,ARROWHEAD MOBILE HOME PARK,Community water system,Ground water,Marion,-,220,4,6,5
OR4101525,ARROWOOD COMMUNITY WATER CO,Community water system,Ground water purchased,Deschutes,-,170,3,6,2
OR4101153,ASHDOWN WOOD WATER COMPANY,Community water system,Ground water,Clackamas,-,75,3,8,4
OR4100049,ASHLAND ACRES MOBILE ESTATES,Community water system,Ground water,Jackson,-,30,5,78,6
OR4100053,ASHLAND COUNTRY ESTATES,Community water system,Ground water,Jackson,-,85,6,75,6
OR4100047,ASHLAND WATER DEPARTMENT,Community water system,Surface water,Jackson,-,21505,9,23,8
OR4101476,ASPEN LAKES UTILITY CO LLC,Community water system,Ground water,Deschutes,-,150,4,93,5
OR4100055,"ASTORIA, CITY OF",Community water system,Surface water,Clatsop,-,9802,9,25,10
OR4100064,"ATHENA, CITY OF",Community water system,Ground water,Umatilla,-,1170,9,31,5
OR4100065,"AUMSVILLE, CITY OF",Community water system,Ground water,Marion,-,3750,23,44,5
OR4193784,AURORA ACRES RV RESORT,Community water system,Ground water,Marion,-,240,4,13,4
OR4100067,"AURORA, CITY OF",Community water system,Ground water,Marion,-,995,11,34,5
OR4101506,AVION WC - BRASADA RANCH,Community water system,Ground water,Crook,-,350,8,3,3
OR4100094,AVION WC - CHAPARRAL,Community water system,Ground water,Deschutes,-,470,8,33,7
OR4100122,AVION WC - CINDER BUTTE ESTS,Community water system,Ground water,Deschutes,-,110,5,5,7
OR4101366,AVION WC - DRID,Community water system,Ground water,Deschutes,-,32,5,23,4
OR4100091,AVION WC - GREATER AVION,Community water system,Ground water,Deschutes,-,33425,30,165,5
OR4101346,AVION WC - HIGHLAND ESTATES,Community water system,Ground water,Deschutes,-,75,3,27,5
OR4101382,AVION WC - ODIN FALLS RANCH,Community water system,Ground water,Deschutes,-,110,3,2,5
OR4101203,AVION WC - RED CLOUD,Community water system,Ground water,Crook,-,442,11,6,6
OR4101230,AVION WC - SOUTH REDMOND HEIGHTS,Community water system,Ground water,Deschutes,-,175,6,32,5
OR4101305,AVION WC - SQUAW CREEK CANYON,Community water system,Ground water,Deschutes,-,325,8,32,6
OR4101160,AVION WC - TETHEROW CROSSING,Community water system,Ground water,Deschutes,-,185,7,5,6
OR4101351,AVION WC - TUMALO RIM,Community water system,Ground water,Deschutes,-,141,5,30,4
OR4101155,AVION WC - TUSCARORA,Community water system,Ground water,Deschutes,-,117,3,4,4
OR4100975,AVION WC - WILD RIVER,Community water system,Ground water,Deschutes,-,276,6,16,5
OR4101259,AVION-DESERT SPRINGS,Community water system,Ground water,Deschutes,-,130,3,61,5
OR4100073,BAKER CITY,Community water system,Surface water,Baker,-,9890,17,121,14
OR4100074,"BANDON, CITY OF",Community water system,Surface water,Coos,-,3175,6,51,11
OR4100076,BANKS WATER DEPARTMENT,Community water system,Surface water,Washington,-,1775,11,157,11
OR4100140,BARLOW TRAIL ESTATES,Community water system,Ground water,Clackamas,-,180,5,72,5
OR4100909,BARLOW WATER DISTRICT,Community water system,Ground water,Wasco,-,600,22,125,6
OR4100078,"BARLOW, CITY OF",Community water system,Ground water,Clackamas,-,140,5,100,5
OR4101169,BARNES BUTTE HOA,Community water system,Ground water,Crook,-,146,3,45,4
OR4190921,BAY AIRE MOBILE HOME PARK,Community water system,Ground water,Tillamook,-,82,6,70,5
OR4100079,BAY CITY WATER SYSTEM,Community water system,Ground water,Tillamook,-,1265,6,49,6
OR4100564,BAY HILLS WATER ASSOCIATION,Community water system,Surface water,Lincoln,-,45,5,68,9
OR4100050,BEAR CREEK MOBILE HOME PARK,Community water system,Ground water,Jackson,-,120,7,86,5
