PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
PA4410010,A B C #2 MOBILE HOME PARK,Community water system,Ground water,Lycoming,-,75,3,58,3
PA3060127,ABRAXAS ACADEMY,Community water system,Ground water,Berks,-,156,4,56,4
PA7360020,ACORN ACRES,Community water system,Ground water,Lancaster,-,50,4,45,6
PA3060015,ACORNS MHP,Community water system,Ground water,Berks,-,50,4,104,6
PA7010056,ADAMS CNTY FAC CTR,Community water system,Ground water,Adams,-,450,4,23,4
PA4550006,ADAMS TWP MUNICIPAL AUTHORITY,Community water system,Ground water,Snyder,-,225,6,106,6
PA4110033,ADAMS TWP WATER AUTH,Community water system,Surface water purchased,Cambria,-,2000,6,15,7
PA7360001,ADAMSTOWN BOROUGH,Community water system,Ground water,Lancaster,-,1800,8,110,7
PA4560028,ADDISON AREA WATER AUTH,Community water system,Ground water,Somerset,-,284,4,80,6
PA6420010,AIKEN WATER COMPANY,Community water system,Ground water,McKean,-,850,5,179,6
PA7360128,AKRON BOROUGH,Community water system,Ground water,Lancaster,-,4200,10,29,4
PA5260027,ALBERT GALLATIN MUNI AUTH,Community water system,Surface water,Fayette,-,2905,3,104,12
PA6250007,ALBION BOROUGH,Community water system,Ground water,Erie,-,5731,15,71,6
PA3390045,ALBURTIS BOROUGH AUTHORITY,Community water system,Ground water,Lehigh,-,2117,13,18,7
PA5020070,ALEPPO TWP AUTH,Community water system,Surface water purchased,Allegheny,-,2200,4,23,15
PA7220007,ALEX ACRES MHP,Community water system,Ground water,Dauphin,-,108,6,101,6
PA4310021,ALEXANDRIA BORO WATER AUTH,Community water system,Surface water,Huntingdon,-,815,6,105,9
PA4440008,ALLENSVILLE MUNI AUTH,Community water system,Surface water,Mifflin,-,480,5,124,7
PA4070023,ALTOONA WATER AUTHORITY,Community water system,Surface water,Blair,-,62500,33,232,5
PA7670125,AMBER HILL MHP,Community water system,Ground water,York,-,70,4,69,5
PA1460020,AMBLER BORO WATER DEPT,Community water system,Surface water,Montgomery,-,20000,33,274,6
PA5040008,AMBRIDGE WATER AUTH,Community water system,Surface water,Beaver,-,19500,5,97,13
PA2080013,AMERICAN MODERN HOMES,Community water system,Ground water,Bradford,-,100,3,96,5
PA4410002,AMERICAN TEMPO VILLAGE PARK,Community water system,Ground water,Lycoming,-,88,3,59,3
PA6200054,AMES TRAILER COURT,Community water system,Ground water,Crawford,-,36,6,118,4
PA7010017,ANCHOR ESTATES,Community water system,Ground water,Adams,-,300,5,34,5
PA5040018,ANKROM ACRES MHP,Community water system,Ground water,Beaver,-,24,4,157,11
PA6170003,ANSONVILLE WATER AUTHORITY,Community water system,Groundwater under influence of surface water,Clearfield,-,38,7,59,5
PA7280063,ANTRIM TOWNSHIP MUNICIPAL AUTH,Community water system,Groundwater under influence of surface water,Franklin,-,975,4,104,6
PA4180067,APPALACHIAN UTILITIES INC,Community water system,Ground water,Clinton,-,3000,10,42,7
PA4070050,APPLE BLOSSOM LANE MHP,Community water system,Ground water,Blair,-,31,3,44,8
PA1150094,APPLEVILLE MOBILE HOME PARK,Community water system,Ground water,Chester,-,461,17,387,7
PA2400083,AQUA PA APPLEWOOD,Community water system,Ground water,Luzerne,-,82,3,66,4
PA2400085,AQUA PA BARRETT,Community water system,Ground water,Luzerne,-,107,3,73,4
PA2400114,AQUA PA BEECH MOUNTAIN,Community water system,Ground water,Luzerne,-,2325,6,159,3
PA1090078,AQUA PA BENSALEM,Community water system,Surface water purchased,Bucks,-,44543,11,12,7
PA1150155,AQUA PA BEVERSREDE,Community water system,Surface water purchased,Chester,-,2300,8,16,7
PA1090001,AQUA PA BRISTOL,Community water system,Surface water,Bucks,-,28728,17,42,8
PA2660018,AQUA PA BUNKER HILL,Community water system,Ground water,Wyoming,-,210,4,134,4
PA1090005,AQUA PA CHALFONT,Community water system,Ground water,Bucks,-,5900,15,62,6
PA6620021,AQUA PA CLARENDON,Community water system,Ground water,Warren,-,840,6,36,5
PA3390028,AQUA PA COUNTRY CLUB GARDENS,Community water system,Ground water,Lehigh,-,268,9,24,6
PA6200014,AQUA PA CRAWFORD DIV,Community water system,Ground water,Crawford,-,2300,8,75,6
PA3540070,AQUA PA EAGLE ROCK UTILITIES,Community water system,Ground water,Schuylkill,-,956,18,125,5
