PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
RI1000009,"ABBEY LANE COMMUNITY ASSN., INC.",Community water system,Ground water,Providence,FOSTER,45,9,13,42
RI2519426,ALPINE NURSING HOME,Community water system,Ground water,Kent,COVENTRY,105,6,2,56
RI1000045,BETHEL VILLAGE WATER ASSN,Community water system,Ground water,Washington,HOPKINTON,180,7,11,63
RI1858430,BLOCK ISLAND WATER COMPANY,Community water system,Ground water,Washington,NEW SHOREHAM,9999,16,62,119
RI2814410,BLUEBERRY HEIGHTS HOUSING COOPERATIVE CO,Community water system,Ground water,Kent,WEST GREENWICH,44,10,10,84
RI2674924,BORDER HILL MOBILE HOME PARK,Community water system,Ground water,Washington,CHARLESTOWN,75,7,3,57
RI1647515,BRISTOL COUNTY WATER AUTHORITY,Community water system,Surface water,Bristol,"BARRINGTON, BRISTOL, WARREN",51000,30,35,88
RI1900053,CANONCHET CLIFFS WATER ASSOCIATION INC.,Community water system,Ground water,Washington,HOPKINTON,154,16,17,34
RI1000035,CASTLE ROCK CONDOMINIUMS,Community water system,Ground water,Washington,CHARLESTOWN,292,11,6,64
RI1647512,CENTRAL BEACH FIRE DISTRICT,Community water system,Ground water,Washington,CHARLESTOWN,470,8,11,61
RI2519424,CHIMERA INC,Community water system,Ground water,Providence,GLOCESTER,155,7,55,100
RI2980017,CHURCH WOODS,Community water system,Ground water,Washington,CHARLESTOWN,98,9,7,47
RI2980452,CNE - HOPKINS HILL ROAD ENTRY POINT,Community water system,Ground water purchased,Kent,COVENTRY,317,2,5,2
RI2980453,CNE - NEW LONDON TURNPIKE ENTRY POINT,Community water system,Ground water purchased,Kent,COVENTRY,9999,2,9,3
RI1647530,"CUMBERLAND, TOWN OF",Community water system,Surface water,Providence,CUMBERLAND,22864,30,28,103
RI1615610,EAST PROVIDENCE-CITY OF,Community water system,Surface water purchased,Providence,EAST PROVIDENCE,48688,6,9,9
RI2980414,ECHO LAKE WATER DISTRICT,Community water system,Ground water,Providence,GLOCESTER,200,7,1,2
RI1647516,ELEANOR SLATER HOSPITAL ZAMBARANO UNIT,Community water system,Surface water,Providence,BURRILLVILLE,540,7,31,66
RI2980475,EXETER JOB CORPS CENTER,Community water system,Ground water purchased,Washington,EXETER,300,7,0,3
RI2980001,FOUR SEASONS MHP CO-OP ASSN.,Community water system,Ground water,Newport,TIVERTON,44,6,5,47
RI1583825,GLENDALE WATER ASSN,Community water system,Ground water,Providence,BURRILLVILLE,100,6,52,56
RI1858410,GREENVILLE WATER DISTRICT,Community water system,Surface water purchased,Providence,SMITHFIELD,9500,5,9,8
RI2000059,"HARMONY HILL SCHOOL, INC.",Community water system,Ground water,Providence,GLOCESTER,199,8,1,63
RI1858411,HARRISVILLE FIRE DISTRICT,Community water system,Ground water,Providence,BURRILLVILLE,2970,15,4,55
RI2000083,HEBERT HEALTH CENTER,Community water system,Ground water,Providence,SMITHFIELD,133,10,9,61
RI1858435,HEMLOCK VILLAGE,Community water system,Ground water,Providence,FOSTER,33,6,16,58
RI2051311,HERITAGE PARK HOME CO-OPERATIVE,Community water system,Ground water,Newport,TIVERTON,60,6,14,63
RI2942525,"HILLSDALE HOUSING COOPERATIVE, INC.",Community water system,Ground water,Washington,SOUTH KINGSTOWN,170,11,33,56
RI2674925,INDIAN CEDAR MOBILE HOME PARK,Community water system,Ground water,Washington,CHARLESTOWN,200,6,14,54
RI1858419,JAMESTOWN WATER DEPARTMENT,Community water system,Surface water,Newport,JAMESTOWN,3178,9,16,87
RI2980435,JOHNSTON WATER CTRL FAC. - CAPITOL ST.,Community water system,Surface water purchased,Providence,JOHNSTON,55,3,3,3
RI2980433,JOHNSTON WATER CTRL FAC. - EVERBLOOM ST.,Community water system,Surface water purchased,Providence,JOHNSTON,48,3,4,3
RI2980434,JOHNSTON WATER CTRL FAC. - NARDOLILLO ST,Community water system,Surface water purchased,Providence,JOHNSTON,55,3,4,3
RI2980432,JOHNSTON WATER CTRL FAC. - TAYLOR ROAD,Community water system,Surface water purchased,Providence,JOHNSTON,70,3,3,3
RI2980183,JOHNSTON WATER CTRL FAC. - WEST END,Community water system,Surface water purchased,Providence,JOHNSTON,4230,5,22,48
