PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
SC3250104,AAA CHASEHUNT FARMS (3250104),Community water system,Ground water,Lexington,LEXINGTON,80,2,5,10
SC3250024,AAA HILTON SOUND (SC3250024),Community water system,Ground water,Lexington,BALLENTINE,50,3,16,27
SC3250030,AAA LAKESIDE FOREST 2 (3250030),Community water system,Surface water purchased,Lexington,GILBERT,43,7,7,32
SC4050004,AAA LANDS POINT S/D (SC4050004),Community water system,Ground water,Richland,BALLENTINE,50,3,7,27
SC3250014,AAA MURRAY HILL ESTATES (3250014),Community water system,Ground water,Lexington,GILBERT,134,3,7,30
SC4150007,AAA PERRY WATER SYSTEM (4150007),Community water system,Ground water,Saluda,LEESVILLE,88,5,83,28
SC3270011,AAA RAPHA RESIDENTIAL CARE (3270011),Community water system,Ground water,Lexington,GASTON,69,3,3,19
SC3250105,AAA RIDGE POINT S/D (3250105),Community water system,Ground water,Lexington,GASTON,85,3,1,5
SC3250099,AAA ROCKFORD PLACE-CHARWOOD (3250099),Community water system,Ground water,Lexington,WEST COLUMBIA,20,4,2,12
SC3250102,AAA SHEALY ESTATES III (3250102),Community water system,Ground water,Lexington,LEXINGTON,34,2,0,11
SC3250097,AAA WILD MEADOWS S/D (SC3250097),Community water system,Ground water,Lexington,LEXINGTON,878,5,10,12
SC0110001,ABBEVILLE CITY OF (0110001),Community water system,Surface water,Abbeville,ABBEVILLE,5362,4,15,28
SC4660115,ADNAH HILLS MHP (SC4660115),Community water system,Ground water,York,ROCK HILL,300,5,1,15
SC0210001,AIKEN CITY OF (0210001),Community water system,Surface water,Aiken,AIKEN,42286,17,12,22
SC0250009,AIKEN-VALE SVC C CITY OF (0250009),Community water system,Ground water,Aiken,AIKEN,145,4,2,30
SC0320002,ALLENDALE INDUSTRIAL PARK (0320002),Community water system,Ground water,Allendale,ALLENDALE,2270,4,11,36
SC0310001,ALLENDALE TOWN OF (0310001),Community water system,Ground water,Allendale,ALLENDALE,3882,9,12,43
SC1320004,ALLIGATOR RURAL WATER (1320004),Community water system,Ground water,Chesterfield,MCBEE,4064,31,12,21
SC4360012,AMERICAN MH PLAZA (4360012),Community water system,Ground water,Sumter,SUMTER,200,7,9,35
SC3250077,AMICKS FERRY WTR SYSTEM (3250077),Community water system,Surface water purchased,Lexington,CHAPIN,3655,12,3,22
SC0420011,ANDERSON REGIONAL JOINT WS (SC0420011),Community water system,Surface water,Anderson,ANDERSON,25,3,2,11
SC2210003,ANDREWS TOWN OF (2210003),Community water system,Ground water,Georgetown,ANDREWS,3518,11,12,33
SC4060038,ASHLEY ACRES INC (4060038),Community water system,Ground water,Richland,HOPKINS,64,6,16,26
SC0240002,AVONDALE MILLS INC (SC0240002),Community water system,Ground water purchased,Aiken,-,1234,8,14,24
SC1010504,AWENDAW TOWN OF (SC1010504),Community water system,Ground water,Charleston,AWENDAW,473,4,0,10
SC0510001,BAMBERG PUBLIC WORKS (0510001),Community water system,Ground water,Bamberg,BAMBERG,3735,14,5,36
SC0610001,BARNWELL TOWN OF (SC0610001),Community water system,Ground water,Barnwell,BARNWELL,4563,18,4,40
SC1420002,BARRINEAU WATER SYSTEM (1420002),Community water system,Ground water,Clarendon,BARRINEAU CROSSROADS,1747,5,1,32
SC3260164,BASIN ROCK MHP (3260164),Community water system,Ground water,Lexington,LEXINGTON,190,3,4,29
SC3210002,BATESBURG LEESVILLE DPW (3210002),Community water system,Surface water,Lexington,BATESBURG,5940,4,20,22
SC3210011,BATESBURG-LEESVILLE #2 (3210011),Community water system,Ground water purchased,Lexington,BATESBURG,500,2,0,9
SC0220003,BATH W/D (0220003),Community water system,Ground water,Aiken,BATH,751,6,4,37
