PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
TN0000002,ADAMSVILLE WATER SYSTEM,Community water system,Ground water,McNairy,ADAMSVILLE,8878,13,9,32
TN0000005,ALAMO WATER DEPARTMENT,Community water system,Ground water,Crockett,ALAMO,3175,9,6,27
TN0000007,ALCOA WATER SYSTEM,Community water system,Surface water,Blount,"ALCOA, MARYVILLE",30123,12,11,26
TN0000008,ALEXANDRIA WATER SYSTEM,Community water system,Surface water purchased,DeKalb,-,3130,5,10,15
TN0000009,ALGOOD WATER SYSTEM,Community water system,Surface water purchased,Putnam,-,8552,6,10,15
TN0000010,ALLARDT WATER WORKS,Community water system,Surface water purchased,Fentress,-,3432,7,23,15
TN0000974,ALLENDALE MOBILE HOME PARK,Community water system,Ground water,Blount,"FRIENDSVILLE, LOUISVILLE",88,6,26,34
TN0000014,ALPHA-TALBOTT UTILITY DISTRICT,Community water system,Surface water purchased,Hamblen,-,17664,8,1,15
TN0000514,ANDERSON COUNTY WATER AUTHORITY,Community water system,Surface water,Anderson,LAKE CITY,25404,25,32,19
TN0000948,"AQUA UTILITIES CO, INC",Community water system,Ground water purchased,Hardin,-,968,3,11,10
TN0000018,ARDMORE WATER SYSTEM,Community water system,Ground water,Giles,ARDMORE,1694,19,3,18
TN0000022,ARTHUR-SHAWANEE UTILITY DISTRICT,Community water system,Surface water,Claiborne,HARROGATE,9967,11,15,31
TN0000023,ASHLAND CITY WATER DEPARTMENT,Community water system,Surface water,Cheatham,ASHLAND CITY,7849,11,6,17
TN0000024,ATHENS UTILITIES BOARD,Community water system,Surface water,McMinn,ATHENS,19930,13,31,48
TN0000033,ATOKA WATER SYSTEM,Community water system,Ground water purchased,Tipton,-,9039,5,14,13
TN0000035,ATWOOD WATER SYSTEM,Community water system,Ground water,Carroll,ATWOOD,1327,10,5,27
TN0000038,BANGHAM UTILITY DISTRICT,Community water system,Surface water purchased,Putnam,-,8043,3,3,14
TN0000765,BARTLETT WATER SYSTEM,Community water system,Ground water,Shelby,BARTLETT,57670,22,3,40
TN0000040,BAXTER WATER DEPARTMENT,Community water system,Surface water purchased,Putnam,BAXTER,6095,7,15,15
TN0000805,BAYS MOUNTAIN MOBILE HOME PARK,Community water system,Groundwater under influence of surface water,Blount,ROCKFORD,85,6,44,20
TN0000041,BEAN STATION UTILITY DISTRICT,Community water system,Surface water purchased,Grainger,BEAN STATION,8454,11,7,26
TN0000517,BEDFORD COUNTY UTILITY DISTRICT,Community water system,Surface water,Bedford,SHELBYVILLE,18531,20,32,20
TN0000044,BELL BUCKLE WATER SYSTEM,Community water system,Surface water purchased,Bedford,-,2336,5,28,14
TN0000045,BELLS PUBLIC UTILITY DISTRICT,Community water system,Ground water,Crockett,BELLS,2578,12,8,17
TN0000046,BELVIDERE RURAL UTILITY DISTRICT,Community water system,Groundwater under influence of surface water,Franklin,BELVIDERE,1992,11,21,25
TN0000048,BENTON WATER SYSTEM,Community water system,Ground water,Polk,BENTON,2710,11,9,41
TN0000050,BETHEL SPRINGS WATER SYSTEM,Community water system,Ground water,McNairy,BETHEL SPRINGS,934,8,11,29
TN0000122,BIG CREEK UTILITY DISTRICT,Community water system,Surface water,Grundy,ALTAMONT,7915,10,38,49
TN0000051,BIG SANDY WATER DEPARTMENT,Community water system,Ground water,Benton,BIG SANDY,1123,8,3,36
TN0008285,BLACKBERRY MOUNTAIN L.L.C.,Community water system,Ground water,Blount,-,75,8,0,1
TN0000056,BLOOMINGDALE UTILITY DISTRICT,Community water system,Surface water,Sullivan,KINGSPORT,13173,13,17,32
TN0000058,BLOUNTVILLE UTILITY DISTRICT,Community water system,Surface water purchased,Sullivan,-,12630,11,2,24
TN0000958,BLUEBIRD HILLS SMALL COMMUNITY WATER DIS,Community water system,Groundwater under influence of surface water,Humphreys,DICKSON,97,8,137,9
TN0000061,BLUFF CITY WATER DEPARTMENT,Community water system,Groundwater under influence of surface water,Sullivan,BLUFF CITY,2496,8,53,75
TN0000063,BOLIVAR WATER SYSTEM,Community water system,Ground water,Hardeman,BOLIVAR,7782,13,6,24
TN0000066,BON AQUA-LYLES UTILITY DISTRICT,Community water system,Surface water,Hickman,LYLES,10470,14,21,19
TN0000653,BON DE CROFT UTILITY DISTRICT,Community water system,Surface water,White,SPARTA,3795,7,8,14
TN0000067,BRADFORD WATER SYSTEM,Community water system,Ground water,Gibson,BRADFORD,1285,7,4,31
TN0000069,BRENTWOOD WATER DEPTARTMENT,Community water system,Surface water purchased,Williamson,BRENTWOOD,28950,15,3,14
TN0000070,BRIGHTON WATER SYSTEM,Community water system,Ground water purchased,Tipton,-,3662,9,12,19
TN0000073,BRISTOL DEPTARTMENT OF UTILITIES,Community water system,Surface water,Sullivan,BRISTOL,33199,17,28,43
TN0000079,BRISTOL-BLUFF CITY UTILITY DISTRICT,Community water system,Surface water,Sullivan,BRISTOL,5868,9,104,39
TN0000480,BROWNLOW UTILITY DISTRICT,Community water system,Purchased ground water under influence of surface water source,Johnson,MOUNTAIN CITY,546,8,77,57
TN0000080,BROWNSVILLE WATER DEPT,Community water system,Ground water,Haywood,BROWNSVILLE,13621,18,8,36
TN0000081,BRUCETON WATER SYSTEM,Community water system,Ground water,Carroll,BRUCETON,1613,13,10,26
TN0000088,BYRDSTOWN WATER DEPT,Community water system,Surface water,Pickett,BYRDSTOWN,7060,6,61,13
TN0000927,CAGLE-FREDONIA UTILITY DIST,Community water system,Surface water purchased,Sequatchie,-,2335,8,3,16
TN0000106,CALHOUN-CHARLESTON UTILITY DISTRICT,Community water system,Surface water purchased,McMinn,-,2713,6,5,20
TN0000090,CAMDEN WATER DEPT,Community water system,Surface water,Benton,CAMDEN,9629,6,14,61
TN0000797,CANDLEWOOD LAKES P.O.A. WATERWORKS,Community water system,Ground water,Hardeman,MIDDLETON,308,7,16,21
TN0000085,CARDERVIEW UTILITY DISTRICT,Community water system,Ground water,Johnson,BUTLER,1077,9,100,55
TN0000095,CARTHAGE WATER SYSTEM,Community water system,Surface water,Smith,"CARTAHAGE, CARTHAGE",2916,10,12,14
TN0000322,CARYVILLE-JACKSBORO UTILITIES COMMISSION,Community water system,Surface water,Campbell,JACKSBORO,11852,29,24,44
TN0000097,CASTALIAN SPRINGS-BETHPAGE U D,Community water system,Surface water purchased,Sumner,-,11611,13,15,14
TN0000098,CEDAR GROVE UTILITY DISTRICT,Community water system,Ground water,Carroll,"CEDAR GROVE, LAVINIA",1364,9,44,58
TN0000099,CELINA WATER SYSTEM,Community water system,Surface water,Clay,CELINA,5721,6,31,18
TN0000101,CENTER GROVE-WINCHESTER SPGS,Community water system,Groundwater under influence of surface water,Franklin,ESTILL SPRINGS,6167,10,20,27
TN0000103,CENTERVILLE WATER SYSTEM,Community water system,Surface water,Hickman,CENTERVILLE,9548,15,38,24
TN0000849,CHALET VILLAGE NORTH,Community water system,Surface water purchased,Sevier,GATLINBURG,409,12,30,32
TN0000875,CHANUTE-PALL MALL UTILITY DIST,Community water system,Surface water purchased,Fentress,-,1327,4,20,9
TN0000104,CHAPEL HILL WATER SYSTEM,Community water system,Groundwater under influence of surface water,Marshall,CHAPEL HILL,1910,9,54,64
TN0000138,CHEROKEE HILLS UTILITY DISTRICT,Community water system,Ground water,Polk,COPPERHILL,309,6,30,41
TN0000108,CHUCKEY UTILITY DISTRICT,Community water system,Surface water purchased,Greene,-,12972,13,20,40
TN0000438,CITY OF MARYVILLE WATER AND SEWER DEPT,Community water system,Surface water,Blount,MARYVILLE,47588,16,2,26
TN0000113,CLAIBORNE UTILITIES DISTRICT,Community water system,Surface water,Claiborne,NEW TAZEWELL,15929,15,26,42
TN0000115,CLARKSBURG UTILITY DISTRICT,Community water system,Ground water,Carroll,"CLARKSBURG, NEW TAZEWELL",1456,11,27,53
TN0000116,CLARKSVILLE WATER DEPARTMENT,Community water system,Surface water,Montgomery,CLARKSVILLE,206500,21,1,15
TN0000826,CLEAR FORK UTILITY DISTRICT,Community water system,Ground water,Claiborne,CLAIRFIELD,1639,11,32,27
TN0000117,CLEVELAND UTILITIES,Community water system,Surface water,Bradley,CLEVELAND,81325,13,4,59
TN0000119,CLIFTON WATER DEPT,Community water system,Surface water,Wayne,CLIFTON,3843,8,64,17
TN0000120,CLINTON UTILITIES BOARD,Community water system,Surface water,Anderson,CLINTON,17974,14,20,24
TN0000485,COLD SPRINGS UTILITY DISTRICT,Community water system,Groundwater under influence of surface water,Johnson,MOUNTAIN CITY,953,9,28,48
TN0000126,COLLIERVILLE WATER DEPT,Community water system,Ground water,Shelby,COLLIERVILLE,46495,27,28,44
TN0000127,COLLINWOOD WATER DEPT,Community water system,Groundwater under influence of surface water,Wayne,COLLINWOOD,1922,14,71,18
TN0000128,COLUMBIA POWER AND WATER SYSTEMS,Community water system,Surface water,Maury,COLUMBIA,61926,19,3,59
TN0000791,CONSOLIDATED U D OF RUTHERFORD,Community water system,Surface water,Rutherford,MURFREESBORO,172615,22,10,18
TN0000134,COOKEVILLE BOAT DOCK ROAD UD,Community water system,Surface water purchased,Putnam,-,6828,3,17,15
TN0000133,COOKEVILLE WATER DEPT,Community water system,Surface water,Putnam,COOKEVILLE,49080,11,3,18
TN0000844,COPPER BASIN UTILITY DISTRICT,Community water system,Surface water,Polk,TURTLETOWN,2821,6,33,35
TN0000136,COPPERHILL WATER DEPT.,Community water system,Surface water purchased,Polk,-,1063,12,29,62
TN0000096,CORDELL HULL UTILITY DISTRICT,Community water system,Surface water purchased,Smith,-,2821,6,14,12
TN0008003,COUNTRY ACRES FARM,Community water system,Ground water,Blount,LOUISVILLE,115,7,5,19
TN0008132,COUNTY LINE TRAILER PARK,Community water system,Ground water,Gibson,ATWOOD,76,6,10,13
TN0000006,COUNTY WIDE UTILITY DISTRICT,Community water system,Ground water,Crockett,ALAMO,8369,40,46,47
TN0000998,COVE MOUNTAIN MOBILE HOME PARK,Community water system,Ground water,Sevier,SEVIERVILLE,91,7,12,25
TN0000144,COVINGTON WATER DEPT,Community water system,Ground water,Tipton,COVINGTON,14436,16,5,19
TN0000146,COWAN BOARD OF PUBLIC UTILITIES,Community water system,Groundwater under influence of surface water,Franklin,COWAN,2412,8,9,26
TN0000147,CRAB ORCHARD UTILITY DISTRICT,Community water system,Surface water,Cumberland,CROSSVILLE,22656,16,13,23
TN0000148,CROCKETT MILLS UTILITY DISTRICT,Community water system,Ground water,Crockett,"ALAMO, CROCKET MILLS, CROCKETT MILLS",793,7,9,21
TN0000149,CROSS ANCHOR UTILITY DISTRICT,Community water system,Surface water purchased,Greene,-,8118,8,16,31
TN0000150,CROSSVILLE WATER DEPT,Community water system,Surface water,Cumberland,CROSSVILLE,30743,10,27,25
TN0000162,CUMBERLAND CITY WATER DEPT.,Community water system,Surface water purchased,Stewart,-,1074,5,9,15
TN0000161,CUMBERLAND GAP WATER SERVICES,Community water system,Purchased ground water under influence of surface water source,Claiborne,CUMBERLAND GAP,404,3,21,19
TN0000166,CUMBERLAND HEIGHTS UTILITY DISTRICT,Community water system,Surface water purchased,Montgomery,-,3271,7,10,16
