PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
UTAH02001,ACME WATER COMPANY,Community water system,Ground water,Box Elder,-,880,16,121,10
UTAH25007,ALPINE CITY,Community water system,Ground water,Utah,-,9500,27,104,10
UTAH25124,ALPINE COVE WATER SSD,Community water system,Ground water,Utah,-,230,6,216,8
UTAH18049,ALTA TOWN WATER SYSTEM,Community water system,Ground water,Salt Lake,-,1397,6,44,11
UTAH13001,ALTON TOWN WATER SYSTEM,Community water system,Ground water,Kane,-,136,8,69,7
UTAH03002,AMALGA TOWN WATER SYSTEM,Community water system,Ground water,Cache,-,495,14,293,7
UTAH25008,AMERICAN FORK CITY,Community water system,Ground water,Utah,-,29500,19,33,11
UTAH27074,ANGELL SPRINGS SSD,Community water system,Ground water,Washington,-,240,13,79,5
UTAH21001,ANNABELLA TOWN WATER SYSTEM,Community water system,Ground water,Sevier,-,700,8,40,9
UTAH09001,ANTIMONY TOWN WATER SYSTEM,Community water system,Ground water,Garfield,-,135,9,103,6
UTAH24013,ASHLEY VALLEY WATER AND SEWER ID,Community water system,Surface water,Uintah,-,9126,13,40,9
UTAH21002,AURORA CITY,Community water system,Ground water,Sevier,-,950,15,9,10
UTAH21003,AUSTIN SSD,Community water system,Ground water,Sevier,-,150,7,231,11
UTAH20051,AXTELL COMMUNITY SERVICE DISTRIBUTION,Community water system,Ground water,Sanpete,-,300,5,89,8
UTAH24001,BALLARD WATER IMPROVEMENT DISTRICT,Community water system,Ground water purchased,Uintah,-,1005,4,39,7
UTAH23044,"BCI-LP HOLDINGS, L.C.",Community water system,Ground water purchased,Tooele,-,200,6,39,8
UTAH02079,BEAR RIVER WCD- COLLINSTON WATER SYSTEM,Community water system,Ground water purchased,Box Elder,-,102,7,4,3
UTAH02002,BEAR RIVER WCD-BEAVER DAM,Community water system,Ground water,Box Elder,-,65,11,98,7
UTAH02068,BEAR RIVER WCD-HARPER WARD,Community water system,Ground water purchased,Box Elder,-,350,2,4,5
UTAH02070,BEAR RIVER WCD-RIVERSIDE-NORTH GARLAND,Community water system,Ground water purchased,Box Elder,-,30,3,6,5
UTAH02066,BEAR RIVER WCD-TREMONTON,Community water system,Ground water,Box Elder,-,0,8,3,5
UTAH01001,BEAVER CITY WATER SYSTEM,Community water system,Ground water,Beaver,-,3142,35,8,9
UTAH03097,BENSON CULINARY IMPROVEMENT DISTRICT,Community water system,Ground water,Cache,-,743,5,80,5
UTAH13049,BEST FRIENDS ANIMAL SOCIETY,Community water system,Ground water,Kane,-,25,15,21,5
UTAH28043,BICKNELL BOTTOMS,Community water system,Ground water purchased,Wayne,-,45,2,12,2
UTAH28001,BICKNELL TOWN WATER SYSTEM,Community water system,Ground water,Wayne,-,380,16,54,8
UTAH27069,BIG PLAINS SW SSD - APPLE VALLEY,Community water system,Ground water,Washington,-,718,6,342,7
UTAH27089,BIG PLAINS SW SSD - CEDAR POINT,Community water system,Ground water,Washington,-,100,7,560,4
UTAH26004,BILLY BETHERS WATER SUPPLY,Community water system,Ground water,Wasatch,-,40,5,270,10
UTAH19001,BLANDING CITY,Community water system,Surface water,San Juan,-,3760,18,94,8
UTAH19002,BLUFF WATER WORKS SERVICE DISTRICT,Community water system,Ground water,San Juan,-,430,15,227,12
UTAH18004,BLUFFDALE WATER SYSTEM,Community water system,Surface water purchased,Salt Lake,-,12000,4,70,8
UTAH29004,BONA VISTA WATER DISTRICT,Community water system,Surface water purchased,Weber,-,25500,25,24,7
UTAH02003,BOTHWELL TOWN WATER SYSTEM,Community water system,Ground water,Box Elder,-,450,7,74,8
UTAH09002,BOULDER FARMSTEAD WATER CO,Community water system,Ground water,Garfield,-,277,14,48,8
UTAH18050,BOUNDARY SPRING WATER CO,Community water system,Ground water,Salt Lake,-,150,5,58,11
UTAH06015,BOUNTIFUL CITY WATER SYSTEM,Community water system,Surface water purchased,Davis,-,37500,56,178,12
UTAH06048,BOYER HILL MILITARY HOUSING,Community water system,Surface water purchased,Davis,-,3300,2,4,1
UTAH25058,BRADFORD ACRES WATER ASSOCIATION,Community water system,Ground water,Utah,-,41,3,50,6
UTAH11001,BRIAN HEAD TOWN WATER SYSTEM,Community water system,Ground water,Iron,-,118,24,260,8
UTAH22117,BRIDGE HOLLOW WATER ASSOCIATION,Community water system,Ground water,Summit,-,60,7,96,5
UTAH17001,BRIDGERLAND VILLAGE WATER CO,Community water system,Ground water,Rich,-,240,11,28,5
UTAH02004,BRIGHAM CITY WATER SYSTEM,Community water system,Ground water,Box Elder,-,21176,37,41,9
UTAH21004,BROOKLYN TAPLINE CO INC,Community water system,Ground water purchased,Sevier,-,155,2,91,8
UTAH09045,BRYCE CANYON NATIONAL PARK,Community water system,Ground water,Garfield,-,35,9,75,11
UTAH11053,BUENA VISTA COMMUNITY,Community water system,Ground water,Iron,-,400,5,93,4
UTAH11089,BUMBLEBEE WATER SYSTEM,Community water system,Ground water,Iron,-,60,4,5,1
UTAH09003,CANNONVILLE TOWN WATER SYSTEM,Community water system,Ground water,Garfield,-,220,8,74,8
UTAH26069,CANYON MEADOWS MUTUAL WATER COMPANY,Community water system,Surface water,Wasatch,-,85,10,44,7
UTAH28011,CAPITOL REEF NATIONAL PARK,Community water system,Ground water,Wayne,-,1081,8,38,11
UTAH29093,CASEY ACRES WATER COMPANY,Community water system,Ground water,Weber,-,36,4,12,5
UTAH08001,CASTLEDALE,Community water system,Surface water,Emery,-,1700,9,82,9
UTAH11002,CEDAR CITY WATERWORKS,Community water system,Ground water,Iron,-,29162,47,183,8
UTAH25009,CEDAR FORT WATER SYSTEM,Community water system,Ground water,Utah,-,387,11,273,10
UTAH11042,CEDAR HIGHLANDS SUBDIVISION,Community water system,Ground water,Iron,-,284,15,17,8
UTAH25137,CEDAR HILLS TOWN WATER SYSTEM,Community water system,Ground water,Utah,-,10261,9,29,5
UTAH02051,CEDAR RIDGE DISTRIBUTION COMPANY,Community water system,Ground water,Box Elder,-,100,8,132,5
UTAH07072,CEDARVIEW MONTWELL SSD,Community water system,Surface water purchased,Duchesne,-,402,5,6,2
UTAH26002,CENTER CREEK WATER SYSTEM,Community water system,Ground water,Wasatch,-,200,10,209,9
UTAH20001,CENTERFIELD TOWN WATER SYSTEM,Community water system,Ground water,Sanpete,-,1367,11,130,9
UTAH06001,CENTERVILLE CITY WATER SYSTEM,Community water system,Surface water purchased,Davis,-,16000,37,10,8
UTAH27002,CENTRAL CULINARY WATER CO,Community water system,Ground water,Washington,-,35,8,117,7
UTAH15004,CENTRAL ENTERPRISE WATER CO,Community water system,Ground water,Morgan,-,425,7,7,10
UTAH11085,CENTRAL IRON COUNTY WCD,Community water system,Ground water,Iron,-,2200,22,10,7
UTAH24038,CENTRAL UTAH WCD - ASHLEY VALLEY,Community water system,Surface water,Uintah,-,0,12,33,8
UTAH07050,CENTRAL UTAH WCD - DUCHESNE VALLEY,Community water system,Surface water,Duchesne,-,0,7,77,7
UTAH25112,CENTRAL UTAH WCD - UTAH VALLEY,Community water system,Surface water,Utah,-,0,15,52,10
UTAH21006,CENTRAL VALLEY TOWN,Community water system,Ground water,Sevier,-,532,14,342,9
UTAH26003,CHARLESTON WCD,Community water system,Ground water,Wasatch,-,480,12,99,7
UTAH11087,CHEKSHANI CLIFFS HOA,Community water system,Ground water,Iron,-,75,4,84,4
