PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
VA5031980,501 TRAILER COURT,Community water system,Ground water,Campbell,-,290,9,7,23
VA3001028,ACCOMACK MANOR,Community water system,Ground water,Accomack,-,155,7,47,10
VA6113100,ACHSAH ACRES,Community water system,Ground water,Madison,-,63,10,30,15
VA2003050,ACSA CROZET,Community water system,Surface water purchased,Albemarle,-,8628,2,3,17
VA2003054,ACSA RED HILL,Community water system,Ground water,Albemarle,-,240,5,0,6
VA2003051,ACSA SCOTTSVILLE,Community water system,Surface water purchased,Albemarle,-,715,4,1,19
VA2003053,ACSA URBAN AREA,Community water system,Surface water purchased,Albemarle,-,63638,17,0,22
VA4193040,ADAMS GROVE,Community water system,Ground water,Westmoreland,-,33,5,0,15
VA5025050,"ALBERTA, TOWN OF",Community water system,Surface water purchased,Brunswick,-,300,9,16,19
VA6107010,ALDIE WATER COMPANY,Community water system,Ground water,Loudoun,-,70,6,144,16
VA6510010,"ALEXANDRIA, CITY OF",Community water system,Surface water purchased,-,ALEXANDRIA,146970,27,3,14
VA5031050,"ALTAVISTA, TOWN OF",Community water system,Surface water,Campbell,-,3850,24,14,34
VA5067020,ALTON PARK,Community water system,Ground water,Franklin,-,66,11,12,22
VA5007135,AMELIA COURTHOUSE,Community water system,Ground water,Amelia,-,3100,19,11,22
VA6099025,AMER HISTORYLAND CORP TR PK,Community water system,Ground water,King George,-,40,4,3,16
VA5009250,AMHERST CO SERVICE AUTHORITY (ACSA),Community water system,Surface water,Amherst,-,13619,10,6,34
VA5009050,"AMHERST, TOWN OF",Community water system,Surface water,Amherst,-,2190,6,23,43
VA5117096,ANCHOR COVE SUBDIVISION,Community water system,Ground water,Mecklenburg,-,120,9,8,17
VA6179750,ANNES MHP,Community water system,Ground water,Stafford,-,110,6,73,14
VA1195050,"APPALACHIA, TOWN OF",Community water system,Surface water,Wise,-,2745,26,26,43
VA1167015,APPALACHIAN DETENTION CENTER,Community water system,Surface water,Russell,-,140,13,2,39
VA4041035,APPOMATTOX RIVER WATER AUTHORITY,Community water system,Surface water,Chesterfield,-,0,5,2,39
VA5011050,APPOMATTOX WATER SYSTEM,Community water system,Surface water purchased,Appomattox,-,1761,33,14,23
VA6013010,ARLINGTON COUNTY,Community water system,Surface water purchased,Arlington,-,215000,18,4,12
VA6013500,ARLINGTON COUNTY - WILLSTON AREA,Community water system,Surface water purchased,Arlington,-,1352,2,12,8
VA3131008,ARLINGTON PLANTATION,Community water system,Ground water,Northampton,-,45,5,50,5
VA2023030,ASHLEY PLANTATION,Community water system,Ground water,Botetourt,-,996,21,3,16
VA6047010,ASHMORE ACRES,Community water system,Ground water,Culpeper,-,31,5,9,14
VA2017030,ASHWOOD - BCSA,Community water system,Ground water,Bath,-,500,5,2,17
VA1173023,ATKINS EXTENSION-SMYTH CO PSA,Community water system,Surface water purchased,Smyth,-,280,4,15,10
VA6061008,AUBURN CROSSING,Community water system,Ground water,Fauquier,-,118,7,0,16
VA2015025,AUGUSTA SPRINGS - ACSA,Community water system,Groundwater under influence of surface water,Augusta,-,278,5,6,27
VA4085047,AVONDALE,Community water system,Ground water,Hanover,-,1285,16,5,17
VA3053210,AZZIE MANOR HFA,Community water system,Ground water,Dinwiddie,-,39,4,113,10
VA6047015,BAILEYS TRAILER PARK,Community water system,Ground water,Culpeper,-,84,6,56,15
VA6061020,BALDWIN RIDGE,Community water system,Ground water,Fauquier,-,25,4,6,14
VA4103100,BALL POINT,Community water system,Ground water,Lancaster,-,51,6,3,19
VA1185763,BAPTIST VALLEY,Community water system,Surface water purchased,Tazewell,-,3857,45,0,10
VA1185047,BARKAY ESTATES,Community water system,Ground water,Tazewell,-,85,7,9,19
VA1051107,BARTLICK/BREAKS - DCPSA,Community water system,Surface water purchased,Dickenson,-,335,7,1,10
VA2017095,BATH COUNTY REGIONAL - BCSA,Community water system,Ground water,Bath,-,1418,26,3,15
VA4133040,BAY QUARTER SHORES,Community water system,Ground water,Northumberland,-,726,12,1,20
VA3131061,BAYVIEW,Community water system,Ground water,Northampton,-,160,7,24,8
VA6107037,BEACON HILL-LCSA,Community water system,Ground water,Loudoun,-,329,9,4,12
VA6061129,BEALETON REGIONAL,Community water system,Groundwater under influence of surface water,Fauquier,-,4901,20,1,22
VA2003150,BEDFORD HILLS,Community water system,Ground water,Albemarle,-,58,11,71,30
VA5019052,BEDFORD REGIONAL WATER AUTHORITY (BRWA),Community water system,Surface water,Bedford,-,30133,30,0,2
VA3149100,BEECHWOOD MANOR /JOJ,Community water system,Ground water,Prince George,-,1035,14,3,18
VA1167051,BELFAST - RCPSA,Community water system,Surface water purchased,Russell,-,1600,10,3,7
VA4159100,BELL ACRES,Community water system,Ground water,Richmond,-,63,7,4,16
VA1155050,BELLAVISTA ESTATES,Community water system,Ground water,Pulaski,-,45,5,37,19
VA4133080,BELLS COVE SUBDIVISION,Community water system,Ground water,Northumberland,-,140,9,3,13
VA1121043,BELVIEW,Community water system,Surface water purchased,Montgomery,-,850,2,1,10
VA4193120,BERKLEY BEACH - EBB TIDE BEACH,Community water system,Ground water,Westmoreland,-,718,17,0,17
VA5067035,BERNARDS LANDING,Community water system,Ground water,Franklin,-,500,8,8,28
VA6061050,BETHEL ACADEMY SUBDIVISION,Community water system,Ground water,Fauquier,-,448,10,32,16
VA1121045,BETHEL AREA,Community water system,Surface water purchased,Montgomery,-,1247,5,3,11
VA3093111,BETHEL HEIGHTS,Community water system,Ground water,Isle of Wight,-,58,6,16,13
VA1121048,BETHEL WOODS SUBDIVISION,Community water system,Ground water,Montgomery,-,126,6,36,21
VA5143040,BEVRICH MOBILE HOME PARK,Community water system,Ground water,Pittsylvania,-,62,6,6,17
VA3149050,BEXLEY PARK,Community water system,Ground water,Prince George,-,240,10,34,24
VA1063047,BIG ROCK TRAILER PARK,Community water system,Ground water,Floyd,-,60,5,5,19
VA1195100,"BIG STONE GAP, TOWN OF",Community water system,Surface water,Wise,-,9372,38,27,36
VA3183820,BIRCH ISLAND APARTMENTS,Community water system,Ground water,Sussex,-,128,8,17,17
VA3800080,BIRDSONG WATERWORKS,Community water system,Ground water,-,SUFFOLK,71,6,92,10
VA4101030,BLACK CREEK SUBDIVISION,Community water system,Ground water,King William,-,55,8,2,11
VA2165030,BLACK ROCK MOBILE HOME PARK,Community water system,Ground water,Rockingham,-,220,6,10,15
VA4103130,BLACK STUMP,Community water system,Ground water,Lancaster,-,81,5,5,16
VA2015060,BLACKBURN - ACSA,Community water system,Surface water purchased,Augusta,-,955,3,0,10
VA1121052,"BLACKSBURG, TOWN OF",Community water system,Surface water purchased,Montgomery,-,34578,13,1,9
VA5135100,"BLACKSTONE, TOWN OF",Community water system,Surface water,Nottoway,-,6345,14,23,36
VA1021043,BLAND COMMUNITY WATER AUTHORITY,Community water system,Groundwater under influence of surface water,Bland,-,490,11,32,40
VA1021046,BLAND CORRECTIONAL CENTER,Community water system,Surface water,Bland,-,750,7,26,41
VA4193520,BLEAK HALL,Community water system,Ground water,Westmoreland,-,143,11,1,15
VA2023040,BLUE RIDGE COMMUNITY,Community water system,Ground water,Botetourt,-,30,5,11,25
