"PWS ID","PWS Name","PWS Type","Primary Source","Counties Served","Cities Served","PopulationServed Count","Number of Facilities","Number of Violations","Number of Site Visits"
"VT0020800","100 MOUNTAIN VIEW ROAD PARK","Community water system","Surface water purchased","Bennington","BENNINGTON","290","3","7","6"
"VT0005188","ALBANY WATER SYSTEM","Community water system","Ground water","Orleans","ALBANY","200","8","24","20"
"VT0005137","ALBURGH FIRE DISTRICT 1","Community water system","Surface water","Grand Isle","ALBURG","87","7","53","30"
"VT0020964","ALBURGH FIRE DISTRICT 2","Community water system","Surface water purchased","Grand Isle","ALBURG","150","3","7","3"
"VT0005136","ALBURGH VILLAGE WATER SYSTEM","Community water system","Surface water","Grand Isle","ALBURG","576","8","49","18"
"VT0005359","ALPEN MEADOWS","Community water system","Ground water","Windsor","LUDLOW","112","6","22","12"
"VT0005208","ALPINE HAVEN","Community water system","Ground water","Orleans","WESTFIELD","250","13","14","13"
"VT0005628","ALTA GARDENS ESTATES","Community water system","Ground water","Bennington","POWNAL","147","5","40","37"
"VT0020791","APPLEGATE APARTMENTS","Community water system","Surface water purchased","Bennington","BENNINGTON","273","3","28","5"
"VT0005110","AQUA HAVEN","Community water system","Ground water","Essex","EAST HAVEN","150","6","46","16"
"VT0005013","ARLINGTON WATER DEPT","Community water system","Ground water","Bennington","ARLINGTON","1,250","11","7","13"
"VT0005180","ARMSTRONGS MHP","Community water system","Ground water","Orange","RANDOLPH","45","7","41","15"
"VT0005339","ASCUTNEY FD #2","Community water system","Ground water","Windsor","WEATHERSFIELD","485","8","26","16"
"VT0005114","BAKERSFIELD FIRE DISTRICT 1","Community water system","Ground water","Franklin","BAKERSFIELD","446","4","18","13"
"VT0005029","BARNET FD 2","Community water system","Ground water","Caledonia","BARNET","205","13","182","15"
"VT0005254","BARRE CITY WATER SYSTEM","Community water system","Surface water","Washington","BARRE CITY","14,000","14","6","16"
"VT0005566","BARRE TOWN WATER SYSTEM","Community water system","Surface water purchased","Washington","BARRE TOWN","1,210","11","4","13"
"VT0005189","BARTON WATER SYSTEM","Community water system","Surface water","Orleans","BARTON","950","6","31","17"
"VT0005397","BATTLEGROUND CONDOMINIUM","Community water system","Ground water","Washington","FAYSTON","166","9","18","21"
"VT0005563","BEAR CREEK CONDOMINIUM","Community water system","Ground water","Windham","JAMAICA","116","5","14","13"
"VT0005578","BEARS CROSSING WATER SYSTEM","Community water system","Ground water","Windham","DOVER","333","8","8","15"
"VT0005625","BEEBE PLAIN WATER SYSTEM","Community water system","Ground water purchased","Orleans","DERBY","142","15","31","12"
"VT0005298","BELLOWS FALLS WATER DEPT","Community water system","Surface water","Windham","ROCKINGHAM","3,700","16","5","25"
"VT0020184","BENNINGTON COLLEGE","Community water system","Surface water purchased","Bennington","BENNINGTON","1,000","7","8","9"
"VT0005016","BENNINGTON WATER DEPT","Community water system","Surface water","Bennington","BENNINGTON","13,250","21","17","21"
"VT0005570","BENSON HEIGHTS","Community water system","Ground water","Rutland","BENSON","40","9","19","12"
"VT0005529","BERLIN HEALTH  REHABILITATION CTR","Community water system","Ground water","Washington","BERLIN","378","10","17","14"
"VT0005256","BERLIN MOBILE HOME PARK","Community water system","Surface water purchased","Washington","BERLIN","70","4","23","14"
"VT0021202","BERLIN MUNICIPAL WATER SYSTEM","Community water system","Ground water","Washington","BERLIN","25","6","0","1"
"VT0005255","BERLIN WATER","Community water system","Ground water","Washington","BERLIN","139","8","158","15"
"VT0005315","BETHEL WATER DEPT","Community water system","Ground water","Windsor","BETHEL","915","8","20","14"
"VT0005650","BIRCH HILL WATER SYSTEM","Community water system","Ground water","Lamoille","STOWE","45","6","12","13"
"VT0020790","BIRCH LANDING CONDOMINIUM","Community water system","Ground water","Windsor","PLYMOUTH","82","24","199","7"
"VT0005374","BIRCHWOOD CONDOMINIUM ASSOCIATION","Community water system","Ground water","Windsor","HARTFORD","63","5","2","14"
"VT0005253","BIRCHWOOD PARK","Community water system","Ground water","Washington","BARRE TOWN","35","4","69","14"
