"PWS ID","PWS Name","PWS Type","Primary Source","Counties Served","Cities Served","PopulationServed Count","Number of Facilities","Number of Violations","Number of Site Visits"
"WA5324781","141ST AVE KPN WATER COMPANY","Community water system","Ground water","Pierce","-","48","1","24","1"
"WA5337925","60TH STREET WATER WORKS","Community water system","Surface water purchased","Snohomish","-","35","2","27","0"
"WA5322590","85 Acres","Community water system","Ground water","King","-","36","1","32","1"
"WA5300050","ABERDEEN, CITY OF","Community water system","Surface water","Grays Harbor","-","18,118","4","8","4"
"WA5300250","ACME WATER DISTRICT NO 18","Community water system","Ground water","Whatcom","-","568","4","20","2"
"WA5322525","ADAMS COUNTY WATER DIST #1","Community water system","Ground water purchased","Adams","-","740","1","18","1"
"WA5301977","ADAMS RD COMMUNITY ASSN","Community water system","Ground water","Island","-","39","2","9","2"
"WA5334544","ADMIRAL WATER USERS ASSN","Community water system","Ground water","Grant","-","74","2","13","1"
"WA5300496","AGATE BAY TRAILER PARK","Community water system","Ground water","Whatcom","-","40","2","12","1"
"WA5300510","AGATE BEACH","Community water system","Ground water","Mason","-","32","2","1","1"
"WA5300515","AGATE WEST","Community water system","Ground water","Kitsap","-","100","3","28","2"
"WA5361390","AGOTARAS WATER SYSTEM","Community water system","Ground water","Pierce","-","138","2","2","0"
"WA5325384","AHEARN WATER SYSTEM","Community water system","Ground water","Island","-","91","1","40","1"
"WA5300650","AIRWAY HEIGHTS CITY OF","Community water system","Ground water","Spokane","-","6,992","11","81","2"
"WA5300800","ALBION WATER DEPT","Community water system","Ground water","Whitman","-","555","2","10","1"
"WA5326995","ALDER LAKE","Community water system","Ground water","Pierce","-","45","3","29","2"
"WA5301050","ALDERBROOK WATER CO","Community water system","Ground water","Mason","-","1,714","3","7","1"
"WA5301150","ALDERCREST WATER USERS","Community water system","Ground water purchased","Snohomish","-","47","2","10","3"
"WA5326214","ALDERDALE WATER ASSN","Community water system","Ground water","Klickitat","-","162","2","51","2"
"WA5301200","ALDERGROVE WATER ASSOC.","Community water system","Ground water","Whatcom","-","120","2","14","1"
"WA5301265","ALDERWOOD EAST","Community water system","Ground water","Clallam","-","38","2","24","2"
"WA5301270","ALDERWOOD ESTATES","Community water system","Ground water","Pierce","-","635","6","6","3"
"WA5301300","ALDERWOOD WATER DISTRICT","Community water system","Ground water purchased","Snohomish","-","183,448","2","5","3"
"WA5301338","ALECK BAY PARK WATER SYSTEM","Community water system","Ground water","San Juan","-","40","2","19","1"
"WA5301450","ALGONA WATER DEPT","Community water system","Ground water purchased","King","-","3,000","3","7","2"
"WA5301695","ALLYN SHOPPING CENTER","Community water system","Ground water","Mason","-","397","1","1","2"
"WA5301700","ALMIRA WATER SYSTEM","Community water system","Ground water","Lincoln","-","422","5","8","2"
"WA5306319","ALOHA PINES ESTATES WATER SYSTEM","Community water system","Ground water","Spokane","-","125","2","4","1"
"WA5301822","ALPINE ACRES COMMUNITY ASSOCIATION","Community water system","Ground water","Chelan","-","51","3","15","1"
"WA5301826","ALPINE HILLS","Community water system","Ground water","Thurston","-","360","4","10","2"
"WA5305831","ALPINE MOBILE ESTATES","Community water system","Ground water","Thurston","-","71","1","139","2"
"WA5301830","ALPINE MOBILE MANOR","Community water system","Ground water","King","-","60","1","4","1"
"WA5307667","ALPINE WATER ASSOCIATION","Community water system","Ground water purchased","King","-","52","1","2","1"
"WA5325315","ALPINE WATER DISTRICT","Community water system","Ground water","Chelan","-","2,255","3","17","1"
"WA5314572","ALPS MOBILE HOME PARK","Community water system","Ground water","Yakima","-","150","4","13","1"
"WA5319204","ALTA LAKE GOLF COURSE PLAT","Community water system","Ground water","Okanogan","-","131","4","270","1"
"WA5304625","AMBOY CLARK PUBLIC UTILITIES","Community water system","Ground water","Clark","-","991","2","29","2"
"WA5302055","AMES LAKE WATER ASSOC INC","Community water system","Ground water","King","-","3,206","13","79","1"
"WA5302200","ANACORTES CITY OF","Community water system","Surface water","Skagit","-","21,105","2","30","2"
"WA5302300","ANDERSON CREEK WATER ASSOCIATION","Community water system","Ground water","Whatcom","-","45","1","102","1"
"WA5317241","ANDREWS FIRST","Community water system","Ground water","Thurston","-","300","4","1","2"
"WA5302735","APPLE ACRES VILLAGE","Community water system","Ground water","Chelan","-","212","5","37","1"
"WA5300603","APPLEWAY TRAILER COURT","Community water system","Ground water","Okanogan","-","54","6","67","0"
"WA5334400","AQUA COPIA/HORSE COUNTRY ESTATES","Community water system","Ground water","Snohomish","-","250","4","23","2"
"WA5302857","ARCADIA ESTATES","Community water system","Ground water","Mason","-","108","2","22","2"
"WA5302885","ARDEN HILLS WATER SYSTEM","Community water system","Ground water","Stevens","-","80","2","10","1"
"WA5302942","ARLENES ADDITION","Community water system","Ground water","Walla Walla","-","480","3","14","1"
"WA5302948","ARLINGTON EAST MUTUAL WATER ASSN.","Community water system","Ground water","Snohomish","-","100","3","43","1"
"WA5311134","ARLINGTON HEIGHTS WATER CO INC","Community water system","Ground water","Snohomish","-","45","4","25","2"
"WA5327241","ARLINGTON TERRACE","Community water system","Ground water","Snohomish","-","104","2","11","2"
"WA5302945","ARLINGTON VIEW ESTATES WATER ASSOC","Community water system","Ground water","Snohomish","-","74","2","38","1"
"WA5302950","ARLINGTON WATER DEPT","Community water system","Groundwater under influence of surface water","Snohomish","-","17,768","8","1","3"
"WA5303000","ARROWHEAD BEACH COOP WATER ASSOC","Community water system","Ground water","Island","-","188","6","17","1"
"WA5303150","ARTESIAN WATER DISTRICT 8","Community water system","Ground water","Walla Walla","-","302","3","12","2"
"WA5303160","ARTONDALE WATER SYSTEM","Community water system","Ground water","Pierce","-","5,238","25","121","1"
"WA5303200","ASHFORD WATER DISTRICT","Community water system","Ground water","Pierce","-","897","2","17","1"
"WA5363777","ASHLEY LANE","Community water system","Ground water","Kitsap","-","34","3","0","1"
"WA5303250","ASOTIN WATER DEPT","Community water system","Ground water","Asotin","-","2,461","5","7","1"
"WA5305782","ASPEN REFLECTIONS LANDING WATER","Community water system","Ground water","Pend Oreille","-","48","2","5","1"
"WA5301463","ASPINWALL ESTATES","Community water system","Ground water","Thurston","-","93","8","2","1"
"WA5309066","ASTON ESTATES","Community water system","Ground water","Okanogan","-","141","4","19","1"
"WA5301222","AUST 210","Community water system","Ground water","Lewis","-","35","2","4","1"
"WA5300863","AUVIL FRUIT CO INC","Community water system","Ground water","Kittitas","-","125","3","13","1"
"WA5303427","AUVIL FRUIT COMPANY INC","Community water system","Ground water","Douglas","-","217","4","12","1"
"WA5326801","AVELLANA WATER","Community water system","Ground water","Kitsap","-","100","2","6","2"
"WA5303450","AYOCK BEACH IMPROVEMENT","Community water system","Ground water","Mason","-","129","1","7","1"
"WA5303523","AZWELL ORCHARDS","Community water system","Ground water","Chelan","-","180","1","12","1"
"WA5300410","Admirals Cove Water District","Community water system","Ground water","Island","-","820","3","40","2"
"WA5304308","Andersen Water","Community water system","Ground water","Thurston","-","95","2","46","1"
"WA5303350","Auburn City of","Community water system","Ground water","King","-","58,864","26","25","2"
"WA5303344","Auburn Park Community LLC","Community water system","Ground water","King","-","202","1","11","2"
"WA5303660","BABY ISLAND HEIGHTS WATER ASSOC","Community water system","Ground water","Island","-","233","7","6","1"
"WA5364327","BACUS ROAD #1","Community water system","Ground water","Skagit","-","38","2","143","2"
"WA5300604","BADGER CANYON WATER ASSN","Community water system","Ground water","Benton","-","40","4","93","1"
"WA5346985","BADGER LAKE ESTATES","Community water system","Ground water","Spokane","-","56","2","25","2"
"WA5322617","BADGER MOUNTAIN IRRIGATION DISTRICT","Community water system","Ground water","Benton","-","1,933","6","9","1"
"WA5397650","BAINBRIDGE ISLAND, CITY OF","Community water system","Ground water","Kitsap","-","11,735","17","5","1"
"WA5304050","BAKER VIEW WATER ASSOC","Community water system","Ground water","Whatcom","-","40","2","31","1"
"WA5304025","BAKERVIEW TERRACE COMM CLUB","Community water system","Ground water","Island","-","35","2","51","2"
"WA5332071","BAR 80 RANCHETTES","Community water system","Ground water","Benton","-","32","1","64","1"
"WA5322751","BAR B ESTATE MANOR","Community water system","Ground water","Mason","-","96","1","12","2"
"WA5304530","BASIN VIEW WATER ASSOCIATION","Community water system","Ground water","Adams","-","60","4","37","2"
"WA5304600","BASIN WATER SOURCES INC","Community water system","Ground water","Grant","-","1,194","2","6","2"
"WA5304700","BATTLE GROUND WATER DEPT CITY OF","Community water system","Ground water","Clark","-","19,254","16","177","1"
"WA5305836","BAUERS LANDING LODGE","Community water system","Ground water","Douglas","-","271","2","1","2"
"WA5304815","BAY CENTER","Community water system","Ground water","Pacific","-","424","4","60","1"
"WA5304852","BAY EAST","Community water system","Ground water","Mason","-","94","1","11","1"
"WA5304900","BAYSHORE","Community water system","Ground water","Mason","-","130","2","25","1"
"WA5304930","BAYSHORE TERRACE WATER SYSTEM","Community water system","Ground water","Island","-","56","3","53","1"
"WA5305535","BAYVIEW BEACH WATER DISTRICT","Community water system","Ground water","Island","-","1,035","6","13","1"
"WA5304956","BAYVIEW ESTATES WATER COMPANY","Community water system","Ground water","Island","-","227","4","23","1"
"WA5327849","BAYVIEW MEADOWS WATER SYSTEM","Community water system","Ground water","Island","-","31","2","29","1"
"WA5336754","BAYWOOD VILLAGE MOBILE HOME PARK","Community water system","Ground water","Clallam","-","90","1","24","1"
