PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
WI7370123,2YK LLC,Community water system,Ground water,Marathon,ANTIGO,25,4,19,10
WI2300159,337-9 HOLY HILL APARTMENTS LLC,Community water system,Ground water,Kenosha,TWIN LAKES,30,3,272,8
WI2300163,425 HOLY HILL APTS,Community water system,Ground water,Kenosha,TWIN LAKES,28,3,42,10
WI2301565,52ND AVE WATER GROUP,Community water system,Ground water,Kenosha,KENOSHA,35,4,298,6
WI7370148,ABBOTSFORD WATERWORKS,Community water system,Ground water,Marathon,ABBOTSFORD,1956,36,64,21
WI7010107,ADAMS WATERWORKS,Community water system,Ground water,Adams,ADAMS,1847,9,11,23
WI4600435,ADELL WATERWORKS,Community water system,Ground water,Sheboygan,ADELL,519,5,62,20
WI1230071,ALBANY WATERWORKS,Community water system,Ground water,Green,ALBANY,1018,5,5,22
WI2460141,ALBERTA SUBDIVISION,Community water system,Ground water,Ozaukee,THIENSVILLE,75,2,3,10
WI4711611,ALGOMA TN SANITARY DIST 1,Community water system,Ground water,Winnebago,OSHKOSH,2000,7,0,7
WI4310280,ALGOMA WATERWORKS,Community water system,Ground water,Kewaunee,ALGOMA,3022,16,0,20
WI2670104,ALLENTON SANITARY DISTRICT,Community water system,Ground water,Washington,ALLENTON,860,5,15,19
WI4050455,ALLOUEZ WATERWORKS,Community water system,Surface water purchased,Brown,GREEN BAY,13932,15,19,18
WI6270298,ALMA CENTER WATERWORKS,Community water system,Ground water,Jackson,ALMA CENTER,509,3,18,26
WI6060192,ALMA WATERWORKS,Community water system,Ground water,Buffalo,ALMA,769,5,7,22
WI6030124,ALMENA WATERWORKS,Community water system,Ground water,Barron,ALMENA,677,5,32,25
WI6180280,ALTOONA WATERWORKS,Community water system,Ground water,Eau Claire,ALTOONA,7345,13,81,24
WI6490342,AMANI VILLAGE SANITARY DIST,Community water system,Ground water,Polk,OSCEOLA,100,4,27,21
WI6490328,AMERY WATERWORKS,Community water system,Ground water,Polk,AMERY,2962,8,5,23
WI7500094,AMHERST WATERWORKS,Community water system,Ground water,Portage,AMHERST,1058,9,1,21
WI6030140,ANDERSONS TRAILER COURT,Community water system,Ground water,Barron,RICE LAKE,95,3,32,10
WI4051141,ANNAS HOUSE,Community water system,Ground water,Brown,NEW FRANKEN,32,3,5,6
WI7340086,ANTIGO WATERWORKS,Community water system,Ground water,Langlade,ANTIGO,8234,18,3,17
WI2682761,APARTMENTS OF STONERIDGE,Community water system,Ground water,Waukesha,DELAFIELD,75,7,27,7
WI4450333,APPLETON WATERWORKS,Community water system,Surface water,Outagamie,MENASHA,72000,5,33,21
WI1130244,APPLEWOOD HILL,Community water system,Ground water,Dane,MADISON,125,3,3,11
WI2682795,ARBORS,Community water system,Ground water,Waukesha,DELAFIELD,280,3,18,10
WI6620319,ARCADIA WATERWORKS,Community water system,Ground water,Trempealeau,ARCADIA,2900,11,23,26
WI1250073,ARENA WATERWORKS,Community water system,Ground water,Iowa,ARENA,834,3,11,22
WI1330068,ARGYLE WATERWORKS,Community water system,Ground water,Lafayette,ARGYLE,823,7,0,21
WI1110093,ARLINGTON WATERWORKS,Community water system,Ground water,Columbia,ARLINGTON,823,7,9,23
WI2651013,ARTISAN SENIOR LIVING,Community water system,Ground water,Walworth,LAKE GENEVA,33,3,88,10
WI8020373,ASHLAND WATER UTILITY,Community water system,Surface water,Ashland,ASHLAND,9115,5,41,19
WI4050456,ASHWAUBENON WATERWORKS,Community water system,Surface water purchased,Brown,GREEN BAY,17730,18,17,18
WI4200485,ASHWOOD GROVE 1,Community water system,Ground water,Fond du Lac,FOND DU LAC,62,2,0,9
WI4200486,ASHWOOD GROVE 2,Community water system,Ground water,Fond du Lac,FOND DU LAC,163,2,0,9
WI4200491,ASHWOOD GROVE 3,Community water system,Ground water,Fond du Lac,FOND DU LAC,119,2,1,9
WI4201093,ASHWOOD GROVE 4,Community water system,Ground water,Fond du Lac,FOND DU LAC,86,2,1,8
WI4200487,ASHWOOD GROVE 5,Community water system,Ground water,Fond du Lac,FOND DU LAC,126,2,2,8
WI4201147,ASHWOOD GROVE 6,Community water system,Ground water,Fond du Lac,FOND DU LAC,92,2,3,7
WI4201357,ASHWOOD GROVE 7,Community water system,Ground water,Fond du Lac,FOND DU LAC,119,2,3,6
WI4200353,ASHWOOD GROVE 8,Community water system,Ground water,Fond du Lac,FOND DU LAC,95,2,3,4
WI7370149,ATHENS WATERWORKS,Community water system,Ground water,Marathon,ATHENS,1102,13,62,23
WI6180231,AUGUSTA WATERWORKS,Community water system,Ground water,Eau Claire,AUGUSTA,1450,14,1,23
WI1281138,AUTUMN RIDGE WATER SYSTEM LLC,Community water system,Ground water,Jefferson,IXONIA,575,4,10,5
WI1250074,AVOCA WATERWORKS,Community water system,Ground water,Iowa,AVOCA,623,4,35,21
WI1220084,BAGLEY WATERWORKS,Community water system,Ground water,Grant,BAGLEY,353,5,6,21
WI4600454,BAINS COUNTRY ESTATES MHP,Community water system,Ground water,Sheboygan,SHEBOYGAN FALLS,200,4,44,11
WI6560119,BALDWIN WATERWORKS,Community water system,Ground water,St. Croix,BALDWIN,3956,3,2,22
WI6490330,BALSAM LAKE WATERWORKS,Community water system,Ground water,Polk,BALSAM LAKE,1031,7,11,22
WI7640083,BALTIC RENTALS LLC,Community water system,Ground water,Vilas,EAGLE RIVER,75,4,3,8
WI6320233,BANGOR WATERWORKS,Community water system,Ground water,La Crosse,BANGOR,1520,5,3,20
WI1570085,BARABOO WATERWORKS,Community water system,Ground water,Sauk,BARABOO,12048,13,90,22
WI1250075,BARNEVELD WATERWORKS,Community water system,Ground water,Iowa,BARNEVELD,1231,5,3,21
WI6030125,BARRON LIGHT & WATER DEPT,Community water system,Ground water,Barron,BARRON,3423,12,66,25
WI7210105,BAY AT NU ROC HEALTH AND REHABILITATION CENTER,Community water system,Ground water,Forest,LAONA,70,5,6,8
WI6480153,BAY CITY WATERWORKS,Community water system,Ground water,Pierce,BAY CITY,499,3,6,16
WI1130253,BAY VIEW HEIGHTS INC,Community water system,Ground water,Dane,STOUGHTON,450,8,11,9
WI8040126,BAYFIELD WATERWORKS,Community water system,Ground water,Bayfield,BAYFIELD,488,7,7,23
WI4450867,BEAR CREEK WATERWORKS,Community water system,Ground water,Outagamie,BEAR CREEK,418,7,52,20
WI8660734,BEAVER BROOK SANITARY DISTRICT,Community water system,Ground water purchased,Washburn,SPOONER,200,2,14,14
WI1140059,BEAVER DAM WATER UTILITY,Community water system,Ground water,Dodge,BEAVER DAM,16200,9,3,22
WI2460791,BEECHWOOD FARMS ESTATES,Community water system,Ground water,Ozaukee,MEQUON,300,4,7,9
WI2460107,BELGIUM WATERWORKS,Community water system,Ground water,Ozaukee,BELGIUM,2245,7,25,21
WI1130209,BELLEVILLE WATERWORKS,Community water system,Ground water,Dane,BELLEVILLE,2385,5,3,21
WI4050459,BELLEVUE WATERWORKS,Community water system,Surface water purchased,Brown,GREEN BAY,15365,11,48,20
WI1330069,BELMONT WATERWORKS,Community water system,Ground water,Lafayette,BELMONT,991,7,9,21
WI1540112,BELOIT CITY OF,Community water system,Ground water,Rock,BELOIT,37110,24,7,22
WI1330070,BENTON WATERWORKS,Community water system,Ground water,Lafayette,BENTON,976,5,26,21
WI6180299,BERGHS MOBILE HOME PARK,Community water system,Ground water,Eau Claire,MONDOVI,60,2,6,9
WI4240216,BERLIN WATERWORKS,Community water system,Ground water,Green Lake,BERLIN,5371,14,32,22
WI7010592,BERRY RIDGE ESTATES,Community water system,Ground water,Adams,WI DELLS,60,3,18,7
WI7720163,BETHEL NURSING & REHAB CENTER,Community water system,Ground water,Wood,ARPIN,225,11,5,7
WI8581273,BIG MUSKY RESORT,Community water system,Ground water,Sawyer,HAYWARD,25,5,17,7
WI6170270,BIRCH TERRACE MOBILE HOME COMMUNITY,Community water system,Ground water,Dunn,MENOMONIE,700,3,3,9
WI1540770,BIRCHWOOD TRAILER COURT,Community water system,Ground water,Rock,EVANSVILLE,32,3,67,9
WI8660302,BIRCHWOOD WATERWORKS,Community water system,Ground water,Washburn,BIRCHWOOD,442,2,16,25
WI4590449,BIRNAMWOOD WATERWORKS,Community water system,Ground water,Shawano,BIRNAMWOOD,832,5,13,21
WI7720171,BIRON WATER UTILITY,Community water system,Ground water,Wood,WISCONSIN RAPIDS,879,6,24,22
WI8070023,BISTRAM MOBILE HOME PARK,Community water system,Ground water,Burnett,GRANTSBURG,115,2,3,5
WI1250207,BIT O GREEN LLC MHP,Community water system,Ground water,Iowa,ARENA,49,2,3,11
WI4450408,BLACK CREEK WATERWORKS,Community water system,Ground water,Outagamie,BLACK CREEK,1251,5,4,20
WI1130211,BLACK EARTH WATERWORKS,Community water system,Ground water,Dane,BLACK EARTH,1374,5,9,21
WI6270287,BLACK RIVER CORRECTIONAL CENTER,Community water system,Ground water,Jackson,BLACK RIVER FALLS,120,6,3,14
WI6270244,BLACK RIVER FALLS WATERWORKS,Community water system,Ground water,Jackson,BLACK RIVER FALLS,3608,11,9,25
WI7210112,BLACKWELL CIVILIAN CONSVTN CTR,Community water system,Ground water,Forest,LAONA,190,5,37,16
WI6620274,BLAIR WATERWORKS,Community water system,Ground water,Trempealeau,BLAIR,1303,7,50,24
WI1330071,BLANCHARDVILLE WATERWORKS,Community water system,Ground water,Lafayette,BLANCHARDVILLE,802,5,32,21
WI6090448,BLOOMER WATERWORKS,Community water system,Ground water,Chippewa,BLOOMER,3545,9,101,18
WI1250078,BLOOMFIELD HEALTHCARE AND REHABILITATION CTR,Community water system,Ground water,Iowa,DODGEVILLE,150,6,7,22
WI2651469,"BLOOMFIELD, VILLAGE OF",Community water system,Ground water,Walworth,PELL LAKE,4071,7,11,13
WI1220085,BLOOMINGTON WATERWORKS,Community water system,Ground water,Grant,BLOOMINGTON,682,2,4,19
WI1130023,BLUE MOUNDS WATERWORKS,Community water system,Ground water,Dane,BLUE MOUNDS,855,6,5,21
WI1220087,BLUE RIVER WATERWORKS,Community water system,Ground water,Grant,BLUE RIVER,424,5,7,21
WI6270289,BLUE SPRUCE MOBILE HOME COMMUNITY,Community water system,Ground water,Jackson,BLACK RIVER FALLS,40,2,128,14
WI1220090,BLUFFSIDE COURT,Community water system,Ground water,Grant,CASSVILLE,40,2,5,10
