"PWS ID","PWS Name","PWS Type","Primary Source","Counties Served","Cities Served","PopulationServed Count","Number of Facilities","Number of Violations","Number of Site Visits"
"WV3304911","ADRIAN P S D","Community water system","Surface water purchased","Upshur","FRENCH CREEK","4,831","21","9","18"
"WV3303901","ALBRIGHT TOWN OF","Community water system","Surface water purchased","Preston","ALBRIGHT","338","10","62","6"
"WV3301315","ALDERSON WATER","Community water system","Surface water","Greenbrier","ALDERSON","2,458","6","12","85"
"WV3303921","ALPINE LAKE PUBLIC UTILITIES","Community water system","Ground water","Preston","TERRA ALTA","1,339","14","11","22"
"WV9939113","ALYESKA INC","Community water system","Ground water","Preston","BRUCETON MILLS","52","3","81","9"
"WV3301701","ANMOORE TOWN OF","Community water system","Surface water purchased","Harrison","ANMOORE","970","4","87","9"
"WV3301317","ANTHONY CORRECTIONAL CENTER","Community water system","Ground water","Greenbrier","NEOLA","348","9","70","18"
"WV9928102","APPALACHIAN TEEN CHALLENGE FEMALE CENTER","Community water system","Ground water","Mercer","ATHENS","30","3","63","13"
"WV9928061","APPALACHIAN TEEN CHALLENGE MALE CENTER","Community water system","Ground water","Mercer","ATHENS","30","4","36","25"
"WV3303314","APPLE ORCHARD ACRES","Community water system","Ground water","Morgan","BERKELEY SPRINGS","91","8","110","7"
"WV3301004","ARMSTRONG PSD","Community water system","Surface water","Fayette","KIMBERLY","2,208","11","99","43"
"WV3303902","ARTHURDALE WATER ASSOC.","Community water system","Ground water","Preston","ARTHURDALE","299","10","55","20"
"WV3302417","ASHLAND COMMUNITY","Community water system","Ground water","McDowell","ASHLAND","70","3","84","6"
"WV3302801","ATHENS TOWN OF","Community water system","Surface water","Mercer","ATHENS","4,802","10","8","27"
"WV3304104","BECKLEY WATER COMPANY","Community water system","Surface water","Raleigh","BECKLEY","49,058","33","14","279"
"WV3300502","BEECH BOTTOM WATER DEPT","Community water system","Ground water","Brooke","BEECH BOTTOM","610","8","11","13"
"WV3300101","BELINGTON TOWN OF","Community water system","Surface water","Barbour","BELINGTON","2,107","6","2","34"
