"Country or Area","Year","Count","Rate","Source","Source Type"
"Afghanistan","2008","712","2.4","WHO","PH"
"Angola","2008","3426","19.0","WHO","PH"
"Benin","2008","1262","15.1","WHO","PH"
"Burkina Faso","2008","2786","18.0","WHO","PH"
"Burundi","2008","1726","21.7","WHO","PH"
"Cameroon","2008","3700","19.7","WHO","PH"
"Central African Republic","2008","1240","29.3","WHO","PH"
"Chad","2008","1686","15.8","WHO","PH"
"Comoros","2008","85","12.2","WHO","PH"
"Congo","2008","1180","30.8","WHO","PH"
"Cote d'Ivoire","2008","10801","56.9","WHO","PH"
"Democratic People's Republic of Korea","2008","3658","15.2","WHO","PH"
"Democratic Republic of the Congo","2008","13558","21.7","WHO","PH"
"Djibouti","2008","29","3.4","WHO","PH"
"Equatorial Guinea","2008","137","20.7","WHO","PH"
"Eritrea","2008","879","17.8","WHO","PH"
"Ethiopia","2008","20239","25.5","WHO","PH"
"Gabon","2008","200","13.8","WHO","PH"
"Gambia","2008","176","10.8","WHO","PH"
"Ghana","2008","3646","15.7","WHO","PH"
"Guinea","2008","2152","22.5","WHO","PH"
"Guinea-Bissau","2008","294","20.2","WHO","PH"
"Haiti","2010","689","6.9","UN-PKO","CJ"
"Haiti","2009","602","6.1","UN-PKO","CJ"
"Haiti","2008","491","5.0","UN-PKO","CJ"
"Indonesia","2008","18963","8.1","WHO","PH"
"Iraq","2008","608","2.0","WHO","PH"
"Kenya","2008","7733","20.1","WHO","PH"
"Kiribati","2008","7","7.3","WHO","PH"
"Lao People's Democratic Republic","2008","279","4.6","WHO","PH"
"Liberia","2008","371","10.1","WHO","PH"
"Libyan Arab Jamahiriya","2008","176","2.9","WHO","PH"
"Madagascar","2008","1588","8.1","WHO","PH"
"Malawi","2008","5039","36.0","WHO","PH"
"Mali","2008","1157","8.0","WHO","PH"
"Mauritania","2008","485","14.7","WHO","PH"
"Micronesia (Federated States of)","2008","1","0.9","WHO","PH"
"Myanmar","2008","4800","10.2","WHO","PH"
"Nauru","2008","1","9.8","WHO","PH"
"Niger","2008","552","3.8","WHO","PH"
"Nigeria","2008","18422","12.2","WHO","PH"
"Palau","2008","0","0.0","WHO","PH"
"Papua New Guinea","2008","854","13.0","WHO","PH"
"Rwanda","2008","1708","17.1","WHO","PH"
"Samoa","2008","2","1.1","WHO","PH"
"Sao Tome and Principe","2008","3","1.9","WHO","PH"
"Senegal","2008","1027","8.7","WHO","PH"
"Sierra Leone","2008","837","14.9","WHO","PH"
"Somalia","2008","138","1.5","WHO","PH"
"Sudan","2008","10028","24.2","WHO","PH"
"Timor-Leste","2008","75","6.9","WHO","PH"
"Togo","2008","627","10.9","WHO","PH"
"Tonga","2008","1","1.0","WHO","PH"
"Tunisia","2008","117","1.1","WHO","PH"
"Uganda","2008","11373","36.3","WHO","PH"
"United Republic of Tanzania","2008","10357","24.5","WHO","PH"
"Vanuatu","2008","2","0.9","WHO","PH"
"Viet Nam","2008","1346","1.6","WHO","PH"
"Zambia","2008","4710","38.0","WHO","PH"
"Zimbabwe","2008","1775","14.3","WHO","PH"

