"Country or Area","Year(s)","RESIDENCE AREA","Value","Value Footnotes"
"Afghanistan","2012","Rural","56",""
"Afghanistan","2012","Total","64",""
"Afghanistan","2012","Urban","90",""
"Afghanistan","2010","Rural","50",""
"Afghanistan","2010","Total","57",""
"Afghanistan","2010","Urban","81",""
"Afghanistan","2005","Rural","34",""
"Afghanistan","2005","Total","40",""
"Afghanistan","2005","Urban","59",""
"Afghanistan","2000","Rural","18",""
"Afghanistan","2000","Total","22",""
"Afghanistan","2000","Urban","36",""
"Albania","2012","Rural","94",""
"Albania","2012","Total","96",""
"Albania","2012","Urban","97",""
"Albania","2010","Rural","94",""
"Albania","2010","Total","96",""
"Albania","2010","Urban","98",""
"Albania","2005","Rural","94",""
"Albania","2005","Total","96",""
"Albania","2005","Urban","99",""
"Albania","2000","Rural","94",""
"Albania","2000","Total","96",""
"Albania","2000","Urban","100",""
"Algeria","2012","Rural","79",""
"Algeria","2012","Total","84",""
"Algeria","2012","Urban","85",""
"Algeria","2010","Rural","79",""
"Algeria","2010","Total","84",""
"Algeria","2010","Urban","85",""
"Algeria","2005","Rural","81",""
"Algeria","2005","Total","86",""
"Algeria","2005","Urban","88",""
"Algeria","2000","Rural","84",""
"Algeria","2000","Total","89",""
"Algeria","2000","Urban","93",""
"Andorra","2012","Total","100",""
"Andorra","2012","Urban","100",""
"Andorra","2012","Rural","100",""
"Andorra","2010","Total","100",""
"Andorra","2010","Urban","100",""
"Andorra","2010","Rural","100",""
"Andorra","2005","Total","100",""
"Andorra","2005","Urban","100",""
"Andorra","2005","Rural","100",""
"Andorra","2000","Total","100",""
"Andorra","2000","Urban","100",""
"Andorra","2000","Rural","100",""
"Angola","2012","Rural","34",""
"Angola","2012","Total","54",""
"Angola","2012","Urban","68",""
"Angola","2010","Rural","35",""
"Angola","2010","Total","53",""
"Angola","2010","Urban","65",""
"Angola","2005","Rural","37",""
"Angola","2005","Total","49",""
"Angola","2005","Urban","59",""
"Angola","2000","Rural","39",""
"Angola","2000","Total","46",""
"Angola","2000","Urban","52",""
"Antigua and Barbuda","2012","Total","98",""
"Antigua and Barbuda","2012","Urban","98",""
"Antigua and Barbuda","2012","Rural","98",""
"Antigua and Barbuda","2010","Total","98",""
"Antigua and Barbuda","2010","Urban","98",""
"Antigua and Barbuda","2010","Rural","98",""
"Antigua and Barbuda","2005","Total","98",""
"Antigua and Barbuda","2005","Urban","98",""
"Antigua and Barbuda","2005","Rural","98",""
"Antigua and Barbuda","2000","Total","98",""
"Antigua and Barbuda","2000","Urban","98",""
"Antigua and Barbuda","2000","Rural","98",""
"Argentina","2012","Rural","95",""
"Argentina","2012","Total","99",""
"Argentina","2012","Urban","99",""
"Argentina","2010","Rural","93",""
"Argentina","2010","Total","98",""
"Argentina","2010","Urban","99",""
"Argentina","2005","Rural","87",""
"Argentina","2005","Total","98",""
"Argentina","2005","Urban","99",""
"Argentina","2000","Rural","81",""
"Argentina","2000","Total","96",""
"Argentina","2000","Urban","98",""
"Armenia","2012","Total","100",""
"Armenia","2012","Urban","100",""
