State_code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
CA,34938616,34982115,35989579,36427824,42109090,42183613,42277601,39678342,39957597,40192641,41009912,41032941,41029373,41012626,41174594,41174437,41173094,40448289
CO,6009119,6009119,6009037,6009119,6009119,6009119,6009074,6009037,6009074,6009074,6009074,6009118,6009118,5220316,5261460,5263167,5263167,5662264
CT,,2664364,2664364,2664364,2664364,2664364,2664364,2664364,2664364,2664364,2664364,2664364,2664364,2673185,2685610,2754692,2751816,2762104
FL,19228025,19228025,19228025,19228025,19228025,19227975,19228025,19228025,19227961,19227891,19227961,19227911,19238280,19231059,19231189,19353826,19353871,19895595
IA,2370181,2352599,2349976,2458129,2494821,2733140,2744749,2751614,2729866,2680509,2745961,2698490,2679229,2721205,2751937,2753592,2761831,2804827
KS,2693760,2693760,2694110,2694110,2714014,2712274,2712199,2711681,2703485,2703760,2703597,2703999,2704465,2704465,2704490,2704330,2701343,2698769
KY,4532689,4532689,4532689,4532689,4532689,4532689,4532689,4532689,4532689,4532689,4532689,4532689,4532689,4552037,4585271,4645995,4625080,4625141
LA,,4903486,4903486,4903486,4903486,4903486,4903486,4903486,4903486,4903486,4903486,4903486,4922852,3831898,4905882,4762078,4823735,
MA,8416200,8416200,8416200,8416200,8416200,8416200,8416200,8416200,8416200,8510074,8510321,8510788,8866615,8879989,8920376,8930205,8924314,
MD,5157529,5157529,5157529,5157529,5157529,5157529,5157529,5143306,5157529,5105475,5132561,5200014,5266738,5271294,5274390,5288267,5308196,
ME,661201,661201,661201,661201,661201,661201,661201,661201,661201,661226,661151,665484,690431,663618,663756,669168,670320,670375
MI,,,,,,,,,,,,,,7557005,7557005,7557005,7498501,7606785
MN,4235189,4235189,4235189,4235189,4235189,4235269,4235269,4235869,4236512,4236512,4235789,4236512,4274600,4269859,4323800,4332607,4342835,4329274
MO,3056921,3220554,2861506,2710180,3108234,4050592,2563407,4532744,5002567,4153659,4645562,4670953,4534938,5048460,5247591,5351860,5331243,5108862
NC,,,,,,,,,,,,7891488,8058123,8135150,8221516,8332506,,
NH,855301,855301,855301,855301,855301,855301,855301,855301,855326,855326,855326,855359,854254,858671,859314,867238,868401,868719
NJ,9016086,9016086,9016086,9016086,9016086,9016086,9016086,9016086,9016086,9016086,9016086,9016086,9013555,9013555,9050329,9053727,8819604,8898878
NM,1800269,1800269,1800319,1800319,1800319,1800319,1800319,1800319,1800246,1800246,1800246,1830248,1852763,1834886,1833878,1874740,1897481,1895060
NY,16459145,16459530,16460149,16462983,16463014,16463076,16463100,16463498,16463713,16465069,16463230,18323940,18245848,18210792,17209219,17790348,16259530,16285571
OR,,,,3641445,3617479,3660041,3740859,3771485,3767939,3781419,3778230,3792346,3815333,3969674,3909962,3907292,3919115,3967838
PA,10781363,10781363,10781363,10781363,10781411,10781486,10781438,10781359,10781384,10781463,10781463,10781463,10793463,10651615,10644871,10598147,10622943,11378326
SC,3304040,3305246,3305781,3342078,3336995,3381910,3467552,3470882,3595479,3657664,3820683,3860152,3795998,3708533,3630722,3672480,3673072,3786070
UT,2691364,2698114,2698402,2698502,2698039,2698477,2699427,2698144,2698232,2698511,2698771,2698591,2698958,2739668,2795852,4469749,4330570,3017791
VT,443471,443471,443471,443471,443471,443471,443471,443471,443471,443471,443471,443471,443471,446168,446994,449172,450451,449211
WA,5576823,5576823,5576823,5576823,5576823,5576823,5576823,5576823,5576823,5576823,5576823,5576823,5576823,5912722,5982257,6001501,6032812,6129886
WI,3991347,3991377,3991599,3991504,3991544,3991529,3991660,3991605,3991613,3991540,3992073,3992228,4024008,4050454,4050643,4063134,4066209,4071233
WV,730602,914986,714113,1215864,1268653,1330104,1350886,1343481,1340792,1346806,1327443,1332530,1322756,1350452,1416293,1483875,1493282,1495305
Grand Total,146949241,154899396,155346298,159923784,166083096,167486074,166292715,165681012,166533635,165995784,167536273,177451474,177909045,184519356,185339201,188105138,177962816,158856173
